dimension,group,trial,actions,instances,mean_raw_marginal_best_reduction,probability_best_changes_after_k,mean_raw_quality_loss_vs_eight,mean_positive_gain_at_k,mean_positive_gain_loss_vs_eight,no_new_best_probability,mean_signed_trial_variance
overall,ALL,1,12775,24,0.0,0.8807045009784736,187.80782778864972,0.0007827788649706458,0.0563600782778865,0.0,22209.04225782779
overall,ALL,2,12775,24,86.3678277886497,0.7472407045009785,101.44,0.012915851272015656,0.04422700587084149,0.48250489236790606,22209.04225782779
overall,ALL,3,12775,24,37.96767123287671,0.6133072407045009,63.47232876712329,0.015577299412915852,0.04156555772994129,0.6537769080234833,22209.04225782779
overall,ALL,4,12775,24,20.346066536203523,0.4972994129158513,43.126262230919764,0.021839530332681018,0.035303326810176124,0.7578082191780822,22209.04225782779
overall,ALL,5,12775,24,15.901135029354208,0.3654011741682975,27.22512720156556,0.03569471624266145,0.021448140900195693,0.7929549902152642,22209.04225782779
overall,ALL,6,12775,24,11.017847358121331,0.2433659491193738,16.207279843444226,0.03679060665362035,0.020352250489236792,0.841252446183953,22209.04225782779
overall,ALL,7,12775,24,9.384892367906067,0.11311154598825832,6.822387475538161,0.041643835616438356,0.015499021526418787,0.850802348336595,22209.04225782779
overall,ALL,8,12775,24,6.822387475538161,0.0,0.0,0.05714285714285714,0.0,0.8868884540117417,22209.04225782779
