method,display_method,scale,instance_count,mean_runtime_seconds,median_runtime_seconds,q25_runtime_seconds,q75_runtime_seconds,mean_runtime_budget_fraction,median_runtime_budget_fraction,q25_runtime_budget_fraction,q75_runtime_budget_fraction,mean_rpd_percent,median_rpd_percent,q25_rpd_percent,q75_rpd_percent,mean_time_to_best_seconds,median_time_to_best_seconds,q25_time_to_best_seconds,q75_time_to_best_seconds,mean_time_to_best_budget_fraction,median_time_to_best_budget_fraction,q25_time_to_best_budget_fraction,q75_time_to_best_budget_fraction,median_decoder_evaluations,termination_note,average_rank
GA,GA,ALL,45,238.36766641457604,230.01155483702314,128.00205684898538,344.02040978800505,1.0000454786222857,1.0000440828619597,1.0000300998482479,1.0000593307790844,10.284891770126617,7.621502209131075,4.8549437537004145,14.995378927911275,217.50189024857633,217.0158112809877,101.60169873700943,330.15814748298726,0.8756588662004207,0.9384929025077327,0.8237793353086328,0.9716498443393586,11656.0,common wall-clock ceiling,2.3555555555555556
Adapted DCGA,DCGA,ALL,45,247.89331329542134,260.6531611929822,135.02961041001254,344.10416837598314,1.0490939566060589,1.0022849798863966,1.000346902668058,1.112992586555756,23.37723602702675,22.598870056497177,15.032295948326484,29.010058231868715,195.87737029691277,200.15588653399027,107.88463513797615,263.99016155599384,0.8304205331456718,0.8298818087536627,0.769964653419628,0.9156072447982744,3994.0,common wall-clock ceiling,5.0
DABC-RIACRSP,DABC,ALL,45,238.36042993080338,230.00524613802554,128.0023135219817,344.0147707689903,1.0000195397108318,1.000017465065762,1.0000140566001228,1.0000236078146905,15.393679251692411,13.723038449515474,6.865127582017011,22.075172048703017,219.94703718648913,215.23303557903273,118.47161420801422,319.41553017299157,0.9181676506647406,0.9398448592370474,0.8989207562367563,0.9632740774800781,20081.0,common wall-clock ceiling,3.6444444444444444
LG_HGA-RIACRSP-v2-N4M,LG_HGA,ALL,45,34.998586852845946,29.816607157001272,12.251680532994214,58.233687175030354,0.1333268196241147,0.12995762048261608,0.09816261627864031,0.1701889330909277,9.379340512090828,7.47141041931385,5.051218650653479,12.409240924092408,31.93877528381741,26.67952443199465,9.05701733904425,56.122447766014375,0.11615304077827816,0.12121879060961012,0.07598239524608677,0.16089274391759484,4040.0,source-compatible MAXGEN=100 cap or common wall-clock ceiling,2.4222222222222225
CSG-NI Phase6H provisional,CSG-NI,ALL,45,238.37211623437986,230.03312069899403,128.01811174099566,344.00595311197685,1.0000748442188288,1.0000390786727869,1.0000221954825659,1.0001156982405002,3.4751041266187235,3.127155667969648,1.478743068391867,4.407051282051282,67.06886789004655,51.903303392988164,0.8693196109961718,111.37251298298361,0.30842083182087005,0.3137245666258123,0.002690714738491806,0.49480730341795115,16218.0,common wall-clock ceiling,1.5777777777777777
