instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_L_CF1_R01,L,CF1,190,Adapted DCGA,DCGA,5,28.503253796095446,380.139700447995,1.0003676327578814,285.04786074900767,0.7501259493394938,2478.0
CB1_CORE_L_CF1_R01,L,CF1,190,CSG-NI Phase6H provisional,CSG-NI,5,1.4316702819956617,380.00948889902793,1.0000249707869155,174.07604021497536,0.4580948426709878,14866.0
CB1_CORE_L_CF1_R01,L,CF1,190,DABC-RIACRSP,DABC,5,25.77006507592191,380.00661053403746,1.0000173961422039,287.5617380980402,0.7567414160474742,14887.0
CB1_CORE_L_CF1_R01,L,CF1,190,GA,GA,5,18.373101952277658,380.0245594070002,1.0000646300184215,374.8568347120017,0.9864653545052677,8885.0
CB1_CORE_L_CF1_R01,L,CF1,190,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,19.175704989154013,69.56425671401666,0.18306383345793859,66.0171599269961,0.17372936822893711,4140.0
CB1_CORE_L_CF1_R02,L,CF1,181,Adapted DCGA,DCGA,5,28.07618232398887,362.1862756519986,1.0005145736243055,341.13889224801096,0.9423726305193673,2586.0
CB1_CORE_L_CF1_R02,L,CF1,181,CSG-NI Phase6H provisional,CSG-NI,5,0.4921891718382196,362.0106482980191,1.000029415187898,245.96438813902205,0.6794596357431548,15806.0
CB1_CORE_L_CF1_R02,L,CF1,181,DABC-RIACRSP,DABC,5,24.202867536914187,362.01658453198615,1.0000458136242711,333.3609962229966,0.9208867298977808,15380.0
CB1_CORE_L_CF1_R02,L,CF1,181,GA,GA,5,17.954205007489836,362.02192870597355,1.0000605765358386,356.15225156300585,0.9838459987928339,8262.0
CB1_CORE_L_CF1_R02,L,CF1,181,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,20.051358870104856,64.44518992200028,0.17802538652486266,63.00451033603167,0.17404560866307092,4140.0
CB1_CORE_L_CF1_R03,L,CF1,173,Adapted DCGA,DCGA,5,33.41055341055341,346.14581740499125,1.00042143758668,289.13507739501074,0.8356505127023431,2950.0
CB1_CORE_L_CF1_R03,L,CF1,173,CSG-NI Phase6H provisional,CSG-NI,5,1.981981981981982,346.00417446903884,1.0000120649394186,173.02953075699043,0.5000853490086429,17017.0
CB1_CORE_L_CF1_R03,L,CF1,173,DABC-RIACRSP,DABC,5,27.876447876447877,346.0091116729891,1.0000263343149973,321.6435587130254,0.9296056610203046,16529.0
CB1_CORE_L_CF1_R03,L,CF1,173,GA,GA,5,19.124839124839124,346.0289765520138,1.0000837472601554,339.49536339301267,0.9812004722341406,9015.0
CB1_CORE_L_CF1_R03,L,CF1,173,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,19.665379665379664,59.521777432004455,0.17202825847400133,58.286568907031324,0.16845829163881884,4140.0
CB1_CORE_L_CF1_R04,L,CF1,172,Adapted DCGA,DCGA,5,29.010058231868715,344.10416837598314,1.0003028150464626,277.3660130290082,0.8062965495029307,2826.0
CB1_CORE_L_CF1_R04,L,CF1,172,CSG-NI Phase6H provisional,CSG-NI,5,3.9174166225516145,344.00595311197685,1.0000173055580723,1.1107912660227157,0.003229044377973011,16594.0
CB1_CORE_L_CF1_R04,L,CF1,172,DABC-RIACRSP,DABC,5,22.075172048703017,344.0147707689903,1.0000429382819485,317.3155717210029,0.9224289875610551,15220.0
CB1_CORE_L_CF1_R04,L,CF1,172,GA,GA,5,8.443620963472737,344.02040978800505,1.0000593307790844,327.4714095630043,0.9519517719854775,9697.0
CB1_CORE_L_CF1_R04,L,CF1,172,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.440974060349391,59.63926364900544,0.17336995246803907,57.10844817699399,0.16601293074707554,4140.0
CB1_CORE_L_CF1_R05,L,CF1,171,Adapted DCGA,DCGA,5,36.81152097018696,342.0643689199933,1.0001882132163546,314.7016025110206,0.9201801243012299,2826.0
