instance,instance_seed,split,group,level,training_seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_S_71018,71018,phase5b_holdout,S,S,520102,475.0,496.3333333333333,436.3333333333333,433.0,-8.842105263157896,True
synthetic_S_71018,71018,phase5b_holdout,S,S,520103,475.0,496.3333333333333,436.3333333333333,466.0,-1.894736842105263,True
synthetic_S_71019,71019,phase5b_holdout,S,S,520101,566.0,578.0,569.0,566.0,0.0,True
synthetic_S_71019,71019,phase5b_holdout,S,S,520102,566.0,578.0,569.0,566.0,0.0,True
synthetic_S_71019,71019,phase5b_holdout,S,S,520103,566.0,578.0,569.0,566.0,0.0,True
synthetic_S_71020,71020,phase5b_holdout,S,S,520101,426.0,421.3333333333333,412.6666666666667,426.0,0.0,True
synthetic_S_71020,71020,phase5b_holdout,S,S,520102,426.0,421.3333333333333,412.6666666666667,426.0,0.0,True
synthetic_S_71020,71020,phase5b_holdout,S,S,520103,426.0,421.3333333333333,412.6666666666667,406.0,-4.694835680751174,True
synthetic_M_72001,72001,phase5b_holdout,M,M,520101,1249.0,1021.6666666666666,1150.6666666666667,744.0,-40.43234587670136,True
synthetic_M_72001,72001,phase5b_holdout,M,M,520102,1249.0,1021.6666666666666,1150.6666666666667,949.0,-24.01921537229784,True
synthetic_M_72001,72001,phase5b_holdout,M,M,520103,1249.0,1021.6666666666666,1150.6666666666667,914.0,-26.821457165732586,True
synthetic_M_72002,72002,phase5b_holdout,M,M,520101,1162.0,1114.0,1149.3333333333333,1111.0,-4.388984509466437,True
synthetic_M_72002,72002,phase5b_holdout,M,M,520102,1162.0,1114.0,1149.3333333333333,1100.0,-5.335628227194492,True
synthetic_M_72002,72002,phase5b_holdout,M,M,520103,1162.0,1114.0,1149.3333333333333,1139.0,-1.9793459552495698,True
synthetic_M_72003,72003,phase5b_holdout,M,M,520101,952.0,877.3333333333334,875.3333333333334,921.0,-3.2563025210084033,True
synthetic_M_72003,72003,phase5b_holdout,M,M,520102,952.0,877.3333333333334,875.3333333333334,921.0,-3.2563025210084033,True
synthetic_M_72003,72003,phase5b_holdout,M,M,520103,952.0,877.3333333333334,875.3333333333334,854.0,-10.294117647058824,True
synthetic_M_72004,72004,phase5b_holdout,M,M,520101,1616.0,1585.3333333333333,1562.0,1616.0,0.0,True
synthetic_M_72004,72004,phase5b_holdout,M,M,520102,1616.0,1585.3333333333333,1562.0,1598.0,-1.113861386138614,True
synthetic_M_72004,72004,phase5b_holdout,M,M,520103,1616.0,1585.3333333333333,1562.0,1618.0,0.12376237623762376,True
synthetic_M_72005,72005,phase5b_holdout,M,M,520101,723.0,732.6666666666666,719.3333333333334,786.0,8.71369294605809,True
synthetic_M_72005,72005,phase5b_holdout,M,M,520102,723.0,732.6666666666666,719.3333333333334,743.0,2.7662517289073305,True
synthetic_M_72005,72005,phase5b_holdout,M,M,520103,723.0,732.6666666666666,719.3333333333334,781.0,8.022130013831259,True
synthetic_M_72006,72006,phase5b_holdout,M,M,520101,1305.0,1271.6666666666667,1271.6666666666667,929.0,-28.81226053639847,True
synthetic_M_72006,72006,phase5b_holdout,M,M,520102,1305.0,1271.6666666666667,1271.6666666666667,1025.0,-21.455938697318008,True
synthetic_M_72006,72006,phase5b_holdout,M,M,520103,1305.0,1271.6666666666667,1271.6666666666667,1475.0,13.026819923371647,True
synthetic_M_72007,72007,phase5b_holdout,M,M,520101,833.0,829.6666666666666,743.6666666666666,602.0,-27.73109243697479,True
synthetic_M_72007,72007,phase5b_holdout,M,M,520102,833.0,829.6666666666666,743.6666666666666,603.0,-27.611044417767108,True
synthetic_M_72007,72007,phase5b_holdout,M,M,520103,833.0,829.6666666666666,743.6666666666666,942.0,13.085234093637455,True
synthetic_M_72008,72008,phase5b_holdout,M,M,520101,546.0,583.3333333333334,565.6666666666666,560.0,2.5641025641025643,True
synthetic_M_72008,72008,phase5b_holdout,M,M,520102,546.0,583.3333333333334,565.6666666666666,518.0,-5.128205128205129,True
synthetic_M_72008,72008,phase5b_holdout,M,M,520103,546.0,583.3333333333334,565.6666666666666,696.0,27.47252747252747,True
synthetic_M_72009,72009,phase5b_holdout,M,M,520101,1132.0,1144.0,1124.0,1121.0,-0.9717314487632509,True
synthetic_M_72009,72009,phase5b_holdout,M,M,520102,1132.0,1144.0,1124.0,1146.0,1.2367491166077738,True
synthetic_M_72009,72009,phase5b_holdout,M,M,520103,1132.0,1144.0,1124.0,1117.0,-1.325088339222615,True
synthetic_M_72010,72010,phase5b_holdout,M,M,520101,1158.0,1195.0,1171.3333333333333,1120.0,-3.2815198618307426,True
synthetic_M_72010,72010,phase5b_holdout,M,M,520102,1158.0,1195.0,1171.3333333333333,1215.0,4.922279792746114,True
synthetic_M_72010,72010,phase5b_holdout,M,M,520103,1158.0,1195.0,1171.3333333333333,1121.0,-3.1951640759930915,True
synthetic_M_72011,72011,phase5b_holdout,M,M,520101,3352.0,3228.0,3280.6666666666665,3187.0,-4.922434367541766,True
synthetic_M_72011,72011,phase5b_holdout,M,M,520102,3352.0,3228.0,3280.6666666666665,3203.0,-4.445107398568019,True
synthetic_M_72011,72011,phase5b_holdout,M,M,520103,3352.0,3228.0,3280.6666666666665,3336.0,-0.477326968973747,True
synthetic_M_72012,72012,phase5b_holdout,M,M,520101,1345.0,1337.3333333333333,1350.6666666666667,1367.0,1.6356877323420074,True
synthetic_M_72012,72012,phase5b_holdout,M,M,520102,1345.0,1337.3333333333333,1350.6666666666667,1264.0,-6.022304832713755,True
synthetic_M_72012,72012,phase5b_holdout,M,M,520103,1345.0,1337.3333333333333,1350.6666666666667,1341.0,-0.29739776951672864,True
synthetic_M_72013,72013,phase5b_holdout,M,M,520101,1201.0,971.6666666666666,966.6666666666666,972.0,-19.06744379683597,True
synthetic_M_72013,72013,phase5b_holdout,M,M,520102,1201.0,971.6666666666666,966.6666666666666,971.0,-19.150707743547045,True
synthetic_M_72013,72013,phase5b_holdout,M,M,520103,1201.0,971.6666666666666,966.6666666666666,959.0,-20.149875104079932,True
synthetic_M_72014,72014,phase5b_holdout,M,M,520101,688.0,639.3333333333334,608.6666666666666,698.0,1.4534883720930232,True
synthetic_M_72014,72014,phase5b_holdout,M,M,520102,688.0,639.3333333333334,608.6666666666666,708.0,2.9069767441860463,True
synthetic_M_72014,72014,phase5b_holdout,M,M,520103,688.0,639.3333333333334,608.6666666666666,669.0,-2.761627906976744,True
synthetic_M_72015,72015,phase5b_holdout,M,M,520101,1028.0,1002.6666666666666,1047.6666666666667,1032.0,0.38910505836575876,True
synthetic_M_72015,72015,phase5b_holdout,M,M,520102,1028.0,1002.6666666666666,1047.6666666666667,1037.0,0.8754863813229572,True
synthetic_M_72015,72015,phase5b_holdout,M,M,520103,1028.0,1002.6666666666666,1047.6666666666667,1042.0,1.3618677042801557,True
synthetic_M_72016,72016,phase5b_holdout,M,M,520101,2468.0,2462.0,2457.0,2474.0,0.24311183144246354,True
synthetic_M_72016,72016,phase5b_holdout,M,M,520102,2468.0,2462.0,2457.0,2474.0,0.24311183144246354,True
synthetic_M_72016,72016,phase5b_holdout,M,M,520103,2468.0,2462.0,2457.0,2474.0,0.24311183144246354,True
synthetic_M_72017,72017,phase5b_holdout,M,M,520101,1583.0,1609.6666666666667,1596.0,1552.0,-1.9583070120025268,True
synthetic_M_72017,72017,phase5b_holdout,M,M,520102,1583.0,1609.6666666666667,1596.0,1520.0,-3.979785217940619,True
synthetic_M_72017,72017,phase5b_holdout,M,M,520103,1583.0,1609.6666666666667,1596.0,1562.0,-1.326595072646873,True
synthetic_M_72018,72018,phase5b_holdout,M,M,520101,1337.0,1340.3333333333333,1334.0,1327.0,-0.7479431563201197,True
synthetic_M_72018,72018,phase5b_holdout,M,M,520102,1337.0,1340.3333333333333,1334.0,1328.0,-0.6731488406881077,True
