Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
LG_HGA,CB1_CORE_L_CF3_R01,L,CF3,5367,5455.40,5393.00,124.11,18.287,16.934,2.00,False
CSG-NI,CB1_CORE_L_CF3_R01,L,CF3,4612,4751.20,4713.00,114.69,3.018,2.190,1.00,True
GA,CB1_CORE_L_CF3_R02,L,CF3,3977,4296.40,4367.00,250.44,19.744,21.711,3.00,False
DCGA,CB1_CORE_L_CF3_R02,L,CF3,4787,4893.00,4922.00,63.17,36.371,37.179,5.00,False
DABC,CB1_CORE_L_CF3_R02,L,CF3,4441,4491.20,4503.00,46.88,25.173,25.502,4.00,False
LG_HGA,CB1_CORE_L_CF3_R02,L,CF3,3790,4041.80,3987.00,207.30,12.648,11.120,2.00,False
CSG-NI,CB1_CORE_L_CF3_R02,L,CF3,3588,3659.40,3686.00,53.42,1.990,2.731,1.00,True
GA,CB1_CORE_L_CF3_R03,L,CF3,4239,4440.00,4417.00,183.59,15.265,14.668,3.00,False
DCGA,CB1_CORE_L_CF3_R03,L,CF3,5141,5239.00,5248.00,77.26,36.007,36.241,5.00,False
DABC,CB1_CORE_L_CF3_R03,L,CF3,4517,4643.00,4674.00,104.95,20.535,21.340,4.00,False
LG_HGA,CB1_CORE_L_CF3_R03,L,CF3,4168,4255.40,4266.00,64.56,10.472,10.748,2.00,False
CSG-NI,CB1_CORE_L_CF3_R03,L,CF3,3852,3917.40,3884.00,76.12,1.698,0.831,1.00,True
GA,CB1_CORE_L_CF3_R04,L,CF3,4725,4825.00,4771.00,110.37,27.747,26.317,3.00,False
DCGA,CB1_CORE_L_CF3_R04,L,CF3,5443,5499.60,5495.00,62.11,45.608,45.486,5.00,False
DABC,CB1_CORE_L_CF3_R04,L,CF3,4818,4939.80,4895.00,136.69,30.786,29.600,4.00,False
LG_HGA,CB1_CORE_L_CF3_R04,L,CF3,4133,4456.20,4533.00,181.35,17.983,20.016,2.00,False
CSG-NI,CB1_CORE_L_CF3_R04,L,CF3,3777,3871.60,3899.00,64.60,2.505,3.230,1.00,True
GA,CB1_CORE_L_CF3_R05,L,CF3,4307,4569.20,4561.00,175.83,30.698,30.463,3.00,False
DCGA,CB1_CORE_L_CF3_R05,L,CF3,5139,5243.60,5275.00,61.19,49.989,50.887,5.00,False
DABC,CB1_CORE_L_CF3_R05,L,CF3,4824,4881.40,4850.00,87.90,39.628,38.730,4.00,False
LG_HGA,CB1_CORE_L_CF3_R05,L,CF3,4222,4436.00,4367.00,276.54,26.888,24.914,2.00,False
CSG-NI,CB1_CORE_L_CF3_R05,L,CF3,3496,3617.80,3632.00,79.94,3.484,3.890,1.00,True
GA,CB1_CORE_M_CF1_R01,M,CF1,2577,2774.00,2796.00,170.19,11.138,12.019,3.00,False
DCGA,CB1_CORE_M_CF1_R01,M,CF1,3183,3258.20,3254.00,57.92,30.537,30.369,5.00,False
DABC,CB1_CORE_M_CF1_R01,M,CF1,2813,2935.80,2896.00,116.55,17.620,16.026,4.00,False
LG_HGA,CB1_CORE_M_CF1_R01,M,CF1,2496,2638.60,2632.00,108.48,5.713,5.449,2.00,True
CSG-NI,CB1_CORE_M_CF1_R01,M,CF1,2586,2628.20,2606.00,54.97,5.296,4.407,1.00,False
GA,CB1_CORE_M_CF1_R02,M,CF1,3336,3461.80,3507.00,104.92,7.110,8.509,3.00,False
DCGA,CB1_CORE_M_CF1_R02,M,CF1,3789,3852.80,3855.00,48.93,19.208,19.276,5.00,False
DABC,CB1_CORE_M_CF1_R02,M,CF1,3557,3785.20,3810.00,178.60,17.116,17.884,4.00,False
