algorithm,instance_id,seed,scale,CF_level,cell_replicate,num_operations,budget_seconds,final_makespan,bks_v001_makespan,rpd_v001_percent,feasible,runtime_seconds,best_found_seconds,decoder_evaluations,iterations
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,CF3,C02,116,232.0,3242.0,2922.0,10.951403148528405,True,232.0040511090192,109.53033204600797,38557,4820
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,CF3,C02,116,232.0,3204.0,2922.0,9.650924024640657,True,232.0014350200072,0.22183024801779538,38131,4767
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,CF3,C02,116,232.0,3167.0,2922.0,8.38466803559206,True,232.00478298499365,85.20765241899062,38161,4770
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,CF1,C01,61,122.0,1657.0,1645.0,0.729483282674772,True,122.00078069098527,74.47010856200359,55269,6909
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,S,CF1,C01,61,122.0,1677.0,1645.0,1.9452887537993921,True,122.00097069799085,82.24787267198553,55733,6967
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,S,CF1,C01,61,122.0,1718.0,1645.0,4.437689969604863,True,122.00108325801557,117.65002309100237,54032,6754
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,S,CF1,C02,56,112.0,1807.0,1783.0,1.346045989904655,True,112.00083191200974,45.038271075027296,56856,7107
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,S,CF1,C02,56,112.0,1823.0,1783.0,2.243409983174425,True,112.00170780599001,96.80042156900163,57132,7142
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,S,CF1,C02,56,112.0,1783.0,1783.0,0.0,True,112.00053515098989,90.52058351700543,56117,7015
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,S,CF2,C01,60,120.0,1588.0,1588.0,0.0,True,120.00195779302157,113.40849238401279,55797,6975
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746102,S,CF2,C01,60,120.0,1618.0,1588.0,1.8891687657430731,True,120.00019543300732,104.7326305329916,55090,6887
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746103,S,CF2,C01,60,120.0,1675.0,1588.0,5.478589420654912,True,120.00065358399297,102.49088551898603,55721,6965
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746101,S,CF2,C02,63,126.0,2011.0,1884.0,6.740976645435244,True,126.00161211300292,121.97557228300138,54152,6769
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746102,S,CF2,C02,63,126.0,1974.0,1884.0,4.777070063694268,True,126.00057757497416,58.98186322397669,53303,6663
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746103,S,CF2,C02,63,126.0,1884.0,1884.0,0.0,True,126.00118499199743,125.45106700700126,54439,6805
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746101,S,CF3,C01,61,122.0,1792.0,1655.0,8.277945619335348,True,122.00118905998534,23.326230217993725,54646,6831
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746102,S,CF3,C01,61,122.0,1796.0,1655.0,8.51963746223565,True,122.00063262900221,119.24827458302025,54582,6823
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746103,S,CF3,C01,61,122.0,1788.0,1655.0,8.036253776435045,True,122.00057100201957,114.6263930000132,55170,6897
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746101,S,CF3,C02,63,126.0,1800.0,1729.0,4.1064198958935805,True,126.00028966501122,114.82481757900678,53673,6709
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,S,CF3,C02,63,126.0,1797.0,1729.0,3.932909196067091,True,126.00035148698953,68.23069737598416,52727,6591
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746103,S,CF3,C02,63,126.0,1752.0,1729.0,1.3302486986697513,True,126.00164522900013,112.70109108599718,54035,6755
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,CF1,C01,166,332.0,3453.0,3453.0,0.0,True,332.00521169998683,289.7566000139923,28074,699
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,CF1,C01,166,332.0,3470.0,3453.0,0.4923255140457573,True,332.01235979399644,202.83826368598966,28502,710
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,CF1,C01,166,332.0,3668.0,3453.0,6.226469736461048,True,332.0232329540013,231.32664702099282,28754,716
