instance_id,seed,scale,iterations,decoder_evaluations,critic_calls,refresh_count,guided_iterations,guided_iterations_per_critic_call,runtime_preparation_seconds,refresh_seconds,refresh_budget_share,decoder_evaluations_per_second,new_best_events,new_best_events_per_1000_evaluations,h1_to_final_improvement,improvement_per_second,improvement_per_1000_evaluations,best_found_seconds,budget_overshoot_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms
CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,3423,27385,172,172,3423,19.901162790697676,0.0006684220279566944,4.144142525503412,0.01248235700452835,82.48240289051064,33,1.2050392550666422,1210.0,3.6444662222938793,44.184772685776885,265.2947368219611,0.010211151966359466,22.259527468122542,23.2968790223822,73.28822768817187,198.48106801509857
CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,3369,26947,169,169,3369,19.93491124260355,0.0011219059815630317,3.864208845363464,0.011639183269167061,81.16425540054938,22,0.8164174119568041,1030.0,3.102355848983778,38.223178832523104,257.9434491809807,0.005756314960308373,22.037987015210092,23.622582177631557,24.748533864039917,80.24781598942354
CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,3419,27351,171,171,3419,19.994152046783626,0.000884626992046833,3.913557699357625,0.011787824395655497,82.38215081370639,25,0.9140433622171036,1053.0,3.171672143864313,38.4995064165844,313.6861159389955,0.0015286059933714569,22.20774401212111,23.760115960612893,25.05278863245622,82.92167301988229
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,3256,26046,163,163,3256,19.975460122699385,0.0007017080206423998,4.0248764648567885,0.011700222281560431,75.71301259917507,17,0.6526913921523458,958.0,2.784806345312513,36.78107962834984,81.68417658196995,0.009558012010529637,22.584987978916615,24.284961773082614,83.01287021487947,89.172343024984
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,3267,26134,164,164,3267,19.920731707317074,0.0009358840179629624,3.9142248909920454,0.01137856072962804,75.96991495581231,17,0.6504936098568914,928.0,2.6976383668398953,35.50929823218795,89.8948486270383,0.004597283026669174,22.537553508300334,24.04976279940456,47.863935188507014,87.36281801247969
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,3269,26153,164,164,3269,19.932926829268293,0.0009141680202446878,3.991601398505736,0.011603492437516676,76.02599548179339,27,1.032386341911062,1032.0,2.999993397973876,39.460100179711695,165.2549527049996,0.0007570339948870242,22.774808458052576,24.435911886394024,81.32270848262127,86.8583139963448
CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,3081,24644,155,155,3081,19.87741935483871,0.0009988360106945038,3.943920516059734,0.010489150308669506,65.54144800370874,7,0.2840447979224152,272.0,0.7233920571745162,11.03716929069956,311.0946564229671,0.006340271967928857,24.450988043099642,26.37603939510882,27.53756379708648,83.48676102468744
CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,3132,25052,157,157,3132,19.94904458598726,0.0013460879563353956,4.072104317077901,0.010830064673079525,66.62684589020667,5,0.19958486348395338,282.0,0.74999084069289,11.25658630049497,3.249043434043415,0.004591922042891383,24.190540018025786,25.984713586512953,83.98707204498349,89.4683160004206
CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,3153,25221,158,158,3153,19.955696202531644,0.001209364039823413,3.9913410102017224,0.010615268644153518,67.07447333820201,8,0.3171959874707585,438.0,1.1648475208014148,17.366480314024027,280.8332324770163,0.014879354042932391,24.275331990793347,25.968070910312235,27.14265144255478,83.46267096931115
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,3034,24269,152,152,3034,19.960526315789473,0.0009567289962433279,4.053201889677439,0.010446396622879998,62.54763425599734,1,0.041204829205982944,48.0,0.12370870016431959,1.9778318018871812,0.8798218320007436,0.008280228008516133,24.900637508835644,26.73108107992448,82.96697424259037,86.00264595588669
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,3121,24967,157,157,3121,19.878980891719745,0.0012131999828852713,3.9862043817411177,0.010273722633353397,64.34567931661819,0,0.0,0.0,0.0,0.0,0.49228751804912463,0.013620575016830117,24.76064901566133,26.42729339422658,27.412996287457645,28.0126070138067
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,3164,25310,159,159,3164,19.89937106918239,0.0011633819667622447,4.182141368626617,0.010778714867594373,65.23127785443268,0,0.0,0.0,0.0,0.0,0.48524071398423985,0.004050088988151401,24.918404989875853,26.806282438337803,54.1235453286202,92.57834596792236
CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,3164,25310,159,159,3164,19.89937106918239,0.0009628289844840765,3.9178198580630124,0.01070442584170222,69.15061184816322,12,0.4741209008297116,372.0,1.016358261853683,14.697747925721059,144.17636683903402,0.012668920040596277,24.089846992865205,25.77372557716444,26.429423602530733,27.06866496009752
CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,3138,25103,157,157,3138,19.987261146496817,0.001265833037905395,3.874369013879914,0.010585707688196486,68.58662251108228,11,0.4381946380910648,344.0,0.9398796217110427,13.7035414093933,183.36215669097146,0.00431805697735399,24.099370988551527,25.817662407644093,27.283549376297742,28.198551037348807
CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,3160,25281,159,159,3160,19.87421383647799,0.0013357489951886237,3.943608267523814,0.010774885976841023,69.0695392744689,7,0.27688778133776354,285.0,0.7786408248575466,11.273288240180372,87.69183418201283,0.022421251982450485,24.46733199758455,25.671118416357785,26.457102495478463,26.635217014700174
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,3264,26108,164,164,3264,19.902439024390244,0.0009042500169016421,4.107099737913813,0.011472345636630764,72.92708490235282,0,0.0,0.0,0.0,0.0,0.5716926750028506,0.001420665008481592,23.73630995862186,25.380686402786523,47.23729611432671,88.5388040333055
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,3249,25988,163,163,3249,19.932515337423315,0.0011500800028443336,4.031771410838701,0.011261931315191901,72.59072143272452,1,0.038479298137601974,65.0,0.1815606007821723,2.501154378944128,0.6959617620450445,0.00718724203761667,23.85659300489351,25.529042223934084,26.361482546199106,83.8092920021154
CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,3181,25442,160,160,3181,19.88125,0.0023099230020307004,4.107631009421311,0.01147382963525506,71.06508676240672,0,0.0,0.0,0.0,0.0,0.5856835609884001,0.009835196018684655,23.934743512654677,25.48399783554487,80.98686700221151,92.29014196898788
