algorithm,instance_id,scale,CF_level,cell_replicate,mean_final_makespan,mean_rpd_v001_percent,median_final_makespan,feasible_fraction
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,3667.0,0.24603608529250956,3666.0,1.0
NGAS_A1_6R,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,2748.3333333333335,4.142983453328281,2748.0,1.0
NGAS_A1_6R,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,3016.0,3.2169746748802193,3033.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,1615.0,-1.82370820668693,1614.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,1792.6666666666667,0.5421574126004861,1811.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,1601.0,0.818639798488665,1619.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,1852.0,-1.6985138004246287,1855.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,1729.3333333333333,4.491440080563947,1718.0,1.0
NGAS_A1_6R,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,1713.0,-0.9253903990746096,1713.0,1.0
PHASE6H,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,3556.3333333333335,2.992566850082054,3539.0,1.0
PHASE6H,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,3763.0,1.4285714285714286,3772.0,1.0
PHASE6H,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,4250.666666666667,2.0323251720275244,4254.0,1.0
PHASE6H,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,4101.666666666667,3.6559683261730265,4150.0,1.0
PHASE6H,CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,C01,4196.333333333333,1.2384398874145557,4147.0,1.0
PHASE6H,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,3452.0,8.553459119496855,3469.0,1.0
PHASE6H,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,2841.6666666666665,3.59703487665573,2868.0,1.0
PHASE6H,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,2875.0,3.7157287157287158,2878.0,1.0
PHASE6H,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,2921.0,4.996405463695183,2898.0,1.0
PHASE6H,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,3683.3333333333335,0.6925460178603973,3685.0,1.0
PHASE6H,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,2831.6666666666665,7.300745231779715,2822.0,1.0
PHASE6H,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,3186.0,9.034907597535934,3138.0,1.0
PHASE6H,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,1723.0,4.741641337386018,1742.0,1.0
PHASE6H,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,1897.6666666666667,6.431108618433353,1895.0,1.0
PHASE6H,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,1700.6666666666667,7.094878253568431,1704.0,1.0
PHASE6H,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,1991.3333333333333,5.697098372257607,2003.0,1.0
PHASE6H,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,1832.0,10.694864048338369,1814.0,1.0
PHASE6H,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,1846.0,6.7669172932330826,1863.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12,L,CF1,C01,3553.0,2.8960324355632783,3548.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,C02,3761.6666666666665,1.3926325247079963,3769.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12,L,CF2,C01,4387.333333333333,5.312850056008961,4375.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,L,CF2,C02,4147.333333333333,4.810041277061747,4148.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF3_RI2_TI2_R12,L,CF3,C01,4274.0,3.1121833534378767,4265.0,1.0
PHASE6N_TOP1,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,3455.6666666666665,8.668763102725366,3469.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,2820.6666666666665,2.831449750881031,2806.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,2843.0,2.5613275613275612,2874.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,2946.0,5.895039539899353,2920.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,3789.3333333333335,3.590304355749954,3760.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,2857.3333333333335,8.273335859542755,2858.0,1.0
PHASE6N_TOP1,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,3142.3333333333335,7.540497376226329,3160.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF1_RI2_TI2_R12,S,CF1,C01,1681.0,2.188449848024316,1680.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,S,CF1,C02,1895.3333333333333,6.300243036081511,1903.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF2_RI2_TI2_R12,S,CF2,C01,1676.6666666666667,5.583543240973971,1657.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,S,CF2,C02,1972.3333333333333,4.688605803255485,1971.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF3_RI2_TI2_R12,S,CF3,C01,1832.3333333333333,10.715005035246728,1804.0,1.0
PHASE6N_TOP1,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,S,CF3,C02,1816.3333333333333,5.051089261615577,1860.0,1.0
