scale,runs,refresh_samples,mean_critic_calls,mean_guided_iterations_per_call,mean_refresh_budget_share,mean_runtime_preparation_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms,count_gt_30_ms,count_gt_50_ms,count_gt_100_ms,mean_decoder_evaluations_per_second,mean_new_best_events_per_1000_evaluations
ALL,54,11753,217.64814814814815,19.94886251667003,0.01873685481148506,0.0007662588150533675,17.268289055209607,24.37147101154551,26.73466474749148,198.48106801509857,69,66,1,194.7399522920546,0.38725391542950083
S,18,5069,281.6111111111111,19.966939483121994,0.0288481156020879,0.0003698034949290256,12.045677984133363,12.838083982933313,13.61970905214548,91.6579210315831,15,15,0,371.4734691181391,0.3647032419541214
M,18,3781,210.05555555555554,19.95423509058866,0.016234777501167072,0.0008154741695357694,17.77577504981309,18.96669197594747,20.11004060041159,88.8012059731409,22,21,0,141.16334567291844,0.3892371449099311
L,18,2903,161.27777777777777,19.925412976299423,0.011127671331200214,0.0011134987806953075,24.03287898050621,25.91772315790877,71.25048686750303,198.48106801509857,32,30,1,71.58304208510617,0.40782135942445014
