algorithm,runs,mean_final_makespan,median_final_makespan,mean_rpd_v001_percent,median_rpd_v001_percent,feasibility_fraction,average_instance_rank,bks_v001_run_hits
ALNS,54,2921.8333333333335,2943.5,4.341015941632121,4.100215254997586,1.0,3.2222222222222223,4
LG_HGA_2O,54,2899.3333333333335,2914.5,3.321730642008797,2.460590075996418,1.0,2.6666666666666665,8
NGAS_A1_6R,54,2849.796296296296,2828.0,1.4871580921209484,1.4503178434459243,1.0,1.5555555555555556,19
PHASE6H,54,2924.962962962963,2889.0,5.036955922790999,5.240983201659655,1.0,3.7222222222222223,4
PHASE6N_TOP1,54,2936.203703703704,2901.5,5.078410745462766,4.722361726135576,1.0,3.8333333333333335,2
