data_split,group,method,runs,mean_makespan,std_makespan,mean_gap_to_bc_percent,std_gap_to_bc_percent,feasibility_rate
development,L,BC_GREEDY,10,3849.5,1298.5610690298704,0.0,0.0,1.0
development,L,H1,10,2565.9,900.908258370407,-31.200927639612484,20.459662835600678,1.0
development,L,H2,10,3102.9,1058.1372737031807,-18.1548682291606,18.207687467490132,1.0
development,L,PHASE4_PPO,30,3884.3333333333335,1753.7674557617065,2.1697024479061553,31.091568030809867,1.0
development,L,PHASE5A_PPO,30,3323.9333333333334,1021.9152911187024,-12.07529047173361,11.184515302055244,1.0
development,M,BC_GREEDY,10,1214.5,273.2245413574703,0.0,0.0,1.0
development,M,H1,10,1175.1,403.75028173364785,-5.157496559105259,16.813274491053892,1.0
development,M,H2,10,1269.4,458.50107960614446,2.0927930986945995,19.90375072773859,1.0
development,M,PHASE4_PPO,30,1286.9333333333334,364.66285189960814,6.715023889329933,25.220861010772314,1.0
development,M,PHASE5A_PPO,30,1142.0666666666666,317.44111614947144,-7.146956650436594,8.65735814361866,1.0
development,Overall,BC_GREEDY,30,1883.2,1615.1306118494979,0.0,0.0,1.0
development,Overall,H1,30,1442.2333333333333,1019.0046674192529,-11.886305109696785,21.757864232705707,1.0
development,Overall,H2,30,1666.6666666666667,1254.3289396680955,-3.2006944795481287,19.96018140117818,1.0
development,Overall,PHASE4_PPO,90,1926.6222222222223,1756.9319191121385,4.328951022966924,23.44833483643029,1.0
development,Overall,PHASE5A_PPO,90,1680.8444444444444,1344.8809274935095,-7.071050102271013,9.68254903146666,1.0
development,S,BC_GREEDY,10,585.6,260.32103257324405,0.0,0.0,1.0
development,S,H1,10,585.7,269.8614644590813,0.6995088696273892,11.924585692710124,1.0
development,S,H2,10,627.7,300.1779638814282,6.459991691821613,11.071141232129738,1.0
development,S,PHASE4_PPO,30,608.6,269.6901431890556,4.1021267316646846,6.0240052849625965,1.0
development,S,PHASE5A_PPO,30,576.5333333333333,267.4112604626481,-1.9909031846428344,5.509624169340322,1.0
historical_validation,L,BC_GREEDY,2,3106.5,889.5,0.0,0.0,1.0
historical_validation,L,H1,2,3301.0,749.0,8.23093052457058,6.879579173219228,1.0
historical_validation,L,H2,2,3272.5,745.5,7.266705135446678,6.7161545848961275,1.0
historical_validation,L,PHASE4_PPO,6,3805.3333333333335,1208.8385150860952,21.983113018295697,15.644229978782299,1.0
historical_validation,L,PHASE5A_PPO,6,3540.0,1120.7183708080574,13.023787206240973,6.277370437245702,1.0
historical_validation,M,BC_GREEDY,3,1414.3333333333333,380.1686760139796,0.0,0.0,1.0
historical_validation,M,H1,3,1397.6666666666667,510.19233845896025,-4.60774623744255,13.08151247775473,1.0
historical_validation,M,H2,3,1411.0,486.18172185579607,-2.9641462378189187,10.39703589062423,1.0
historical_validation,M,PHASE4_PPO,9,1487.5555555555557,436.68094406967225,4.813905089207937,8.358409612770755,1.0
historical_validation,M,PHASE5A_PPO,9,1395.7777777777778,352.62248550532144,-0.7425966916220728,3.5304422977713488,1.0
historical_validation,Overall,BC_GREEDY,10,1207.4,1152.7403176778369,0.0,0.0,1.0
historical_validation,Overall,H1,10,1247.8,1207.4115122856829,2.38658808342121,9.247032114590892,1.0
historical_validation,Overall,H2,10,1252.9,1189.8869231990072,4.677980012335918,10.942564973952878,1.0
historical_validation,Overall,PHASE4_PPO,30,1382.8666666666666,1436.2517591131284,10.164890499773028,15.91666581623405,1.0
historical_validation,Overall,PHASE5A_PPO,30,1293.2333333333333,1328.7114982401392,3.7583131992486365,7.014213159639904,1.0
historical_validation,S,BC_GREEDY,5,323.6,70.65295464451576,0.0,0.0,1.0
historical_validation,S,H1,5,336.6,71.36834031978046,4.245451699479718,1.7140139634322207,1.0
historical_validation,S,H2,5,350.2,78.43315625422707,8.227765713184517,10.30800254498284,1.0
historical_validation,S,PHASE4_PPO,15,351.06666666666666,90.45917433971096,8.648192738703013,17.073885603195603,1.0
historical_validation,S,PHASE5A_PPO,15,333.0,79.98499859348627,2.752669530974128,5.258514090477397,1.0
structural_generalization,Overall,BC_GREEDY,9,1737.4444444444443,766.7847896119529,0.0,0.0,1.0
structural_generalization,Overall,H1,9,1819.5555555555557,817.605869612426,4.16173779970316,8.82394176371641,1.0
structural_generalization,Overall,H2,9,1995.3333333333333,807.7584897590231,16.060476632413163,11.400922973805113,1.0
structural_generalization,Overall,PHASE4_PPO,27,1836.2962962962963,769.4177603787701,7.2249927691789715,17.91786955008932,1.0
structural_generalization,Overall,PHASE5A_PPO,27,1764.148148148148,740.2268272833023,2.56288246909517,9.316514562888338,1.0
structural_generalization,fleet_scarcity,BC_GREEDY,3,2473.3333333333335,782.2652292470175,0.0,0.0,1.0
structural_generalization,fleet_scarcity,H1,3,2678.0,700.029047016384,10.46524143312659,7.9325917678965725,1.0
structural_generalization,fleet_scarcity,H2,3,2865.0,637.2948035773293,19.32544327394113,11.073804720658481,1.0
structural_generalization,fleet_scarcity,PHASE4_PPO,9,2498.4444444444443,783.3734899084587,1.0631947216230182,0.9415953023343929,1.0
structural_generalization,fleet_scarcity,PHASE5A_PPO,9,2451.777777777778,766.1883693217684,-0.7725371718267974,0.5666477975635738,1.0
structural_generalization,high_reconfiguration,BC_GREEDY,3,1038.0,146.67196960110226,0.0,0.0,1.0
structural_generalization,high_reconfiguration,H1,3,1039.0,170.3114793547399,0.1506405622443964,9.657358769622206,1.0
structural_generalization,high_reconfiguration,H2,3,1125.3333333333333,86.75764455590578,9.389582346421166,7.558433940315956,1.0
structural_generalization,high_reconfiguration,PHASE4_PPO,9,1124.7777777777778,247.9308943941068,8.186521937404933,17.05014636179823,1.0
structural_generalization,high_reconfiguration,PHASE5A_PPO,9,1056.888888888889,142.12001535826013,2.045063148421883,5.535962936389799,1.0
structural_generalization,high_travel,BC_GREEDY,3,1701.0,313.59528057673316,0.0,0.0,1.0
structural_generalization,high_travel,H1,3,1741.6666666666667,366.2388413165497,1.8693314037384958,4.039439069708227,1.0
structural_generalization,high_travel,H2,3,1995.6666666666667,174.7270887857849,19.466404276877196,11.97592912796406,1.0
structural_generalization,high_travel,PHASE4_PPO,9,1885.6666666666667,392.08559156274936,12.425261648508963,24.6093674244665,1.0
structural_generalization,high_travel,PHASE5A_PPO,9,1783.7777777777778,251.25497353961984,6.416121430690424,14.254253537695336,1.0
