instance,split,group,level,seed,bc_makespan,phase5a_ppo_mean_makespan,frozen_o_hybrid_mean_makespan,phase5b_downstream_makespan,phase5b_gap_to_bc_percent,feasible
synthetic_L_73014,phase5b_holdout,L,L,73014,2107.0,2097.6666666666665,2041.6666666666667,2071.0,-1.7085904129093499,True
synthetic_L_73015,phase5b_holdout,L,L,73015,5083.0,4402.666666666667,4143.333333333333,3981.0,-21.680110171158766,True
synthetic_L_73016,phase5b_holdout,L,L,73016,4465.0,3890.6666666666665,4199.666666666667,4518.0,1.187010078387458,True
synthetic_L_73017,phase5b_holdout,L,L,73017,11528.0,11713.333333333334,11654.666666666666,8016.0,-30.46495489243581,True
synthetic_L_73018,phase5b_holdout,L,L,73018,6076.0,5390.333333333333,6022.0,5615.0,-7.587228439763002,True
synthetic_L_73019,phase5b_holdout,L,L,73019,2704.0,2765.0,2708.3333333333335,2539.0,-6.10207100591716,True
synthetic_L_73020,phase5b_holdout,L,L,73020,4497.0,4486.666666666667,4473.333333333333,4384.0,-2.512786301979097,True
synthetic_M_74001,phase5b_structural,high_reconfiguration,M,74001,1098.0,1111.3333333333333,1155.3333333333333,1088.0,-0.9107468123861566,True
synthetic_M_74002,phase5b_structural,high_reconfiguration,M,74002,1596.0,1570.3333333333333,1628.6666666666667,1555.0,-2.568922305764411,True
synthetic_M_74003,phase5b_structural,high_reconfiguration,M,74003,715.0,620.0,614.6666666666666,639.0,-10.62937062937063,True
synthetic_M_74004,phase5b_structural,high_reconfiguration,M,74004,1634.0,1279.6666666666667,1251.6666666666667,1707.0,4.467564259485924,True
synthetic_M_74005,phase5b_structural,high_reconfiguration,M,74005,1731.0,1764.3333333333333,1691.0,1731.0,0.0,True
synthetic_M_74006,phase5b_structural,high_reconfiguration,M,74006,974.0,954.3333333333334,962.6666666666666,1008.0,3.490759753593429,True
synthetic_M_74007,phase5b_structural,high_reconfiguration,M,74007,1024.0,987.6666666666666,1055.0,1043.0,1.85546875,True
synthetic_M_74008,phase5b_structural,high_reconfiguration,M,74008,1642.0,1492.6666666666667,1541.0,1593.0,-2.9841656516443362,True
synthetic_M_74009,phase5b_structural,high_reconfiguration,M,74009,591.0,637.0,729.6666666666666,651.0,10.152284263959391,True
synthetic_M_74010,phase5b_structural,high_reconfiguration,M,74010,771.0,876.0,829.0,805.0,4.409857328145266,True
synthetic_M_74001,phase5b_structural,high_travel,M,74001,1976.0,1868.6666666666667,1994.3333333333333,2078.0,5.161943319838056,True
synthetic_M_74002,phase5b_structural,high_travel,M,74002,2885.0,2653.0,2526.0,2779.0,-3.6741767764298094,True
synthetic_M_74003,phase5b_structural,high_travel,M,74003,1043.0,789.0,806.3333333333334,805.0,-22.818791946308725,True
synthetic_M_74004,phase5b_structural,high_travel,M,74004,2844.0,2113.6666666666665,2149.3333333333335,2501.0,-12.060478199718705,True
synthetic_M_74005,phase5b_structural,high_travel,M,74005,3116.0,3127.0,3023.0,3116.0,0.0,True
synthetic_M_74006,phase5b_structural,high_travel,M,74006,1698.0,1693.3333333333333,1712.3333333333333,1782.0,4.946996466431095,True
synthetic_M_74007,phase5b_structural,high_travel,M,74007,1856.0,1758.6666666666667,1717.6666666666667,1825.0,-1.6702586206896552,True
synthetic_M_74008,phase5b_structural,high_travel,M,74008,2652.0,2526.3333333333335,2666.3333333333335,2559.0,-3.506787330316742,True
synthetic_M_74009,phase5b_structural,high_travel,M,74009,1218.0,1049.3333333333333,1214.3333333333333,1267.0,4.022988505747127,True
synthetic_M_74010,phase5b_structural,high_travel,M,74010,1342.0,1496.3333333333333,1307.3333333333333,1342.0,0.0,True
synthetic_M_74001,phase5b_structural,fleet_scarcity,M,74001,1764.0,1777.6666666666667,1765.3333333333333,1764.0,0.0,True
synthetic_M_74002,phase5b_structural,fleet_scarcity,M,74002,2647.0,2664.0,2651.0,2647.0,0.0,True
synthetic_M_74003,phase5b_structural,fleet_scarcity,M,74003,1132.0,1096.3333333333333,1137.0,1132.0,0.0,True
synthetic_M_74004,phase5b_structural,fleet_scarcity,M,74004,2311.0,2270.3333333333335,2266.6666666666665,2311.0,0.0,True
synthetic_M_74005,phase5b_structural,fleet_scarcity,M,74005,1730.0,1698.6666666666667,1703.6666666666667,1730.0,0.0,True
synthetic_M_74006,phase5b_structural,fleet_scarcity,M,74006,1182.0,1167.6666666666667,1178.3333333333333,1182.0,0.0,True
synthetic_M_74007,phase5b_structural,fleet_scarcity,M,74007,1419.0,1430.0,1446.0,1419.0,0.0,True
synthetic_M_74008,phase5b_structural,fleet_scarcity,M,74008,2885.0,2836.0,2873.6666666666665,2885.0,0.0,True
synthetic_M_74009,phase5b_structural,fleet_scarcity,M,74009,736.0,788.0,766.6666666666666,736.0,0.0,True
synthetic_M_74010,phase5b_structural,fleet_scarcity,M,74010,1089.0,1108.6666666666667,1104.6666666666667,1089.0,0.0,True
