data_split,group,method,runs,mean_makespan,std_makespan,best_makespan,mean_gap_percent,std_gap_percent,mean_runtime_seconds,mean_inference_seconds,feasibility_rate
canonical_public_test,Brandimarte,BC_GREEDY,10,2336.4,1015.3718727638658,767.0,23.51576307383688,28.581998220789647,23.4526487900177,7.066024109954014,1.0
canonical_public_test,Brandimarte,H1,10,2032.1,1085.5916773815097,616.0,0.040893362692670646,0.12268008807801195,2.191168909997214,2.191168909997214,1.0
canonical_public_test,Brandimarte,H2,10,2260.2,1165.7557033958701,751.0,12.391895833634411,6.802486573689164,1.9516998800099827,1.9516998800099827,1.0
canonical_public_test,Brandimarte,H3,10,3913.0,2452.7498037916544,908.0,81.88159662489159,37.85742423625993,12.439508519996888,12.439508519996888,1.0
canonical_public_test,Brandimarte,PPO_GREEDY,30,2314.733333333333,1091.5766863680362,700.0,18.728103232300775,17.174934595236518,23.335013190012734,7.036462263530121,1.0
canonical_public_test,Hurink E,BC_GREEDY,40,3526.7,1798.6838966310895,1140.0,33.873311765516696,19.95404056685283,19.544040290007253,7.440795805124798,1.0
canonical_public_test,Hurink E,H1,40,2723.875,1439.9818955025094,808.0,1.14777025217478,1.7719882520735544,1.4670117500034394,1.4670117500034394,1.0
canonical_public_test,Hurink E,H2,40,2858.125,1488.7656327894597,866.0,7.278186328096825,10.680041668745922,0.37991738248674667,0.37991738248674667,1.0
canonical_public_test,Hurink E,H3,40,4802.25,2591.5741234817115,1228.0,77.07385925730773,14.883271266667137,9.79223311500391,9.79223311500391,1.0
canonical_public_test,Hurink E,PPO_GREEDY,120,3404.125,1769.8994960284233,969.0,28.12561846882607,18.245363968974733,19.3703036550025,7.425493519116814,1.0
canonical_public_test,Hurink R,BC_GREEDY,40,3333.525,1545.1208688562199,1297.0,38.739020428370885,19.19625827492412,24.528575634997104,7.589918455053703,1.0
canonical_public_test,Hurink R,H1,40,2519.975,1275.152157342409,823.0,1.369279756590355,2.7511395961962193,2.4155650975124443,2.4155650975124443,1.0
canonical_public_test,Hurink R,H2,40,2630.3,1332.120587634618,944.0,6.2130358048787935,6.5416701326401,0.5628679799963721,0.5628679799963721,1.0
canonical_public_test,Hurink R,H3,40,4641.425,2492.8071715186875,1310.0,83.3047531632426,23.564109225683758,14.931337677501142,14.931337677501142,1.0
canonical_public_test,Hurink R,PPO_GREEDY,120,3212.0583333333334,1522.6659422201649,1104.0,32.82326794392132,18.23270133492747,24.27063735332437,7.556988749923766,1.0
canonical_public_test,Hurink V,BC_GREEDY,40,3980.975,1788.4823662465894,1488.0,78.21901683815248,28.714594981054955,40.35929974500323,7.784216637472855,1.0
canonical_public_test,Hurink V,H1,40,2241.525,930.9863046119422,837.0,0.31575895927050335,1.442285579981577,5.530260212498251,5.530260212498251,1.0
canonical_public_test,Hurink V,H2,40,2511.35,1028.6114560415901,987.0,13.413598302127323,12.976334577101879,1.2049169974867255,1.2049169974867255,1.0
canonical_public_test,Hurink V,H3,40,4707.575,2221.1784922367224,1543.0,106.27048723959905,29.623677922820846,35.04521901750413,35.04521901750413,1.0
canonical_public_test,Hurink V,PPO_GREEDY,120,3805.075,1744.489138031055,1317.0,69.3885350091567,26.496505344168245,37.56277223666936,7.347013402534261,1.0
canonical_public_test,Overall,BC_GREEDY,130,3515.476923076923,1725.5146800319947,767.0,48.218550707845935,31.10109055268713,27.783100882311388,7.563519053889188,1.0
canonical_public_test,Overall,H1,130,2459.507692307692,1243.7729031283054,616.0,0.8747791719104018,2.0454874672325194,3.0648090115425966,3.0648090115425966,1.0
canonical_public_test,Overall,H2,130,2635.3307692307694,1299.5823079771055,751.0,9.231629044157398,10.665890782987994,0.8109622553761046,0.8109622553761046,1.0
canonical_public_test,Overall,H3,130,4655.2307692307695,2451.3886254324116,908.0,88.34446117426839,27.71751533303875,19.347282135387204,19.347282135387204,1.0
canonical_public_test,Overall,PPO_GREEDY,390,3384.597435897436,1690.2696930898455,700.0,41.544445301532086,28.298940672973668,26.780758936153664,7.411880380756115,1.0
