source,category,metric,value,observations
NEW_ALNS_EXPANSION,candidate_feature:fallback_overlap_fraction,q90,0.8888888888888888,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:fallback_overlap_fraction,q90,0.8888888888888888,6809
NEW_ALNS_EXPANSION,candidate_feature:fallback_overlap_fraction,std,0.3568670599859762,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:fallback_overlap_fraction,std,0.36006748179494574,6809
NEW_ALNS_EXPANSION,candidate_feature:is_fallback,mean,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:is_fallback,mean,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:is_fallback,q10,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:is_fallback,q10,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:is_fallback,q50,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:is_fallback,q50,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:is_fallback,q90,0.0,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:is_fallback,q90,0.0,6809
NEW_ALNS_EXPANSION,candidate_feature:is_fallback,std,0.20116699798712254,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:is_fallback,std,0.20126581202160593,6809
NEW_ALNS_EXPANSION,candidate_feature:normalized_diversity_rank,mean,0.5,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:normalized_diversity_rank,mean,0.5,6809
NEW_ALNS_EXPANSION,candidate_feature:normalized_diversity_rank,q10,0.08695652173913043,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:normalized_diversity_rank,q10,0.08695652173913043,6809
NEW_ALNS_EXPANSION,candidate_feature:normalized_diversity_rank,q50,0.5,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:normalized_diversity_rank,q50,0.5,6809
NEW_ALNS_EXPANSION,candidate_feature:normalized_diversity_rank,q90,0.9130434782608695,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:normalized_diversity_rank,q90,0.9130434782608695,6809
NEW_ALNS_EXPANSION,candidate_feature:normalized_diversity_rank,std,0.3011420053314078,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:normalized_diversity_rank,std,0.30115512123569443,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:critical,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:critical,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:f_bottleneck,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:f_bottleneck,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:high_reconfiguration,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:high_reconfiguration,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:overloaded_island,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:overloaded_island,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:random,0.16901408450704225,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:random,0.16918783962402703,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:related,0.6197183098591549,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:related,0.6193273608459392,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_destroy_operator,fraction:w_bottleneck,0.04225352112676056,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_destroy_operator,fraction:w_bottleneck,0.04229695990600676,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family,fraction:LOCAL_PERTURBATION,0.16901408450704225,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family,fraction:LOCAL_PERTURBATION,0.16918783962402703,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family,fraction:MATCHED_RANDOM,0.1267605633802817,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family,fraction:MATCHED_RANDOM,0.12689087971802027,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family,fraction:ORIGINAL_OPERATOR,0.29577464788732394,13632
ORIGINAL_PHASE6J_CAUR,candidate_feature:origin_family,fraction:ORIGINAL_OPERATOR,0.29607871934204727,6809
NEW_ALNS_EXPANSION,candidate_feature:origin_family,fraction:RELATED_VARIANT,0.1552230046948357,13632
