state_id,instance_id,phase6n_data_origin,scale,CF_level,search_stage,search_progress,true_continuation_best_target_set_id,true_continuation_best_origin_family,phase6n_winner_target_set_id,phase6n_winner_origin_family,phase6n_rank_of_true_best,phase6n_selected_lift,phase6n_top1_regret,phase6n_predicted_top1_top2_margin,true_top1_top2_continuation_gap,phase6n_winner_in_true_near_optimal_0_0025,phase6n_winner_in_true_near_optimal_0_005,phase6n_winner_in_true_near_optimal_0_010,phase6n_pairwise_accuracy,phase6l_winner_target_set_id,phase6l_selected_lift,phase6l_top1_regret,phase6l_pairwise_accuracy,phase6n_selected_lift_minus_phase6l,phase6n_pairwise_improves_but_top_candidate_worsens,all_ordered_candidate_pairs,loss_directed_comparable_pairs,true_best_vs_rest_pairs,non_top_pairs,top_vs_rest_pairwise_loss_sum,non_top_pairwise_loss_sum,top_vs_rest_pairwise_loss_share,listnet_target_mass_best,listnet_target_mass_top3,listnet_target_mass_top6,state_utility_spread,crn_seed_winner_disagreement,crn_candidate_mean_abs_seed_delta,crn_candidate_max_abs_seed_delta,crn_candidate_sign_disagreement_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721201__it0000258,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,40-60%,0.5795255517441547,ts_4dbfd60b2bfeaa83c0c9,ORIGINAL_OPERATOR,ts_50400399b8257df725c3,STRUCTURED_NEAR_NEIGHBOR,12,0.02442063294293546,0.00323947171692001,0.19192200899124146,0.00323947171692001,False,True,True,0.48363636363636364,,,,,,False,552,275,23,252,23.02676441422253,231.60396352703944,0.09043199381472265,0.13889869061497112,0.3642078138860989,0.5700644241536104,0.07999003239471716,False,0.0016716504693080822,0.035883379018190886,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721201__it0000320,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,60-80%,0.7201438729534857,ts_e633733e268364d95c2f,RELATED_VARIANT,ts_e633733e268364d95c2f,RELATED_VARIANT,1,0.038886101354741597,0.0,0.03864264488220215,0.004264927245358756,True,True,True,0.6231884057971014,,,,,,False,552,276,23,253,13.070707989429316,108.1651303146723,0.10781224572096773,0.17948826613851482,0.4424869933560903,0.6428262740113585,0.058705469141996994,False,0.0015470814517477838,0.008529854490717512,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721201__it0000378,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.850205447255914,ts_52b03c4f32c1152c5d08,MATCHED_RANDOM,ts_f2f771f5e4e8f5b2142c,RELATED_VARIANT,8,-0.006856272219400711,0.026409344845099034,0.15619206428527832,0.004824784154393092,False,False,False,0.5636363636363636,,,,,,False,552,275,23,252,14.289976160136943,171.51827618997464,0.07690711246350283,0.09681221455546667,0.24697849592601379,0.428384383309653,0.11731843575418996,True,0.0016717453868291862,0.023869984763839516,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721201__it0000422,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,80-100%,0.9499714050466008,ts_9b75016e2ea3cf36e970,MATCHED_RANDOM,ts_3e7dbc0960fd2aec7806,STRUCTURED_NEAR_NEIGHBOR,20,-0.02095578839764886,0.042933810375670844,0.15860486030578613,0.014566828520316894,False,False,False,0.5573122529644269,,,,,,False,506,253,22,231,37.481087534817185,146.65733315697054,0.2035484359755279,0.16556097610317155,0.3178827785723678,0.5034510504403065,0.10235113723485817,False,0.00036667074078600875,0.0084334270380782,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000018,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.04935677779068883,ts_b1065d1f3b259ff385be,LOCAL_PERTURBATION,ts_f53cc43ab4b57a0fa1cb,RELATED_VARIANT,9,-0.030249110320284697,0.039501779359430604,0.014220237731933594,0.0021352313167259784,False,False,False,0.56,,,,,,False,552,275,23,252,12.854883646452523,112.01407866593229,0.10294698865434186,0.12544771296351145,0.3311761513283924,0.5836480750192229,0.05124555160142349,True,0.008531039936733887,0.046975088967971534,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000076,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,0-20%,0.17934910509313,ts_9142260f6cf08e2df28f,STRUCTURED_NEAR_NEIGHBOR,ts_fcf78be6c7e43bd0c081,RELATED_VARIANT,2,0.02922412018933937,0.0008232146532208273,0.27399224042892456,0.0005145091582630171,True,True,True,0.6992753623188406,,,,,,False,552,276,23,253,12.069278627815152,177.6727747161712,0.06360887539218607,0.0993367726028639,0.29226094609098324,0.5537230320011614,0.0664745832475818,True,0.07070213349797627,0.12883309322905948,0.7083333333333334
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000139,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,20-40%,0.32055988620938247,ts_93c6a17210c7181f9e5f,LOCAL_PERTURBATION,ts_6291e108c4058f7fc2dd,RELATED_VARIANT,15,-0.008472432979261507,0.03490136570561457,0.022148072719573975,0.005816894284269094,False,False,False,0.5362318840579711,,,,,,False,552,276,23,253,14.00952861901533,89.77748802863346,0.134983440814923,0.1807324049454441,0.3809502138820349,0.6010296923341574,0.04362670713201821,True,0.015553869499241276,0.04678806272129489,0.375
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000196,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,40-60%,0.4496949324186358,ts_91a4c6bfa123a54d8ccc,STRUCTURED_NEAR_NEIGHBOR,ts_91a4c6bfa123a54d8ccc,STRUCTURED_NEAR_NEIGHBOR,1,0.010078254683424234,0.0,0.18869468569755554,0.0010671093194213888,True,True,True,0.7163636363636363,,,,,,False,552,275,23,252,9.466289013563616,146.60876249322996,0.06065216011254414,0.09225868923436492,0.2656611978279334,0.47086749110738013,0.09354991700260848,True,0.001758754248675994,0.016362342897794643,0.0
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000254,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,40-60%,0.5806549007442258,ts_c569b394830040fd2a7e,RELATED_VARIANT,ts_d9334401656ebbb50f77,STRUCTURED_NEAR_NEIGHBOR,2,-0.031219028741328047,0.04286422200198216,0.2761697769165039,0.0061942517343904855,False,False,False,0.5398550724637681,,,,,,False,552,276,23,253,19.38409587219815,158.10387677793648,0.10921357420881807,0.17976061032506357,0.42617645226154655,0.6434283857036371,0.0830029732408325,False,0.0025706144697720513,0.03022794846382557,0.041666666666666664
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed721202__it0000315,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,NEW_ALNS_EXPANSION,L,CF1,60-80%,0.7203611405581564,ts_d3c9e34fe05d4a6db2a0,ORIGINAL_OPERATOR,ts_d990f3c7550e12dc23a1,STRUCTURED_NEAR_NEIGHBOR,18,0.007905138339920948,0.01383399209486166,0.0699772834777832,0.01383399209486166,False,False,False,0.5641025641025641,,,,,,False,552,273,23,250,47.192574704691474,121.95312102224503,0.2790054721869937,0.21450600540858722,0.3820594486966066,0.5529296984141269,0.06645256916996048,False,0.004024621212121212,0.05755928853754941,0.125
