arm,instance_id,scale,CF_level,seed,time_limit_seconds,stored_makespan,replay_feasible,replay_makespan,replayed_action_count,violation_count,source_path,source_sha256,copied_raw_path,copied_raw_sha256
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530103,390.0,4538.0,True,4538.0,195,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530103.json,64df83d0e3ac4ab3058759010ccf39e64c78b3c82294206991c6744343e9ed20,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530103.json,64df83d0e3ac4ab3058759010ccf39e64c78b3c82294206991c6744343e9ed20
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530104,390.0,4729.0,True,4729.0,195,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530104.json,f91e420522a8bbe37e122b0129f660af367461a98e3c2aa3e33851dbb9c3a2da,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530104.json,f91e420522a8bbe37e122b0129f660af367461a98e3c2aa3e33851dbb9c3a2da
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530105,390.0,4593.0,True,4593.0,195,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530105.json,1b30bcd4831a0fb332ee351deadf59532c3ce365a1397d443ca7b97da2c60d69,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R01/seed_530105.json,1b30bcd4831a0fb332ee351deadf59532c3ce365a1397d443ca7b97da2c60d69
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530101,366.0,4480.0,True,4480.0,183,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530101.json,5b1e5b30c9014cd4411103555e7c30de7c54b47bb11dc955d87784d63fd68a91,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530101.json,5b1e5b30c9014cd4411103555e7c30de7c54b47bb11dc955d87784d63fd68a91
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530102,366.0,4380.0,True,4380.0,183,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530102.json,2d4bc630c90709416457eb36cc5eaf03febede29145719e53253b79bb2db1612,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530102.json,2d4bc630c90709416457eb36cc5eaf03febede29145719e53253b79bb2db1612
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530103,366.0,4428.0,True,4428.0,183,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530103.json,5230fcef0fb855210ea696411652283ade7b5235684a1212fe2eee8e0ff0da62,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530103.json,5230fcef0fb855210ea696411652283ade7b5235684a1212fe2eee8e0ff0da62
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530104,366.0,4328.0,True,4328.0,183,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530104.json,32e95b461e59d50cc0660b3d4088af00c57e3c43436f29db8373282014a58bed,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530104.json,32e95b461e59d50cc0660b3d4088af00c57e3c43436f29db8373282014a58bed
CSG-NI Full,CB1_CORE_L_CF2_R02,L,CF2,530105,366.0,4392.0,True,4392.0,183,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R02/seed_530105.json,ffc1749558bd8b0ab1922b6e5a082310cfd453b42ee3e83003e91718a2d55792,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF2_R02/seed_530105.json,ffc1749558bd8b0ab1922b6e5a082310cfd453b42ee3e83003e91718a2d55792
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530101,386.0,4817.0,True,4817.0,193,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530101.json,6351a2024b1c2a22350edafffe81bf1d36c502aec282c8a241b5b67592eae3d2,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530101.json,6351a2024b1c2a22350edafffe81bf1d36c502aec282c8a241b5b67592eae3d2
CSG-NI Full,CB1_CORE_L_CF3_R01,L,CF3,530102,386.0,4713.0,True,4713.0,193,0,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF3_R01/seed_530102.json,5d80589dcf917faf7c54ce4b725a2812f31ebf7212abb33049caeebd778b6bcc,paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF3_R01/seed_530102.json,5d80589dcf917faf7c54ce4b725a2812f31ebf7212abb33049caeebd778b6bcc
