instance_id,scale,CF_level,state_id,target_set_id,origin_family,is_fallback,immediate_utility,ensemble_immediate_utility,continuation_advantage_mean,continuation_advantage_std,beats_fallback,continuation_positive,realized_immediate_negative,realized_immediate_below_old_floor,old_predicted_immediate_gate_blocked
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_9157be4990e22e0cb713,ORIGINAL_OPERATOR,True,0.001734820322180917,-0.025184086,0.0,0.0,0.0,False,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_9f796f6df0d1f9720e12,STRUCTURED_NEAR_NEIGHBOR,False,0.02453531598513011,-0.02451013,0.022800495662949196,0.0,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_aaabe4fbca12327a9c12,MATCHED_RANDOM,False,0.01486988847583643,-0.0126285935,0.015489467162329615,0.0023543990086741023,1.0,True,False,False,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_bc5ca10075e62c65dcd0,ORIGINAL_OPERATOR,False,-0.02552664188351921,-0.10697583,-0.014622057001239157,0.012639405204460967,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_c320bbf3ca51b6b6b93b,ORIGINAL_OPERATOR,False,0.015613382899628252,0.0032104056,0.013878562577447335,0.0,1.0,True,False,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_cb271199ea0b8fd122f1,ORIGINAL_OPERATOR,False,-0.004956629491945477,-0.004721407,-0.006691449814126394,0.0,0.0,False,True,False,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ts_e9a826292993e3d1202a,ORIGINAL_OPERATOR,False,-0.010161090458488228,-0.18770754,-0.007930607187112764,0.003965303593556381,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_05fa4a9786014f366a1e,ORIGINAL_OPERATOR,False,-0.06132542037586548,-0.14687255,-0.04512858555885262,0.007789317507418396,0.0,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_065cd6bd36f2216e8f56,LOCAL_PERTURBATION,False,-0.025222551928783383,0.007354904,-0.005316518298714145,0.011498516320474779,0.5,False,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_099bcdf5ba4331df636f,MATCHED_RANDOM,False,-0.017062314540059347,-0.0170079,-0.0008654797230464883,0.007789317507418398,0.5,False,True,True,True
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_1cdcde113a48867fe0ee,LOCAL_PERTURBATION,False,-0.015578635014836795,0.018210473,0.0006181998021760633,0.007789317507418398,0.5,True,True,True,False
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,ts_30ac9dc21ea6d6d2ddca,STRUCTURED_NEAR_NEIGHBOR,False,-0.000741839762611276,-0.014472791,0.015454995054401583,0.007789317507418397,1.0,True,True,False,True
