instance_id,scale,CF_level,state_id,origin_family,anchor_target_set_id,neighbor_target_set_id,cheap_feature_rms_distance,target_operation_jaccard,anchor_continuation_advantage,neighbor_continuation_advantage,absolute_continuation_advantage_gap,cheap_similar_at_0_10,material_gap_at_0_01,strong_gap_at_0_02,collision_at_0_10_0_01,anchor_is_state_continuation_best,anchor_destroy_target_fraction,neighbor_destroy_target_fraction,anchor_critical_overlap_fraction,neighbor_critical_overlap_fraction,anchor_bottleneck_overlap_fraction,neighbor_bottleneck_overlap_fraction,anchor_fallback_overlap_fraction,neighbor_fallback_overlap_fraction,anchor_fallback_jaccard,neighbor_fallback_jaccard,anchor_normalized_diversity_rank,neighbor_normalized_diversity_rank
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,STRUCTURED_NEAR_NEIGHBOR,ts_32e016acacc67d473d54,ts_0c2a65cc3b481aa97397,0.01774992567234186,0.625,-0.011895910780669145,0.00024783147459727387,0.012143742255266418,True,True,False,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.625,0.625,0.782608695652174,0.7391304347826086
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ORIGINAL_OPERATOR,ts_3d361943999c344a5c43,ts_0de3b1351d0ad9a7ffcb,0.023698273879020425,0.40540540540540543,-0.045724907063197026,-0.0007434944237918215,0.04498141263940521,True,True,True,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.30434782608695654,0.2608695652173913
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,LOCAL_PERTURBATION,ts_7b5df09ff03b82c4cc9f,ts_1d964f82e8fa83bf73f7,0.15578397180733652,0.5294117647058824,0.006939281288723668,0.013878562577447335,0.006939281288723668,False,False,False,False,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.0,0.7692307692307693,0.9230769230769231,0.625,0.8571428571428571,0.6521739130434783,0.9130434782608695
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,LOCAL_PERTURBATION,ts_83f85fffa0331ee96623,ts_1d964f82e8fa83bf73f7,0.03674406904587177,0.7931034482758621,0.0004956629491945477,0.013878562577447335,0.013382899628252787,True,True,False,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.0,0.9615384615384616,0.9230769230769231,0.9259259259259259,0.8571428571428571,0.9565217391304348,0.9130434782608695
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,RELATED_VARIANT,ts_8592ef8e60cfd27f049f,ts_0490a9b53c4a61611349,0.023698273879020414,0.04,0.001734820322180917,0.004213135068153655,0.002478314745972738,True,False,False,False,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.13043478260869565
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,STRUCTURED_NEAR_NEIGHBOR,ts_87932a52bc810f8ad8bd,ts_0b582a760c30728b549d,0.04739654775804082,0.4444444444444444,-0.006939281288723668,-0.0027261462205700124,0.004213135068153655,True,False,False,False,False,0.1511627906976744,0.1511627906976744,0.0,0.07692307692307693,0.0,0.0,0.7692307692307693,0.7692307692307693,0.625,0.625,0.6086956521739131,0.6956521739130435
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,MATCHED_RANDOM,ts_89c1c24cbf4a70772211,ts_1ec6506d042f1ab5ef3c,0.06639398986421081,0.08333333333333333,0.002973977695167286,-0.008178438661710037,0.011152416356877323,True,True,False,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.038461538461538464,0.11538461538461539,0.19230769230769232,0.061224489795918366,0.10638297872340426,0.21739130434782608,0.34782608695652173
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,ORIGINAL_OPERATOR,ts_9157be4990e22e0cb713,ts_e9a826292993e3d1202a,0.5041889474496468,0.15555555555555556,0.0,-0.007930607187112764,0.007930607187112764,False,False,False,False,False,0.1511627906976744,0.1511627906976744,0.0,0.07692307692307693,0.0,0.0,1.0,0.2692307692307692,1.0,0.15555555555555556,1.0,0.4782608695652174
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,STRUCTURED_NEAR_NEIGHBOR,ts_9f796f6df0d1f9720e12,ts_1b5ddd3def6ca9e6ac1b,0.01774992567234186,0.6774193548387096,0.022800495662949196,-0.010656753407682776,0.033457249070631974,True,True,True,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.625,0.625,0.8695652173913043,0.8260869565217391
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,L,CF1,CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000012,MATCHED_RANDOM,ts_aaabe4fbca12327a9c12,ts_1ec6506d042f1ab5ef3c,0.023698273879020425,0.04,0.015489467162329615,-0.008178438661710037,0.023667905824039652,True,True,True,True,False,0.1511627906976744,0.1511627906976744,0.0,0.0,0.0,0.038461538461538464,0.19230769230769232,0.19230769230769232,0.10638297872340426,0.10638297872340426,0.391304347826087,0.34782608695652173
