repair_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
greedy,68746,0.19118788118129004,3159,0.04595176446629622,1362,0.01981206179268612,100,0.0014546300875687313,-255.573953393652,-233.0,62.4273127753304,0.018608431941390485,0.11668630847495082,7.9983417217001715,16.166642422831874,0.14999999999999994,0.029667025311563403,0.13468827575285108,26.02902565023951,120.29089004100611,162.9346237454893,0.0,2524.0,0.043596165471975125
reconfiguration_aware,69449,0.1931429779210341,3582,0.05157741652147619,1583,0.022793704732969516,149,0.0021454592578726834,-259.6604846722055,-230.0,55.486418193303855,0.0179006378050191,0.11722845870218421,7.997782545465017,16.17938343244683,0.14999999999999997,0.02943822335555528,0.13405504909556332,25.94349690955209,120.76457451582873,163.6594461613935,0.0,3636.0,0.06280335089385958
regret2,68965,0.19179693692240518,3459,0.050155876169071266,1488,0.02157616182121366,85,0.0012325092438193286,-255.45395490466177,-232.0,61.64381720430107,0.018025344284317964,0.11851716765659395,7.998665989994925,16.305662292467193,0.14999999999999994,0.029302484368543803,0.13454078005017253,26.12835306854296,121.3666163159563,164.68810762152725,0.0,2323.0,0.04012436307107695
regret3,68742,0.19117675687551625,3331,0.048456547671001715,1396,0.020307817636961392,81,0.001178318931657502,-255.68245032149196,-232.0,60.02650429799427,0.017834187073241047,0.11733745419325992,7.998428908091124,16.22396787989875,0.14999999999999994,0.029281947839379183,0.13426930778874013,26.18856924107545,120.46497449285933,163.13748047872056,0.0,2098.0,0.036238017099922276
transport_aware,83671,0.23269544709975443,10924,0.1305589750331656,6968,0.08327855529394892,1187,0.014186516236210873,-171.03770721038353,-161.0,85.85533869115959,0.020881713479243107,0.13119965357662788,7.998016039009932,17.08485616282822,0.14999999999999994,0.02792731848802076,0.1304372347589353,26.464977754319158,125.72767208902856,172.82094019999911,0.0,47314.0,0.817238103463166
