bottleneck_type,destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
CROSS_RESOURCE_SYNCHRONIZATION,critical,9790,0.02722673838135789,340,0.03472931562819203,165,0.016853932584269662,19,0.001940755873340143,-177.39744637385087,-169.0,56.13333333333333,0.017387415470948926,0.077075194293259,7.99785495403473,12.280592441266599,0.14999999999999997,0.23198926870763695,0.4921308061078268,13.019805895169378,56.202210355799636,79.65421079356388,0.0,609.0,0.010519043095258657
CROSS_RESOURCE_SYNCHRONIZATION,f_bottleneck,9286,0.025825075853859996,116,0.01249192332543614,58,0.00624596166271807,2,0.00021537798836958864,-249.50172302390695,-232.0,65.65517241379311,0.01979317111334499,0.076569811806267,7.998815421063967,12.255545983200516,0.14999999999999997,0.024041236988530015,0.07216945085970262,19.648548374154014,97.33178843762386,121.66500379464148,0.0,42.0,0.0007254512479488729
CROSS_RESOURCE_SYNCHRONIZATION,high_reconfiguration,9656,0.026854074137935828,299,0.03096520298260149,160,0.016570008285004142,18,0.001864125932062966,-221.3064415907208,-209.0,63.6375,0.01799734196560369,0.0795207486987363,7.9957539353769675,12.511495443247721,0.14999999999999997,0.025327510996675278,0.09560300647804432,48.16132943491104,101.54520043595141,131.69205331185233,0.0,542.0,0.0093617756282926
CROSS_RESOURCE_SYNCHRONIZATION,overloaded_island,9571,0.026617682640242734,320,0.03343433288057674,158,0.016508201859784768,29,0.003029986417302267,-197.88381569324,-188.0,52.778481012658226,0.017897693699604752,0.07779946324710169,7.998746212516979,12.366210427332566,0.14999999999999997,0.04095254577405991,0.03152419261047512,15.46627847946693,80.16262059354001,119.16161914352898,0.0,1055.0,0.018222644442525263
CROSS_RESOURCE_SYNCHRONIZATION,random,9937,0.027635556618544773,349,0.03512126396296669,191,0.01922109288517661,28,0.0028177518365703935,-202.48334507396598,-195.0,60.43979057591623,0.018849044507027936,0.07917905554281862,7.998087954110899,12.452953607728691,0.14999999999999997,0.03782704110749297,0.10128358441703882,20.679607302073478,90.20699312824304,121.5690010378837,0.0,638.0,0.011019949909318594
CROSS_RESOURCE_SYNCHRONIZATION,related,10184,0.02832248250007648,510,0.05007855459544383,302,0.029654359780047133,71,0.00697172034564022,-168.19933228593874,-163.0,62.87417218543046,0.018712034731777155,0.08136298929674037,7.997839748625295,12.68155930871956,0.14999999999999997,0.04201118266400714,0.10721495219455633,20.666239832427483,93.47436053450953,124.34326353656917,0.0,2016.0,0.034821659901545905
CROSS_RESOURCE_SYNCHRONIZATION,w_bottleneck,9535,0.026517563888278597,245,0.025694808599895123,118,0.012375458835867855,22,0.0023072889355007864,-231.23628736234923,-209.0,61.32203389830509,0.020368346068335732,0.07703266283041263,7.998531725222863,12.314105925537493,0.14999999999999997,0.01941146419797092,0.08976142889381478,20.541739810224527,132.85319927056884,159.71815476602848,0.0,538.0,0.00929268503324985
F_LOGISTICS,critical,1668,0.004638835507671599,76,0.045563549160671464,23,0.013788968824940047,4,0.002398081534772182,-215.42565947242207,-185.0,85.34782608695652,0.020201612347298618,0.08654741460911462,8.0,13.594724220623501,0.14999999999999997,0.08795761384211603,0.525204447367727,15.468974021756763,56.18688848888836,130.9336080948353,0.0,143.0,0.0024699887727783055
F_LOGISTICS,f_bottleneck,1569,0.004363508939770227,30,0.019120458891013385,9,0.0057361376673040155,3,0.0019120458891013384,-265.1312938177183,-235.0,115.11111111111111,0.036671958301273996,0.08560647364372474,8.0,13.632249840662842,0.14999999999999997,0.004210234796679397,0.1147789120144506,20.46319254141406,97.2862763580662,141.86848242337825,0.0,95.0,0.001640901632265308
F_LOGISTICS,high_reconfiguration,1642,0.004566527520141946,60,0.03654080389768575,23,0.014007308160779537,8,0.0048721071863581,-233.57673568818515,-207.0,73.47826086956522,0.0189244809803052,0.087932146632759,8.0,13.685140073081607,0.14999999999999997,0.02271325569900809,0.13771468481753293,49.586909185669086,129.34607541242465,160.9522362433686,0.0,460.0,0.007945418429916227
F_LOGISTICS,overloaded_island,1769,0.004919724228459868,88,0.0497456189937818,30,0.016958733747880157,5,0.002826455624646693,-195.39344262295083,-171.0,54.8,0.017834670757646335,0.08238185269869637,7.997738835500282,13.192198982475976,0.14999999999999994,0.019604271066243698,0.03760390275890852,14.294757888763321,83.57776804033783,149.895607209885,0.0,183.0,0.0031608947232058034
