destroy_operator,selection_count,selection_rate,accepted_count,acceptance_rate,improving_count,improvement_rate,new_global_best_count,global_best_rate,mean_immediate_delta,median_immediate_delta,mean_positive_delta,mean_relative_positive_improvement,mean_runtime,mean_decoder_evaluations,mean_destroy_count,mean_destroy_fraction,mean_critical_path_overlap,mean_critical_resource_overlap,mean_reconfiguration_contribution,mean_W_delay_contribution,mean_F_delay_contribution,mean_sync_delay_contribution,total_global_best_reduction_attributed_to_operator,fraction_of_total_best_reduction
critical,51620,0.14355916601079613,3701,0.07169701666020922,1833,0.03550949244478884,162,0.003138318481208834,-206.3561604029446,-194.0,71.04528096017458,0.01977484350274114,0.11980988371232112,7.9979852770244095,16.319972878729175,0.14999999999999994,0.10887105817440454,0.45826331092550765,17.68233846682975,77.75796511473185,118.85485376137352,0.0,5464.0,0.09437775282839624
f_bottleneck,47380,0.13176740189057576,1510,0.03186998733642887,659,0.013908822287885184,32,0.000675390460109751,-310.2089700295483,-282.0,81.92564491654021,0.022631410858989228,0.11764836867471472,7.998269311945969,16.193900379907134,0.14999999999999997,0.014425071649862698,0.08110156956612516,23.226582173545445,129.29694867080812,174.94627615660107,0.0,1090.0,0.018827187149149324
high_reconfiguration,50913,0.14159294496527827,3701,0.07269263253000216,1890,0.03712214954923104,196,0.003849704397698034,-234.75784180857542,-221.0,79.66402116402116,0.02021166547382259,0.12222702053245796,7.998251919941862,16.525622139728558,0.14999999999999994,0.015714984468353205,0.08917768214431293,50.454066414469956,132.84945251430227,172.42686018994374,0.0,7732.0,0.13355212021763538
overloaded_island,51381,0.142894488740812,3344,0.06508242346392636,1677,0.032638523968003735,219,0.004262275938576516,-236.9469648313579,-210.0,62.864042933810374,0.017452330391685963,0.11880926599170895,7.998812790720305,16.31317023802573,0.14999999999999997,0.016483170912733436,0.035475464805944136,21.746610503300168,106.67175119270055,163.61287510937407,0.0,6921.0,0.11954400207271786
random,52645,0.14640976936533054,3942,0.07487890587900085,2061,0.03914901700066483,300,0.00569854687054801,-226.38685535188526,-212.0,73.51722464822902,0.019199175899366164,0.12284941855517177,7.9981954601576595,16.54595878051097,0.14999999999999994,0.01688631404475013,0.0923050205664939,23.246009569043395,123.80585462587717,167.87164636898652,0.0,12023.0,0.20766905604974523
related,55795,0.15517016016219237,5662,0.10147862711712519,3312,0.05936015772022583,548,0.009821668608298235,-181.33060310063627,-175.0,76.5072463768116,0.019319914959761004,0.1244291558510081,7.997849269647818,16.766125996953132,0.14999999999999994,0.017818090148657807,0.09416835488315438,23.391762434353595,126.59175841192815,171.02379729230844,0.0,20324.0,0.35104931341221174
w_bottleneck,49839,0.1386060688650149,2595,0.05206765785830374,1365,0.0273881899717089,145,0.002909368165492887,-272.7817171291559,-235.0,74.36630036630036,0.021038357024096777,0.11806193264222853,7.998334637532856,16.223058247557134,0.14999999999999994,0.012457183823575847,0.0805974236757934,23.66402120004821,157.74275358608656,192.8173088505813,0.0,4341.0,0.07498056827014422
