method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671301.0,250.0,3106.0,80.7055023330031,9609,250.00240972696338,29722,0.1387693849974312,3716,True,,
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671302.0,250.0,3082.0,122.49519072799012,14609,250.0075051879976,29506,0.13813712098635733,3689,True,,
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671303.0,250.0,3116.0,245.84480837499723,29329,250.00666988501325,29822,0.13638565799919888,3728,True,,
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671304.0,250.0,3054.0,186.68479863798711,22049,250.00661935500102,29466,0.1389428440015763,3684,True,,
ALNS,CB1_CAL_M_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF2_RI2_TI2_R08.json,M,CF2,RI2,TI2,671305.0,250.0,3106.0,236.4302393150283,27977,250.0030619080062,29606,0.13967046700417995,3701,True,,
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671301.0,258.0,3728.0,249.90411362500163,27929,258.00808804901317,28815,0.24266133998753503,3602,True,,
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671302.0,258.0,3824.0,138.93141367699718,15265,258.00046649598517,28679,0.2458000750048086,3585,True,,
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671303.0,258.0,3766.0,111.47863378201146,12329,258.00528056401527,28664,0.2470532080042176,3583,True,,
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671304.0,258.0,3601.0,145.94797657697927,16121,258.00821463001193,28184,0.25229793501785025,3523,True,,
ALNS,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671305.0,258.0,3703.0,182.6381014320068,20513,258.0078659799765,28895,0.2437016720068641,3612,True,,
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671301.0,118.0,1605.0,83.32586751197232,32081,118.00030794198392,45362,0.02571524796076119,5671,True,,
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671302.0,118.0,1478.0,41.95393569301814,16177,118.00113214401063,45211,0.025266446988098323,5652,True,,
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671303.0,118.0,1488.0,22.14929501398001,8505,118.00204754900187,45586,0.02522452495759353,5699,True,,
ALNS,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671304.0,118.0,1523.0,101.64311164501123,38985,118.00162068300415,45270,0.02536404802231118,5659,True,,
