method,instance_id,seed,reference_makespan,reference_type,normalized_gap_auc,time_to_best,evals_to_best
ALNS,CB1_CAL_S_CF2_RI2_TI2_R08,671305.0,1188.0,POOLED_BKS,0.19314649116287144,36.1880637909635,15601
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,671301.0,1620.0,POOLED_BKS,0.10185185185185186,0.0443806920084171,1
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,671302.0,1620.0,POOLED_BKS,0.09356008275223548,99.03742303099716,35193
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,671303.0,1620.0,POOLED_BKS,0.10022722655580042,59.67629691399634,21017
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,671304.0,1620.0,POOLED_BKS,0.09457079845725302,108.47645458497573,37929
ALNS,CB1_CAL_S_CF3_RI2_TI2_R08,671305.0,1620.0,POOLED_BKS,0.09352722002188783,94.71570290898671,33193
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671301.0,4101.0,POOLED_BKS,0.04283268313721376,99.04107681300955,4889
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671302.0,4101.0,POOLED_BKS,0.048986663343805345,64.04892003897112,3137
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671303.0,4101.0,POOLED_BKS,0.03603514129476058,88.52097010205034,4489
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671304.0,4101.0,POOLED_BKS,0.044480330411636036,259.6354985139915,13121
PHASE6H_CSGNI,CB1_CAL_L_CF1_RI2_TI2_R08,671305.0,4101.0,POOLED_BKS,0.031084989878098806,134.12866290297825,6841
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671301.0,4741.0,POOLED_BKS,0.024256407931806372,128.61906060395995,5801
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671302.0,4741.0,POOLED_BKS,0.010360106128103333,0.66564084100537,9
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671303.0,4741.0,POOLED_BKS,0.007647774744407315,1.2299583260319196,33
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671304.0,4741.0,POOLED_BKS,0.02467833790339591,0.498399596021045,1
PHASE6H_CSGNI,CB1_CAL_L_CF2_RI2_TI2_R08,671305.0,4741.0,POOLED_BKS,0.02467833790339591,0.4801445149932988,1
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671301.0,3693.0,POOLED_BKS,0.029300952955093648,0.9503918400150724,25
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671302.0,3693.0,POOLED_BKS,0.006585318572792169,0.6874016940128058,9
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671303.0,3693.0,POOLED_BKS,0.01847371188167732,0.664425641996786,9
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671304.0,3693.0,POOLED_BKS,9.604735510142392e-05,0.6628873539739288,9
PHASE6H_CSGNI,CB1_CAL_L_CF3_RI2_TI2_R08,671305.0,3693.0,POOLED_BKS,0.049553208773355006,0.5655096260015853,1
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671301.0,3001.0,POOLED_BKS,0.07587515943201768,40.686931342002936,3241
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671302.0,3001.0,POOLED_BKS,0.050010566697475396,150.41901632898953,11977
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671303.0,3001.0,POOLED_BKS,0.0361181604245295,81.82124948501587,6489
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671304.0,3001.0,POOLED_BKS,0.03688375424383082,65.17877671698807,5185
PHASE6H_CSGNI,CB1_CAL_M_CF1_RI2_TI2_R08,671305.0,3001.0,POOLED_BKS,0.026308586695355685,137.35507183498703,10897
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671301.0,2980.0,POOLED_BKS,0.07253451530421336,0.4977167909964919,33
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671302.0,2980.0,POOLED_BKS,0.018196545549411004,73.02456630201777,5817
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671303.0,2980.0,POOLED_BKS,0.05740576431593632,248.8101741260034,19873
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671304.0,2980.0,POOLED_BKS,0.06309016953839433,87.68084592698142,7025
PHASE6H_CSGNI,CB1_CAL_M_CF2_RI2_TI2_R08,671305.0,2980.0,POOLED_BKS,0.0835806769064338,0.214686527964659,9
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671301.0,3574.0,POOLED_BKS,0.03637086497166821,39.29217115300708,2929
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671302.0,3574.0,POOLED_BKS,0.016511916541484453,2.106573466968257,145
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671303.0,3574.0,POOLED_BKS,0.023298514382367654,182.7146209970233,13833
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671304.0,3574.0,POOLED_BKS,0.025720319996938815,122.05530631699366,9201
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,671305.0,3574.0,POOLED_BKS,0.05712862450808724,232.29973065899685,17593
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671301.0,1478.0,POOLED_BKS,0.0722919549584759,95.13027929398233,15761
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671302.0,1478.0,POOLED_BKS,0.06082643426519508,61.15610446903156,10225
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671303.0,1478.0,POOLED_BKS,0.051162191219262326,91.47467172303004,15145
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671304.0,1478.0,POOLED_BKS,0.06307009666146159,105.68037917901528,17641
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,671305.0,1478.0,POOLED_BKS,0.10183408458291139,81.1454200349981,13601
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671301.0,1188.0,POOLED_BKS,0.19791362381140765,63.72816293401411,11017
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671302.0,1188.0,POOLED_BKS,0.1751642260344924,84.4464176739566,14513
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671303.0,1188.0,POOLED_BKS,0.1677994694486319,92.53027061198372,16113
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671304.0,1188.0,POOLED_BKS,0.12073934639859234,54.80067636398599,9553
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,671305.0,1188.0,POOLED_BKS,0.18600581195883872,68.87314046698157,11873
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671301.0,1620.0,POOLED_BKS,0.10151389709506642,112.20333500899142,17433
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671302.0,1620.0,POOLED_BKS,0.09911987387885518,56.29358201898867,8809
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671303.0,1620.0,POOLED_BKS,0.10185185185185187,0.038574205012992,1
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671304.0,1620.0,POOLED_BKS,0.1010846736395064,103.62908332800724,15945
PHASE6H_CSGNI,CB1_CAL_S_CF3_RI2_TI2_R08,671305.0,1620.0,POOLED_BKS,0.10185185185185186,0.0378878049668855,1
