method,target_gap,run_count,target_hit_rate,median_hit_time,median_hit_evaluations
ALNS,0.005,45,0.044444444444444446,145.22183229602524,14625.0
ALNS,0.01,45,0.08888888888888889,91.6495627395052,14625.0
ALNS,0.02,45,0.1111111111111111,93.50270933198044,13673.0
ALNS,0.05,45,0.5111111111111111,23.47703138901852,4457.0
PHASE6H_CSGNI,0.005,45,0.06666666666666667,73.02456630201777,5817.0
PHASE6H_CSGNI,0.01,45,0.1111111111111111,1.2299583260319196,33.0
PHASE6H_CSGNI,0.02,45,0.26666666666666666,37.272798739984864,2825.0
PHASE6H_CSGNI,0.05,45,0.6666666666666666,38.6818373464921,2905.0
