method,instance_id,scale,CF_level,operation_count,run_count,draft_bks,best_makespan,mean_makespan,median_makespan,std_makespan,mean_rpd_percent,median_rpd_percent,median_objective_rank,attains_bks,feasibility_rate
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF2_R02,L,CF2,183,5,4328.0,4725.0,4897.8,4886.0,123.99475795371352,13.165434380776341,12.89279112754159,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF2_R02,L,CF2,183,5,4328.0,4328.0,4401.6,4392.0,56.61095300381367,1.7005545286506467,1.478743068391867,1.0,True,1.0
GA,CB1_CORE_L_CF2_R03,L,CF2,184,5,3935.0,4256.0,4462.0,4439.0,222.39604313026794,13.392630241423126,12.808132147395172,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF2_R03,L,CF2,184,5,3935.0,5037.0,5082.6,5084.0,29.125590122776913,29.163913595933927,29.199491740787803,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF2_R03,L,CF2,184,5,3935.0,4575.0,4784.2,4772.0,192.86705265544967,21.58068614993647,21.270648030495554,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF2_R03,L,CF2,184,5,3935.0,3996.0,4224.4,4229.0,175.17648243985263,7.35451080050826,7.47141041931385,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF2_R03,L,CF2,184,5,3935.0,3935.0,3976.2,3937.0,54.59578738327711,1.0470139771283355,0.05082592121982211,1.0,True,1.0
GA,CB1_CORE_L_CF2_R04,L,CF2,165,5,3249.0,3721.0,3919.0,3869.0,172.98699373074265,20.621729763004,19.082794706063403,2.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF2_R04,L,CF2,165,5,3249.0,4698.0,4754.6,4753.0,44.612778438469846,46.34041243459526,46.29116651277316,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF2_R04,L,CF2,165,5,3249.0,3971.0,4336.2,4387.0,219.43267760294955,33.46260387811634,35.02616189596799,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF2_R04,L,CF2,165,5,3249.0,3589.0,3926.6,3896.0,287.1015499784005,20.855647891658972,19.913819636811326,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF2_R04,L,CF2,165,5,3249.0,3249.0,3336.8,3295.0,84.72425862762093,2.7023699599876885,1.4158202523853494,1.0,True,1.0
GA,CB1_CORE_L_CF2_R05,L,CF2,179,5,4349.0,4964.0,5161.2,5169.0,156.61641037898934,18.675557599448148,18.854909174522877,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF2_R05,L,CF2,179,5,4349.0,5454.0,5491.4,5482.0,31.12555220393688,26.268107610945044,26.05196596918832,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF2_R05,L,CF2,179,5,4349.0,5247.0,5362.2,5361.0,94.98789396549437,23.29730972637388,23.26971717636238,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF2_R05,L,CF2,179,5,4349.0,4867.0,5080.6,5017.0,191.39566348274457,16.822257990342607,15.359852839733271,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF2_R05,L,CF2,179,5,4349.0,4349.0,4469.4,4485.0,86.66775640340529,2.7684525178201884,3.127155667969648,1.0,True,1.0
GA,CB1_CORE_L_CF3_R01,L,CF3,193,5,4612.0,5430.0,5656.0,5653.0,156.8948692596415,22.63660017346054,22.571552471812662,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF3_R01,L,CF3,193,5,4612.0,5892.0,5939.6,5937.0,39.984997186444815,28.785776235906333,28.72940156114484,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF3_R01,L,CF3,193,5,4612.0,5760.0,5826.4,5854.0,57.886095048811164,26.33130962705984,26.929748482220294,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF3_R01,L,CF3,193,5,4612.0,5367.0,5455.4,5393.0,124.1140604444154,18.28707718993929,16.934084995663486,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF3_R01,L,CF3,193,5,4612.0,4612.0,4751.2,4713.0,114.68522136700962,3.0182133564614047,2.1899392888117952,1.0,True,1.0
GA,CB1_CORE_L_CF3_R02,L,CF3,167,5,3588.0,3977.0,4296.4,4367.0,250.44220890257296,19.743589743589745,21.711259754738016,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF3_R02,L,CF3,167,5,3588.0,4787.0,4893.0,4922.0,63.17040446284953,36.37123745819398,37.17948717948718,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF3_R02,L,CF3,167,5,3588.0,4441.0,4491.2,4503.0,46.88496560732449,25.172798216276476,25.501672240802677,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF3_R02,L,CF3,167,5,3588.0,3790.0,4041.8,3987.0,207.298576936746,12.647714604236343,11.120401337792643,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF3_R02,L,CF3,167,5,3588.0,3588.0,3659.4,3686.0,53.420969665478744,1.9899665551839465,2.7313266443701227,1.0,True,1.0
GA,CB1_CORE_L_CF3_R03,L,CF3,176,5,3852.0,4239.0,4440.0,4417.0,183.59330053136472,15.264797507788163,14.667705088265835,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF3_R03,L,CF3,176,5,3852.0,5141.0,5239.0,5248.0,77.26253943535639,36.007268951194185,36.24091381100727,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF3_R03,L,CF3,176,5,3852.0,4517.0,4643.0,4674.0,104.94522380747016,20.53478712357217,21.339563862928348,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF3_R03,L,CF3,176,5,3852.0,4168.0,4255.4,4266.0,64.55850060216703,10.472481827622016,10.74766355140187,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF3_R03,L,CF3,176,5,3852.0,3852.0,3917.4,3884.0,76.11701518057575,1.6978193146417446,0.8307372793354102,1.0,True,1.0
GA,CB1_CORE_L_CF3_R04,L,CF3,174,5,3777.0,4725.0,4825.0,4771.0,110.36983283488291,27.746889065395816,26.317182949430766,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF3_R04,L,CF3,174,5,3777.0,5443.0,5499.6,5495.0,62.111190618116474,45.607625099285144,45.48583531903627,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF3_R04,L,CF3,174,5,3777.0,4818.0,4939.8,4895.0,136.68833161612588,30.78633836378078,29.600211808313475,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF3_R04,L,CF3,174,5,3777.0,4133.0,4456.2,4533.0,181.346905129368,17.982525814138206,20.015885623510723,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF3_R04,L,CF3,174,5,3777.0,3777.0,3871.6,3899.0,64.59721356219632,2.5046333068572944,3.230076780513635,1.0,True,1.0
GA,CB1_CORE_L_CF3_R05,L,CF3,183,5,3496.0,4307.0,4569.2,4561.0,175.82860973118113,30.697940503432495,30.463386727688786,3.0,False,1.0
Adapted DCGA,CB1_CORE_L_CF3_R05,L,CF3,183,5,3496.0,5139.0,5243.6,5275.0,61.194771018445685,49.98855835240274,50.88672768878718,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_L_CF3_R05,L,CF3,183,5,3496.0,4824.0,4881.4,4850.0,87.89653007940643,39.62814645308924,38.7299771167048,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_L_CF3_R05,L,CF3,183,5,3496.0,4222.0,4436.0,4367.0,276.5438482411062,26.88787185354691,24.914187643020593,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_L_CF3_R05,L,CF3,183,5,3496.0,3496.0,3617.8,3632.0,79.9418538689215,3.4839816933638446,3.8901601830663615,1.0,True,1.0
GA,CB1_CORE_M_CF1_R01,M,CF1,114,5,2496.0,2577.0,2774.0,2796.0,170.19253802678895,11.137820512820515,12.01923076923077,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF1_R01,M,CF1,114,5,2496.0,3183.0,3258.2,3254.0,57.91977209899915,30.53685897435897,30.368589743589745,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF1_R01,M,CF1,114,5,2496.0,2813.0,2935.8,2896.0,116.54698623302106,17.620192307692307,16.025641025641026,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF1_R01,M,CF1,114,5,2496.0,2496.0,2638.6,2632.0,108.48179570785138,5.7131410256410255,5.448717948717949,2.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF1_R01,M,CF1,114,5,2496.0,2586.0,2628.2,2606.0,54.974539561509744,5.2964743589743595,4.407051282051282,1.0,False,1.0
GA,CB1_CORE_M_CF1_R02,M,CF1,130,5,3232.0,3336.0,3461.8,3507.0,104.92235224202706,7.110148514851486,8.508663366336634,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF1_R02,M,CF1,130,5,3232.0,3789.0,3852.8,3855.0,48.9254534981537,19.20792079207921,19.275990099009903,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF1_R02,M,CF1,130,5,3232.0,3557.0,3785.2,3810.0,178.6006718912334,17.116336633663366,17.883663366336634,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF1_R02,M,CF1,130,5,3232.0,3265.0,3437.4,3398.0,128.39898753494904,6.35519801980198,5.1361386138613865,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF1_R02,M,CF1,130,5,3232.0,3232.0,3343.2,3341.0,100.67621367532651,3.440594059405941,3.3725247524752477,1.0,True,1.0
GA,CB1_CORE_M_CF1_R03,M,CF1,115,5,3097.0,3199.0,3316.0,3303.0,99.77975746613137,7.071359380045204,6.651598320955763,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF1_R03,M,CF1,115,5,3097.0,3488.0,3505.4,3506.0,16.303373883954205,13.186955117855991,13.20632870519858,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF1_R03,M,CF1,115,5,3097.0,3326.0,3425.8,3437.0,70.73683623120276,10.616725863739102,10.978366160800775,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF1_R03,M,CF1,115,5,3097.0,3205.0,3278.4,3299.0,56.95436769906238,5.8572812399095895,6.522441072005166,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF1_R03,M,CF1,115,5,3097.0,3097.0,3113.6,3101.0,19.907285098676816,0.5360025831449791,0.12915724895059735,1.0,True,1.0
GA,CB1_CORE_M_CF1_R04,M,CF1,110,5,2716.0,2832.0,2922.8,2923.0,71.18426792487227,7.6141384388807065,7.621502209131075,3.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF1_R04,M,CF1,110,5,2716.0,3249.0,3315.2,3316.0,53.61156591632071,22.061855670103093,22.091310751104565,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF1_R04,M,CF1,110,5,2716.0,2911.0,3031.4,3012.0,99.50527624201644,11.612665684830635,10.89837997054492,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF1_R04,M,CF1,110,5,2716.0,2716.0,2874.6,2901.0,129.23737849399453,5.839469808541973,6.811487481590574,2.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF1_R04,M,CF1,110,5,2716.0,2718.0,2740.4,2721.0,31.277787645548077,0.898379970544919,0.18409425625920472,1.0,False,1.0
GA,CB1_CORE_M_CF1_R05,M,CF1,110,5,2831.0,2913.0,2972.4,2953.0,59.67243919934897,4.994701518897916,4.309431296361709,2.0,False,1.0
Adapted DCGA,CB1_CORE_M_CF1_R05,M,CF1,110,5,2831.0,3135.0,3161.8,3160.0,21.695621678117455,11.684916990462735,11.621335217237725,5.0,False,1.0
