method,instance_id,scale,CF_level,operation_count,run_count,draft_bks,best_makespan,mean_makespan,median_makespan,std_makespan,mean_rpd_percent,median_rpd_percent,median_objective_rank,attains_bks,feasibility_rate
Adapted DCGA,CB1_CORE_M_CF3_R05,M,CF3,113,5,3005.0,3436.0,3469.8,3481.0,23.12358103754693,15.467554076539102,15.84026622296173,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_M_CF3_R05,M,CF3,113,5,3005.0,3293.0,3333.0,3321.0,42.87773314903669,10.91514143094842,10.515806988352745,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_M_CF3_R05,M,CF3,113,5,3005.0,3082.0,3208.4,3168.0,107.35129249338361,6.768718801996672,5.424292845257903,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_M_CF3_R05,M,CF3,113,5,3005.0,3047.0,3056.8,3061.0,6.260990336999411,1.7237936772046587,1.8635607321131447,1.0,False,1.0
GA,CB1_CORE_S_CF1_R01,S,CF1,62,5,1736.0,1750.0,1794.8,1806.0,29.09810990425323,3.387096774193548,4.032258064516129,3.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF1_R01,S,CF1,62,5,1736.0,1914.0,1925.4,1922.0,12.521980673998822,10.910138248847925,10.714285714285714,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF1_R01,S,CF1,62,5,1736.0,1736.0,1812.4,1801.0,58.577299357344906,4.400921658986175,3.7442396313364057,2.0,True,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF1_R01,S,CF1,62,5,1736.0,1745.0,1867.6,1829.0,119.7342891572836,7.580645161290322,5.357142857142857,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF1_R01,S,CF1,62,5,1736.0,1755.0,1797.2,1788.0,37.31889601796924,3.525345622119816,2.9953917050691246,1.0,False,1.0
GA,CB1_CORE_S_CF1_R02,S,CF1,65,5,2128.0,2128.0,2162.6,2159.0,34.82527817548627,1.6259398496240602,1.4567669172932332,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF1_R02,S,CF1,65,5,2128.0,2238.0,2244.8,2243.0,6.3796551630946325,5.488721804511278,5.404135338345864,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF1_R02,S,CF1,65,5,2128.0,2190.0,2215.8,2213.0,19.967473550752484,4.12593984962406,3.994360902255639,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF1_R02,S,CF1,65,5,2128.0,2148.0,2190.6,2203.0,31.24579971772206,2.9417293233082704,3.524436090225564,3.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF1_R02,S,CF1,65,5,2128.0,2152.0,2168.2,2161.0,16.57407614318216,1.8890977443609025,1.550751879699248,2.0,False,1.0
GA,CB1_CORE_S_CF1_R03,S,CF1,61,5,1689.0,1689.0,1761.6,1771.0,51.41303336703642,4.298401420959148,4.8549437537004145,2.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF1_R03,S,CF1,61,5,1689.0,1920.0,1939.8,1943.0,13.367871932360812,14.849023090586147,15.038484310242747,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF1_R03,S,CF1,61,5,1689.0,1742.0,1782.2,1778.0,43.02557379047954,5.51805802249852,5.26939017169923,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF1_R03,S,CF1,61,5,1689.0,1762.0,1813.2,1818.0,31.188138771013573,7.353463587921847,7.63765541740675,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF1_R03,S,CF1,61,5,1689.0,1706.0,1742.0,1747.0,27.40437921208944,3.137951450562463,3.433984606275903,1.0,False,1.0
GA,CB1_CORE_S_CF1_R04,S,CF1,62,5,1847.0,1847.0,1889.2,1891.0,31.47538720969132,2.284786139685977,2.382241472658365,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF1_R04,S,CF1,62,5,1847.0,1973.0,2031.8,2045.0,43.6428688332928,10.005414185165133,10.720086626962642,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF1_R04,S,CF1,62,5,1847.0,1898.0,1940.2,1932.0,40.44378815096331,5.046020573903627,4.60205739036275,2.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF1_R04,S,CF1,62,5,1847.0,1857.0,1945.4,1961.0,89.01292041046625,5.327558202490525,6.172171088251218,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF1_R04,S,CF1,62,5,1847.0,1864.0,1943.0,1943.0,52.52142420003479,5.1976177585273415,5.1976177585273415,3.0,False,1.0
GA,CB1_CORE_S_CF1_R05,S,CF1,61,5,1640.0,1640.0,1670.4,1671.0,22.412050330123748,1.8536585365853657,1.8902439024390243,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF1_R05,S,CF1,61,5,1640.0,1753.0,1769.0,1765.0,16.748134224444225,7.865853658536585,7.621951219512195,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF1_R05,S,CF1,61,5,1640.0,1645.0,1690.4,1701.0,28.45698508275253,3.073170731707317,3.7195121951219514,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF1_R05,S,CF1,61,5,1640.0,1651.0,1715.8,1685.0,81.30621132484282,4.621951219512195,2.7439024390243905,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF1_R05,S,CF1,61,5,1640.0,1649.0,1695.0,1707.0,36.952672433803755,3.353658536585366,4.085365853658536,4.0,False,1.0
GA,CB1_CORE_S_CF2_R01,S,CF2,64,5,1882.0,1900.0,1960.2,1963.0,39.22626670994832,4.155154091392136,4.3039319872476085,3.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF2_R01,S,CF2,64,5,1882.0,2044.0,2077.0,2084.0,19.78635893740938,10.361317747077576,10.73326248671626,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF2_R01,S,CF2,64,5,1882.0,1974.0,2003.8,1993.0,35.30863916947239,6.471838469713072,5.89798087141339,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF2_R01,S,CF2,64,5,1882.0,1901.0,1986.0,1947.0,98.56469956328178,5.526036131774708,3.4537725823591923,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF2_R01,S,CF2,64,5,1882.0,1882.0,1923.6,1934.0,23.25510696599781,2.210414452709883,2.763018065887354,1.0,True,1.0
GA,CB1_CORE_S_CF2_R02,S,CF2,63,5,1515.0,1515.0,1609.4,1610.0,66.68807989438592,6.231023102310231,6.270627062706271,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF2_R02,S,CF2,63,5,1515.0,1840.0,1865.2,1858.0,24.71234509309062,23.115511551155116,22.64026402640264,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF2_R02,S,CF2,63,5,1515.0,1637.0,1677.4,1682.0,25.65735761920935,10.71947194719472,11.023102310231023,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF2_R02,S,CF2,63,5,1515.0,1642.0,1687.2,1703.0,37.93019905036091,11.366336633663366,12.409240924092408,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF2_R02,S,CF2,63,5,1515.0,1603.0,1659.8,1674.0,31.752165280497014,9.557755775577558,10.495049504950495,2.0,False,1.0
GA,CB1_CORE_S_CF2_R03,S,CF2,58,5,1580.0,1580.0,1664.2,1685.0,52.07398582785842,5.329113924050633,6.6455696202531644,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF2_R03,S,CF2,58,5,1580.0,1774.0,1802.4,1800.0,23.437149997386626,14.075949367088606,13.924050632911392,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF2_R03,S,CF2,58,5,1580.0,1688.0,1708.6,1695.0,23.776038357977132,8.139240506329113,7.2784810126582276,2.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF2_R03,S,CF2,58,5,1580.0,1671.0,1741.2,1738.0,64.87064050863071,10.20253164556962,10.0,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF2_R03,S,CF2,58,5,1580.0,1659.0,1722.6,1717.0,47.13066942024057,9.025316455696203,8.670886075949367,3.0,False,1.0
GA,CB1_CORE_S_CF2_R04,S,CF2,64,5,1646.0,1677.0,1720.4,1729.0,37.25989801381641,4.520048602673147,5.042527339003645,1.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF2_R04,S,CF2,64,5,1646.0,1840.0,1898.8,1901.0,41.535526961867234,15.358444714459296,15.492102065613608,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF2_R04,S,CF2,64,5,1646.0,1662.0,1749.4,1759.0,80.2639395992995,6.281895504252733,6.865127582017011,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF2_R04,S,CF2,64,5,1646.0,1646.0,1765.6,1781.0,70.48616885602452,7.266099635479952,8.201701093560146,4.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF2_R04,S,CF2,64,5,1646.0,1692.0,1755.2,1754.0,52.43281415297104,6.634264884568651,6.561360874848116,2.0,False,1.0
GA,CB1_CORE_S_CF2_R05,S,CF2,59,5,1593.0,1593.0,1648.0,1648.0,46.27634384866635,3.4526051475204014,3.452605147520402,3.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF2_R05,S,CF2,59,5,1593.0,1937.0,1954.2,1953.0,11.344602240713423,22.674199623352166,22.598870056497177,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF2_R05,S,CF2,59,5,1593.0,1598.0,1632.6,1632.0,23.596609926004202,2.4858757062146895,2.4482109227871938,2.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF2_R05,S,CF2,59,5,1593.0,1598.0,1629.0,1623.0,31.929610082179206,2.2598870056497176,1.8832391713747645,1.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF2_R05,S,CF2,59,5,1593.0,1601.0,1662.8,1654.0,50.49950494806855,4.3816698053986185,3.8292529817953547,4.0,False,1.0
GA,CB1_CORE_S_CF3_R01,S,CF3,65,5,1523.0,1581.0,1611.0,1613.0,29.50423698386386,5.778069599474721,5.909389363099146,4.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF3_R01,S,CF3,65,5,1523.0,1737.0,1765.4,1772.0,18.24280680158621,15.915955351280369,16.34931057124097,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF3_R01,S,CF3,65,5,1523.0,1566.0,1591.6,1592.0,26.76378149664206,4.5042678923177935,4.530531845042679,2.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF3_R01,S,CF3,65,5,1523.0,1523.0,1597.2,1563.0,75.27416555498971,4.871963230466185,2.6263952724885096,1.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF3_R01,S,CF3,65,5,1523.0,1551.0,1601.6,1603.0,31.07732292202789,5.160866710439921,5.252790544977019,3.0,False,1.0
GA,CB1_CORE_S_CF3_R02,S,CF3,57,5,1681.0,1681.0,1702.6,1700.0,22.187834504520715,1.2849494348602022,1.1302795954788816,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF3_R02,S,CF3,57,5,1681.0,1857.0,1871.0,1872.0,11.895377253370318,11.302795954788817,11.362284354550862,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF3_R02,S,CF3,57,5,1681.0,1732.0,1761.2,1769.0,17.59829537199555,4.770969660916121,5.234979179060083,3.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF3_R02,S,CF3,57,5,1681.0,1771.0,1810.8,1811.0,33.633316815324655,7.721594289113623,7.733491969066032,4.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF3_R02,S,CF3,57,5,1681.0,1743.0,1758.2,1754.0,14.652644812456215,4.592504461629982,4.3426531826293875,2.0,False,1.0
GA,CB1_CORE_S_CF3_R03,S,CF3,57,5,1703.0,1703.0,1751.2,1763.0,37.16449918941462,2.8302994715208456,3.5231943628890194,1.0,True,1.0
Adapted DCGA,CB1_CORE_S_CF3_R03,S,CF3,57,5,1703.0,1895.0,1952.6,1959.0,36.71920478441765,14.656488549618322,15.032295948326484,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF3_R03,S,CF3,57,5,1703.0,1837.0,1865.8,1858.0,30.597385509222843,9.559600704638871,9.1015854374633,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF3_R03,S,CF3,57,5,1703.0,1807.0,1834.2,1844.0,26.051871333936838,7.704051673517323,8.279506752789196,2.0,False,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF3_R03,S,CF3,57,5,1703.0,1786.0,1848.6,1848.0,42.02142310774351,8.549618320610687,8.514386376981797,3.0,False,1.0
GA,CB1_CORE_S_CF3_R04,S,CF3,58,5,1403.0,1435.0,1504.6,1514.0,55.02090511796403,7.241625089094796,7.911617961511047,1.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF3_R04,S,CF3,58,5,1403.0,1710.0,1768.2,1778.0,39.39796949082528,26.029935851746256,26.728439059158944,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF3_R04,S,CF3,58,5,1403.0,1443.0,1557.8,1558.0,84.79209868849809,11.03349964362081,11.047754811119031,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF3_R04,S,CF3,58,5,1403.0,1403.0,1528.6,1549.0,80.73598949663031,8.952245188880969,10.406272273699216,3.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF3_R04,S,CF3,58,5,1403.0,1494.0,1532.2,1544.0,21.70714168194422,9.208838203848895,10.049893086243763,2.0,False,1.0
GA,CB1_CORE_S_CF3_R05,S,CF3,56,5,1489.0,1510.0,1541.2,1522.0,40.17088497904919,3.505708529214238,2.216252518468771,2.0,False,1.0
Adapted DCGA,CB1_CORE_S_CF3_R05,S,CF3,56,5,1489.0,1694.0,1713.4,1711.0,16.65232716469383,15.070517125587642,14.909335124244459,5.0,False,1.0
DABC-RIACRSP,CB1_CORE_S_CF3_R05,S,CF3,56,5,1489.0,1565.0,1589.2,1588.0,21.135278564523347,6.7293485560779045,6.648757555406313,4.0,False,1.0
LG_HGA-RIACRSP-v2-N4M,CB1_CORE_S_CF3_R05,S,CF3,56,5,1489.0,1489.0,1544.8,1518.0,70.26521187614821,3.7474815312290124,1.9476158495634655,1.0,True,1.0
CSG-NI Phase6H provisional,CB1_CORE_S_CF3_R05,S,CF3,56,5,1489.0,1551.0,1583.4,1579.0,27.799280566230486,6.339825386165211,6.044325050369375,3.0,False,1.0
