,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
number_of_sink_operations,1.0,0.991651790843894,0.9897433186107877,,,0.9819805060619657,0.9881141543340123,-0.05817412939629553,-0.021674659751152268,,,-0.10214806461283,-0.09897882079828182,-0.015611031530386149,,-0.42343350772910954,-0.015611031530386149,0.10626571502922132,-0.050791637570146764,-0.19350802325603994,0.012757169706532574,0.010836708193107595,0.07087903221376474,0.11641875329705025,-0.6863670692837458,0.10192615107299406,-0.4947734908055402,0.250392371391422,0.250392371391422,1.0,1.0,0.9896657284467824,0.9878764756868386,0.13628073134919705,0.11638235456759412,0.13017156444247954,0.1227128525693947,0.586912444945166,-0.001588791262080225,0.3491326278292873,,0.00045467912557488647,-0.0001256441168091681,0.9916517908438941,0.9916517908438941,0.9897433186107875,0.9897433186107875,0.3491326278292873
mean_ready_set_size,0.9896657284467824,0.9820739558333748,0.9725339591133794,,,0.9625973477387456,0.9786705601644657,-0.08660792560440203,-0.04863943008440039,,,-0.13500816325968856,-0.1222086363357452,-0.04341340566673723,,-0.3958344097512195,-0.04341340566673719,0.07870730994583477,-0.06328198606750707,-0.213386924115976,-0.01058512792868057,0.013801919206078053,0.079975186744063,0.11890847809506917,-0.6646527092084819,0.12995798747077333,-0.4991739252019841,0.26367945150077465,0.26367945150077465,0.9896657284467824,0.9896657284467824,1.0,0.9894354742831734,0.1326421690060774,0.12085666015543299,0.1312836311689351,0.12048808134507343,0.569970607806765,-0.001515013423679811,0.34565468427549795,,0.00047055868408953414,-0.00012966650952045278,0.9820739558333748,0.9820739558333748,0.9725339591133795,0.9725339591133795,0.34565468427549795
max_ready_set_size,0.9878764756868386,0.978155009731418,0.9683704881505825,,,0.9576752638031064,0.9736752400504317,-0.04639238055576854,-0.0063403408449626665,,,-0.08992782333594863,-0.08282839539698574,-0.0072104739628222,,-0.39718669138089086,-0.0072104739628221105,0.11460886410356001,-0.05048366336763564,-0.17606395137281272,0.019626361320817794,0.02530079580481237,0.10401552323730856,0.09192716532555008,-0.6864608022218839,0.13399198846949273,-0.4979641524221682,0.25504450419451236,0.25504450419451236,0.9878764756868386,0.9878764756868386,0.9894354742831734,1.0,0.1365305393956262,0.11880826467884621,0.13126853153981277,0.12478268448029078,0.5927770232231471,-0.0017291380496768896,0.3394065755535165,,0.0004370554813131273,-0.0001183332575835556,0.978155009731418,0.978155009731418,0.9683704881505825,0.9683704881505825,0.3394065755535165
mean_reconfiguration_time,0.13628073134919705,0.1380300026701408,0.13466397941221095,,,0.1335353595292565,0.13819641298619437,0.14395897175366343,0.1411219070769209,,,0.1223286782217036,0.14637807972172878,0.16275906278641958,,-0.009170025720978546,0.16275906278641963,0.16844392737930558,0.08162311546228307,0.11771282537093848,0.16180225992093944,0.013923198439083451,0.028646831164750693,-0.03450802081803365,-0.21142852479551374,0.04680339048877682,-0.09670044852812536,0.04824573075071197,0.04824573075071197,0.13628073134919705,0.13628073134919705,0.1326421690060774,0.1365305393956262,1.0,0.9697692029583138,0.9780086994980679,0.9560850943137531,0.05544694926374775,0.9666103527421803,0.060471595350823325,,2.709080270647865e-05,-1.2151094438674236e-05,0.13803000267014082,0.13803000267014082,0.134663979412211,0.134663979412211,0.060471595350823325
median_reconfiguration_time,0.11638235456759412,0.11875849141638042,0.11275998131679832,,,0.11107236639061273,0.11997121081294164,0.14013521778072766,0.13126098745879528,,,0.1033519125934639,0.1583800223305643,0.17164841385199275,,0.013760396350082743,0.17164841385199275,0.1808448840968226,0.06385929346951119,0.1364871616058976,0.16449529760698972,0.06168194371896264,0.05690390213683669,-0.015195261309408382,-0.20436489589376422,0.07646617914556597,-0.07361536202961597,0.057297272883320156,0.057297272883320156,0.11638235456759412,0.11638235456759412,0.12085666015543299,0.11880826467884621,0.9697692029583138,1.0,0.9396812112126314,0.9017229417633068,-0.019662777113087872,0.92907602123512,0.0648628134258298,,5.1330249442337355e-05,6.456405307775035e-05,0.11875849141638042,0.11875849141638042,0.11275998131679832,0.11275998131679832,0.0648628134258298
maximum_reconfiguration_time,0.13017156444247954,0.12847293433155216,0.12798434334817907,,,0.12669872586255815,0.12940548420885442,0.007204763818702238,0.017057380092793787,,,-0.002786134190153024,0.00448626934413667,0.016258435163177126,,-0.03861304949992609,0.01625843516317713,0.034130065836582686,0.01965548983028128,-0.018196642008168555,0.02553659393104089,0.012896222670932472,0.02154442716899404,0.007880093351309469,-0.10451110873677862,0.04237799177557031,-0.06072427073373473,0.06452318617280586,0.06452318617280586,0.13017156444247954,0.13017156444247954,0.1312836311689351,0.13126853153981277,0.9780086994980679,0.9396812112126314,1.0,0.9854546866323034,0.11881560120413569,0.9803201325565682,0.058631855110772284,,5.371901447325689e-06,3.975236606454488e-05,0.1284729343315522,0.1284729343315522,0.127984343348179,0.127984343348179,0.058631855110772284
nonzero_reconfiguration_std,0.1227128525693947,0.12133251912523715,0.1235769083565322,,,0.12330967396200139,0.12214820607422207,-0.03720142475666056,-0.028033212820435523,,,-0.03875877995408963,-0.042587887104977816,-0.03562053448327642,,-0.05950406574070645,-0.03562053448327639,-0.02142247525411473,-0.0015558016867241087,-0.06230548804975363,-0.021352851651323758,0.020403368489113706,0.020110271735252698,0.016914384597302046,-0.06324762903452867,0.03574156160494191,-0.06180432071325095,0.06411475371894551,0.06411475371894551,0.1227128525693947,0.1227128525693947,0.12048808134507343,0.12478268448029078,0.9560850943137531,0.9017229417633068,0.9854546866323034,1.0,0.20291624254462876,0.9733842181189464,0.04829660427725065,,1.305094490512558e-05,1.9802664604991674e-05,0.12133251912523711,0.12133251912523711,0.12357690835653215,0.12357690835653215,0.04829660427725065
nonzero_reconfiguration_CV,0.586912444945166,0.5795033506767246,0.5943896168131586,,,0.5941913607495243,0.5819697454157069,-0.15130661156723263,-0.11570648104549916,,,-0.16215069965199982,-0.1798219113411032,-0.1455198232655726,,-0.3275028860163275,-0.1455198232655725,-0.06849890256664798,0.02589838388482988,-0.3030549887923704,-0.08564476423230842,0.1147752644543444,0.10641499283741816,0.0917122557651069,-0.3192892002595967,-0.023450089970139323,-0.3188405857589531,0.278600612584533,0.278600612584533,0.586912444945166,0.586912444945166,0.569970607806765,0.5927770232231471,0.05544694926374775,-0.019662777113087872,0.11881560120413569,0.20291624254462876,1.0,0.005751590954263866,0.28712626245037814,,0.0001481084616972366,0.00020613683613356166,0.5795033506767245,0.5795033506767245,0.5943896168131587,0.5943896168131587,0.28712626245037814
RI,-0.001588791262080225,-0.0012914398660807307,-0.0014580485065708861,,,-0.001408762858073004,-0.0013427442668012702,0.00043362669720065994,0.0003659615542307488,,,0.00024103084604187674,0.0005296510605493895,0.0002447512719654545,,0.001840861844991612,0.0002447512719654462,-0.0003269529434721299,0.00025971587140250727,0.0011159411171008421,0.0006688561844318509,0.00012740597494409535,-8.744094917992433e-05,-0.000584153605838206,0.0009172302857442333,0.0005892339256738079,-0.0012059465939438534,-0.0016610916294121276,-0.0016610916294121276,-0.001588791262080225,-0.001588791262080225,-0.001515013423679811,-0.0017291380496768896,0.9666103527421803,0.92907602123512,0.9803201325565682,0.9733842181189464,0.005751590954263866,1.0,-0.00022377489798499942,,1.5707964898604293e-07,2.187408060382749e-06,-0.0012914398660807261,-0.0012914398660807261,-0.0014580485065708913,-0.0014580485065708913,-0.00022377489798499942
configuration_diversity_entropy,0.3491326278292873,0.370268605370311,0.3328994633013767,,,0.3261041175549753,0.3649773296572302,0.10105211655401929,0.0717569856525439,,,0.06636831520103917,0.12455490119372487,0.1465195976912135,,-0.1916166444156755,0.14651959769121356,0.14509142154381646,0.20610496084699942,0.026421404219859845,0.24518865539932908,0.17111840215507926,0.09686308190881321,0.04803986957569207,-0.35607031554767826,-0.3296049293071582,-0.366914206069308,0.014709823899496191,0.014709823899496191,0.3491326278292873,0.3491326278292873,0.34565468427549795,0.3394065755535165,0.060471595350823325,0.0648628134258298,0.058631855110772284,0.04829660427725065,0.28712626245037814,-0.00022377489798499942,1.0,,0.00017229598968396712,0.00034599230424959583,0.37026860537031103,0.37026860537031103,0.33289946330137676,0.33289946330137676,1.0
nonzero_offdiagonal_reconfiguration_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_transport_intensity,0.00045467912557488647,0.0004812155137952361,0.00042826546122759544,,,0.0004177132734873592,0.00046577593678310316,3.6196919682374666e-05,7.639617024851691e-05,,,-5.719790281498281e-06,-2.0861972769795954e-05,-5.0960249714256367e-05,,-0.0002226370993133131,-5.0960249714257966e-05,4.176280637716962e-05,-0.000478578736340191,4.776330229736807e-06,-0.00022820227209134294,-0.0001467189066408325,0.0001467716156411504,-1.5976943407018342e-07,-0.00034328620016056433,-0.00048018388598812436,-0.0005264391924934669,-0.00014828262926036697,-0.00014828262926036697,0.00045467912557488647,0.00045467912557488647,0.00047055868408953414,0.0004370554813131273,2.709080270647865e-05,5.1330249442337355e-05,5.371901447325689e-06,1.305094490512558e-05,0.0001481084616972366,1.5707964898604293e-07,0.00017229598968396712,,1.0,0.9999891044224009,0.00048121551379523304,0.00048121551379523304,0.00042826546122760027,0.00042826546122760027,0.00017229598968406407
F_transport_intensity,-0.0001256441168091681,-0.00013446020276990626,-0.00010531182188127871,,,-9.818775427049269e-05,-0.00017467731999892247,-0.0002973467844797659,-0.00019371492339242805,,,-0.0003413562788135351,-0.000316471037073894,-0.00021449131818648514,,0.0009772478444083443,-0.0002144913181864834,-0.0005221787692078157,5.121356418064843e-05,0.00010103759550313594,-7.848152602651947e-05,0.0012662372654015323,0.0012197031530275582,0.0005622671306257377,8.002617199745595e-05,-0.0005340301836800461,-0.00024330179989926937,-0.000513344641631471,-0.000513344641631471,-0.0001256441168091681,-0.0001256441168091681,-0.00012966650952045278,-0.0001183332575835556,-1.2151094438674236e-05,6.456405307775035e-05,3.975236606454488e-05,1.9802664604991674e-05,0.00020613683613356166,2.187408060382749e-06,0.00034599230424959583,,0.9999891044224009,1.0,-0.00013446020276992215,-0.00013446020276992215,-0.00010531182188126752,-0.00010531182188126752,0.0003459923042496934
operations_per_W_AGV,0.9916517908438941,1.0,0.9779954910379004,,,0.9691721838443433,0.9981960444884523,-0.04863090611717836,-0.01567487665993676,,,-0.09397451137904471,-0.08599134075991657,-0.004614798582628047,,-0.4234290141008407,-0.004614798582628024,0.10978923614386636,-0.022928716114767687,-0.1854617965798415,0.03413446488439037,0.028044084395881866,0.07751602552026217,0.1313167463584129,-0.6951316296912392,0.10237508551680861,-0.5758475174681439,0.27428524936980386,0.27428524936980386,0.9916517908438941,0.9916517908438941,0.9820739558333748,0.978155009731418,0.13803000267014082,0.11875849141638042,0.1284729343315522,0.12133251912523711,0.5795033506767245,-0.0012914398660807261,0.37026860537031103,,0.00048121551379523304,-0.00013446020276992215,1.0,1.0,0.9779954910379005,0.9779954910379005,0.370268605370311
operations_per_F_AGV,0.9916517908438941,1.0,0.9779954910379004,,,0.9691721838443433,0.9981960444884523,-0.04863090611717836,-0.01567487665993676,,,-0.09397451137904471,-0.08599134075991657,-0.004614798582628047,,-0.4234290141008407,-0.004614798582628024,0.10978923614386636,-0.022928716114767687,-0.1854617965798415,0.03413446488439037,0.028044084395881866,0.07751602552026217,0.1313167463584129,-0.6951316296912392,0.10237508551680861,-0.5758475174681439,0.27428524936980386,0.27428524936980386,0.9916517908438941,0.9916517908438941,0.9820739558333748,0.978155009731418,0.13803000267014082,0.11875849141638042,0.1284729343315522,0.12133251912523711,0.5795033506767245,-0.0012914398660807261,0.37026860537031103,,0.00048121551379523304,-0.00013446020276992215,1.0,1.0,0.9779954910379005,0.9779954910379005,0.370268605370311
islands_per_W_AGV,0.9897433186107875,0.9779954910379005,1.0,,,0.9989061072386723,0.973529588278694,-0.0616059555396383,-0.020400763903636883,,,-0.10952539483120295,-0.10884847396563761,-0.014163337974337107,,-0.45401216488594626,-0.014163337974337067,0.10427684314459897,-0.049899530892834845,-0.1946374726780963,0.015256807540054424,0.014462156367920595,0.04975407552983709,0.13474447359756447,-0.6768726604584425,0.0788878065676252,-0.45461658603225974,0.22231571804288142,0.22231571804288142,0.9897433186107875,0.9897433186107875,0.9725339591133795,0.9683704881505825,0.134663979412211,0.11275998131679832,0.127984343348179,0.12357690835653215,0.5943896168131587,-0.0014580485065708913,0.33289946330137676,,0.00042826546122760027,-0.00010531182188126752,0.9779954910379005,0.9779954910379005,1.0,1.0,0.3328994633013767
islands_per_F_AGV,0.9897433186107875,0.9779954910379005,1.0,,,0.9989061072386723,0.973529588278694,-0.0616059555396383,-0.020400763903636883,,,-0.10952539483120295,-0.10884847396563761,-0.014163337974337107,,-0.45401216488594626,-0.014163337974337067,0.10427684314459897,-0.049899530892834845,-0.1946374726780963,0.015256807540054424,0.014462156367920595,0.04975407552983709,0.13474447359756447,-0.6768726604584425,0.0788878065676252,-0.45461658603225974,0.22231571804288142,0.22231571804288142,0.9897433186107875,0.9897433186107875,0.9725339591133795,0.9683704881505825,0.134663979412211,0.11275998131679832,0.127984343348179,0.12357690835653215,0.5943896168131587,-0.0014580485065708913,0.33289946330137676,,0.00042826546122760027,-0.00010531182188126752,0.9779954910379005,0.9779954910379005,1.0,1.0,0.3328994633013767
configuration_entropy,0.3491326278292873,0.370268605370311,0.3328994633013767,,,0.3261041175549753,0.3649773296572302,0.10105211655401929,0.0717569856525439,,,0.06636831520103917,0.12455490119372487,0.1465195976912135,,-0.1916166444156755,0.14651959769121356,0.14509142154381646,0.20610496084699942,0.026421404219859845,0.24518865539932908,0.17111840215507926,0.09686308190881321,0.04803986957569207,-0.35607031554767826,-0.3296049293071582,-0.366914206069308,0.014709823899496191,0.014709823899496191,0.3491326278292873,0.3491326278292873,0.34565468427549795,0.3394065755535165,0.060471595350823325,0.0648628134258298,0.058631855110772284,0.04829660427725065,0.28712626245037814,-0.00022377489798499942,1.0,,0.00017229598968406407,0.0003459923042496934,0.370268605370311,0.370268605370311,0.3328994633013767,0.3328994633013767,1.0
