algorithm,instance_id,seed,scale,auc_available_horizon,available_budget_fraction,mean_normalized_incumbent_over_available_horizon,first_incumbent_budget_fraction
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,0.8158364032489301,0.9992646133012232,0.8164368000120509,0.0007353866987767719
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,0.8070214572371128,0.9992641566324936,0.8076157359198833,0.0007358433675064413
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,0.794924787749447,0.9992619010813377,0.7955119542626712,0.000738098918662283
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,0.8060714437875512,0.9992904386250133,0.8066438070764249,0.0007095613749867012
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,0.813595239296231,0.9990926893168403,0.8143340933187603,0.0009073106831597532
ALNS,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,0.8142592737533385,0.9992568752820452,0.8148648199428298,0.0007431247179548061
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,0.9309823825965564,0.9987220010930576,0.9321736995656817,0.0012779989069423073
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,0.9392799635702224,0.9988244533989463,0.9403854304666879,0.001175546601053669
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,0.9618080742234622,0.9988238802845367,0.9629406076569477,0.0011761197154633106
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,0.9987517074897397,0.9987517074897397,1.0,0.0012482925102603143
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,0.9733323820516555,0.9987509854433586,0.9745496086990898,0.0012490145566413592
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,0.9788041624628943,0.9987413826520517,0.9800376548569397,0.0012586173479482484
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,0.9829328121508645,0.998361503999999,0.9845459868120731,0.0016384960000010084
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,0.917402481980462,0.9982580762622748,0.9190033156710776,0.001741923737725182
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,0.9624859773340342,0.9983646393469866,0.9640625673236785,0.0016353606530134389
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,0.9984584727458521,0.9984584727458521,1.0,0.0015415272541479442
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,0.9984397595083633,0.9984397595083633,1.0,0.0015602404916367635
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,0.9801325071306568,0.9984300992933366,0.9816736372675159,0.0015699007066634
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,0.9964189060275002,0.9996713412368543,0.9967464954978803,0.00032865876314565215
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,0.9957167240571647,0.9996707617060645,0.9960446601017402,0.0003292382939355121
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,0.9996703851797256,0.9996703851797256,1.0,0.00032961482027435283
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,0.8671342637592893,0.9996433251880161,0.8674436590632922,0.00035667481198389496
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,0.8688363897802143,0.9996434861836899,0.8691462524275988,0.00035651381631007686
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,0.874084275537379,0.9996471366752785,0.8743928166937902,0.00035286332472151896
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,0.9519020156942766,0.99950669480325,0.9523718256651154,0.0004933051967499091
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,0.9355248837712397,0.9994712429221092,0.9360198108712838,0.0005287570778908376
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,0.960794595646084,0.9995034337294246,0.9612719308638019,0.0004965662705754007
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,0.9597574168852178,0.9994585802440584,0.9602773300028642,0.0005414197559415282
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,0.9423382716633302,0.9994531301653203,0.9428538900142893,0.0005468698346796702
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,0.9646744356885846,0.9994577763661262,0.9651977887410027,0.0005422236338738117
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,0.999192297872885,0.999192297872885,1.0,0.0008077021271150196
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,0.9985999403918571,0.9991953982541217,0.9994040626454994,0.0008046017458782752
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,0.9991995363517948,0.9991995363517948,1.0,0.0008004636482051495
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,0.9912113821743633,0.9992666405646716,0.9919388298745204,0.0007333594353283467
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,0.9752169919492438,0.9992573400990734,0.9759417847784375,0.0007426599009265594
ALNS,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,0.9694460391487587,0.9992648101853837,0.9701592903775997,0.0007351898146162998
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,0.9216869506405979,0.9998345609919405,0.9218394588462596,0.00016543900805952974
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,S,0.9321900924688155,0.9998337436311393,0.9323451007797962,0.00016625636886064818
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,S,0.9515795144533108,0.9998320554999528,0.9517393538432672,0.00016794450004722496
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,S,0.9446972050741471,0.9998353658390572,0.9448527601155232,0.0001646341609427639
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,S,0.957549174475065,0.9998342170713711,0.9577079461031411,0.00016578292862894678
ALNS,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,S,0.9487030587851908,0.9998346478751046,0.9488599547949443,0.00016535212489543483
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,S,0.9008938258547671,0.9998096182333636,0.9010653722721952,0.00019038176663646784
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746102,S,0.9001768376811016,0.9998071513832353,0.9003504690236562,0.0001928486167647255
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12,746103,S,0.9027065505845577,0.9998066638334422,0.902881110157253,0.0001933361665578559
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746101,S,0.9749984899861464,0.9997990563253609,0.9751944491422446,0.00020094367463903
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746102,S,0.9403817691200452,0.9998003235001335,0.9405695787614132,0.00019967649986649613
ALNS,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746103,S,0.9233086015709527,0.999799517388936,0.9234937460084538,0.00020048261106398607
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746101,S,0.8710346179316396,0.9997166238196068,0.8712815183603597,0.0002833761803931786
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746102,S,0.8785417397788358,0.9997140359015159,0.8787930430391426,0.000285964098484179
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12,746103,S,0.8829884329576143,0.9997172380736018,0.8832381790866013,0.0002827619263982461
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746101,S,0.9589191065467204,0.999685673777657,0.9592206147389448,0.0003143262223429268
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,S,0.9376777768319936,0.9996883016666822,0.9379701405615085,0.00031169833331775394
ALNS,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746103,S,0.9434964936219327,0.9996860537143047,0.9437927938640323,0.0003139462856952811
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,0.8642707937775567,0.9999676737590716,0.8642987333066436,3.232624092846211e-05
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,0.8681389054026498,0.9999675426054647,0.8681670838442127,3.24573945352269e-05
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,0.885998225956514,0.9999674636897272,0.8860270540076532,3.2536310272807455e-05
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,1.052013270306915,0.9999659905668861,1.05204904989871,3.4009433113888645e-05
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,0.9149927422430708,0.9999666054796381,0.9150232990072611,3.3394520361853635e-05
LG_HGA_2O,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,0.9082613697830766,0.9999668447645639,0.9082914844010865,3.315523543617103e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,0.9459420265752242,0.9999650645399054,0.9459750746496951,3.4935460094625054e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,0.975955879766447,0.9999645448670174,0.9759904836388342,3.54551329826094e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,0.9561674006572428,0.9999648650744812,0.9562009967080431,3.5134925518774405e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,1.157525071306093,0.999964063896899,1.1575666697412832,3.593610310098924e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746102,L,1.1113748020185996,0.9999641846623434,1.1114146077080511,3.581533765662749e-05
LG_HGA_2O,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,L,1.1032925191818717,0.9999627399355229,1.1033336294640452,3.726006447716818e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,L,0.9986449712847846,0.999965471008241,0.9986794546794451,3.452899175902188e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,L,1.0381171706134162,0.9999654333934486,1.0381530560416445,3.4566606551439304e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,L,0.9828991658326399,0.9999652086994725,0.9829333633626832,3.479130052747663e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,L,1.005989421813982,0.9999659293100814,1.0060236977354382,3.407068991859303e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,L,0.9962918409302771,0.9999664032178334,0.9963253142548273,3.3596782166609674e-05
LG_HGA_2O,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,L,1.0075404345185253,0.9999659862039239,1.0075747059591051,3.401379607612652e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,M,0.9985728361320321,0.9999738177851357,0.9985989816651333,2.6182214864284586e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,0.9747095644410079,0.9999739886184934,0.9747349186428445,2.601138150662576e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,1.0152954286802562,0.9999737032938579,1.015322128307904,2.6296706142091896e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,0.8600288124091774,0.9999746121410191,0.8600506472537263,2.5387858980908415e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,0.853490013877122,0.9999742357350854,0.8535120039865005,2.5764264914597203e-05
LG_HGA_2O,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,0.8672467377594233,0.9999734566923336,0.8672697579674388,2.6543307666364326e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,0.9211647603228748,0.9999730522500077,0.9211895843094883,2.6947749992374514e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,0.9469978529598615,0.9999733956599395,0.9470230478830726,2.6604340060568248e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,0.9453055398967976,0.9999732688729189,0.9453308096548041,2.673112708105721e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,0.9528494098471716,0.9999724798385506,0.9528756331384367,2.7520161449329885e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,0.9828578646096909,0.9999727162126429,0.9828846814263354,2.72837873570269e-05
LG_HGA_2O,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,0.9693000613551684,0.9999730305630011,0.969326203537146,2.6969436998845732e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,1.0067008085483486,0.9999736374619237,1.0067273484364043,2.636253807626633e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,0.9509964765474441,0.9999733597796876,0.9510218119780371,2.6640220312401652e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12,746103,M,0.9499622068525619,0.999972831703386,0.9499880164087715,2.716829661394359e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746101,M,0.9099691367230022,0.9999741344914144,0.9099926741463281,2.5865508585662483e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746102,M,0.9256943090390509,0.9999743062628489,0.9257180941964392,2.5693737151069118e-05
LG_HGA_2O,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,746103,M,0.9245605692483421,0.9999735622112549,0.9245850132315988,2.6437788745107386e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746101,S,0.9395024594810696,0.9999816603934751,0.9395196899025048,1.8339606524887875e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746102,S,0.9078894775866762,0.9999812849180403,0.9079064691306576,1.871508195973383e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12,746103,S,0.8968707991382961,0.9999816508524284,0.8968872562549163,1.834914757160195e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746101,S,0.9420581138447881,0.9999814733213758,0.9420755673760646,1.8526678624246934e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746102,S,0.9314996390182723,0.9999824767855898,0.9315159621722039,1.752321441017557e-05
LG_HGA_2O,CB1_CAUR_S_CF1_RI2_TI2_R12_C02,746103,S,0.9400304415373384,0.9999818589198445,0.9400474950142954,1.8141080155536266e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746101,S,0.887980743458602,0.9999816267418888,0.8879970588577664,1.8373258111144727e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746102,S,0.904976167479431,0.9999819147667343,0.9049925344805209,1.8085233265689263e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12,746103,S,0.8800749499070241,0.9999818832417077,0.8800908943010314,1.8116758292308076e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746101,S,0.9407435337646152,0.9999818054602079,0.9407606504717051,1.8194539792140916e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746102,S,0.946142752432541,0.9999810261427821,0.9461607047506582,1.897385721797094e-05
LG_HGA_2O,CB1_CAUR_S_CF2_RI2_TI2_R12_C02,746103,S,0.9515607475632051,0.999981302928525,0.9515785392951683,1.8697071474947272e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746101,S,0.8523884659720364,0.9999815049425214,0.8524042312372883,1.8495057478592898e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746102,S,0.8354149045286693,0.9999814700410647,0.8354303850193969,1.8529958935210208e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12,746103,S,0.8096449168182472,0.9999806792212872,0.8096605600907613,1.932077871284402e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746101,S,0.9739559173899577,0.9999816152699096,0.9739738236358203,1.838473009041673e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746102,S,0.9668591973904879,0.9999815023334194,0.9668770823603817,1.849766658057296e-05
LG_HGA_2O,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,746103,S,0.9524340464055303,0.9999812710475886,0.9524518848315555,1.872895241138481e-05
