seed,algorithm,runs,mean_final_makespan,mean_rpd_v001_percent
746101,ALNS,18,2930.1666666666665,4.584155357861707
746101,LG_HGA_2O,18,2935.8888888888887,4.674143462888093
746101,NGAS_A1_6,18,2855.222222222222,1.7968605822093058
746101,PHASE6H,18,2935.8333333333335,5.435994162580012
746101,PHASE6N_TOP1,18,2921.777777777778,4.549683728615438
746102,ALNS,18,2911.8333333333335,4.105718980240655
746102,LG_HGA_2O,18,2882.8333333333335,2.6806909699168124
746102,NGAS_A1_6,18,2858.0,1.6128444928222172
746102,PHASE6H,18,2936.6111111111113,5.352275336066116
746102,PHASE6N_TOP1,18,2949.9444444444443,5.50313988414329
746103,ALNS,18,2923.5,4.333173486793999
746103,LG_HGA_2O,18,2879.277777777778,2.610357493221486
746103,NGAS_A1_6,18,2835.3333333333335,1.0007085864308816
746103,PHASE6H,18,2902.4444444444443,4.3225982697268694
746103,PHASE6N_TOP1,18,2936.8888888888887,5.182408623629572
