instance_id,seed,scale,iterations,decoder_evaluations,critic_calls,refresh_count,guided_iterations,guided_iterations_per_critic_call,runtime_preparation_seconds,refresh_seconds,refresh_budget_share,decoder_evaluations_per_second,new_best_events,new_best_events_per_1000_evaluations,h1_to_final_improvement,improvement_per_second,improvement_per_1000_evaluations,best_found_seconds,budget_overshoot_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms
CB1_CAUR_L_CF1_RI2_TI2_R12,746101,L,3293,26338,165,165,3293,19.957575757575757,0.0006807869649492204,4.135811104613822,0.012457262363294645,79.33009466826067,33,1.2529425165160604,1210.0,3.644521776467287,45.94122560558888,276.46587944898056,0.0051502540009096265,22.887393948622048,24.05750199686736,77.78645720798521,198.62875499529764
CB1_CAUR_L_CF1_RI2_TI2_R12,746102,L,3356,26843,168,168,3356,19.976190476190474,0.0007380479946732521,3.9753328778315336,0.011973894210335944,80.85130530518425,22,0.8195805237864621,1030.0,3.1023672638803332,38.37126997727527,259.1108461149852,0.004534728010185063,22.222561005037278,23.60908020636998,70.43904654739892,71.85644801938906
CB1_CAUR_L_CF1_RI2_TI2_R12,746103,L,3404,27226,171,171,3404,19.906432748538013,0.0007737909909337759,3.783337723929435,0.011395595554004323,82.00311808273686,25,0.9182399177257033,1053.0,3.171574353233009,38.676265334606626,315.09514287498314,0.011765363975428045,21.66791702620685,23.242378956638277,24.04571701772511,24.38268397236243
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746101,L,3280,26237,164,164,3280,20.0,0.0005659720045514405,3.8183165051741526,0.011099757282483002,76.26875801325605,17,0.6479399321568777,958.0,2.7848256346647595,36.51332088272287,81.31048274604836,0.00717519799945876,22.366066492395476,24.0349717263598,28.926246284972926,71.11851603258401
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746102,L,3259,26072,163,163,3259,19.993865030674847,0.0007842539926059544,3.9273008120362647,0.011416572128012397,75.79021786351105,17,0.6520405032218471,928.0,2.697657340339761,35.59374041116907,90.54346592596266,0.0021777870133519173,22.652114974334836,24.09032059367746,74.25855688983575,78.2025859807618
CB1_CAUR_L_CF1_RI2_TI2_R12_C02,746103,L,3254,26029,163,163,3254,19.96319018404908,0.0008834140026010573,4.025121785525698,0.011700935423039821,75.66341581425957,27,1.0373045449306542,1032.0,2.9999095286148476,39.64808482846056,165.90265577402897,0.01037436502519995,22.789857001043856,24.164217559155077,73.30070069991051,79.87124798819423
CB1_CAUR_L_CF2_RI2_TI2_R12,746101,L,3075,24601,154,154,3075,19.967532467532468,0.0009038750431500375,3.9440427917870693,0.010489475510071993,65.42812462686946,7,0.28454127880980445,272.0,0.7234035160566031,11.056461119466688,311.8036803380237,0.00038424297235906124,24.42603901727125,26.018441485939547,49.87308596551878,75.45263401698321
CB1_CAUR_L_CF2_RI2_TI2_R12,746102,L,3112,24890,156,156,3112,19.94871794871795,0.0011596190161071718,4.010981643048581,0.010667504369810055,66.19547511862774,5,0.2008838891120932,282.0,0.7499848928667345,11.329851345922057,3.190820584015455,0.007573862036224455,24.368102982407436,25.90321851312183,71.79595520428846,74.61792399408296
CB1_CAUR_L_CF2_RI2_TI2_R12,746103,L,3139,25111,157,157,3139,19.993630573248407,0.0010368739604018629,4.042752900044434,0.010752002393735196,66.78326723251612,8,0.31858548046672774,438.0,1.1648708154928942,17.442555055553342,281.5297535340069,0.0073599360184744,24.21597600914538,25.792843371164054,73.48470435477793,75.91468398459256
CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746101,L,3049,24393,153,153,3049,19.9281045751634,0.0014201610465534031,3.882268699700944,0.01000584716417769,62.866614823237924,1,0.04099536752346985,48.0,0.1237075190224827,1.9677776411265526,0.946058506029658,0.011984876007772982,24.799103965051472,26.545509591232985,27.063960325904187,27.350894990377128
