algorithm,instance_id,seed,threshold_rpd_percent,target_makespan,hit,first_passage_seconds,first_passage_budget_fraction
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,0.0,3957.0,False,,
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,1.0,3996.57,False,,
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,2.0,4036.14,False,,
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,5.0,4154.85,True,0.9416554220078979,0.002426946963937881
ALNS,CB1_CAUR_L_CF2_RI2_TI2_R12_C02,746103,10.0,4352.700000000001,True,0.48834353100392036,0.0012586173479482484
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,0.0,4145.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,1.0,4186.45,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,2.0,4227.9,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,5.0,4352.25,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746101,10.0,4559.5,True,0.5996895360003691,0.0016384960000010084
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,0.0,4145.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,1.0,4186.45,True,0.8642574900004547,0.0023613592622963244
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,2.0,4227.9,True,0.8642574900004547,0.0023613592622963244
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,5.0,4352.25,True,0.7509531750110909,0.002051784631177844
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746102,10.0,4559.5,True,0.6375440880074166,0.001741923737725182
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,0.0,4145.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,1.0,4186.45,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,2.0,4227.9,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,5.0,4352.25,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12,746103,10.0,4559.5,True,0.5985419990029186,0.0016353606530134389
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,0.0,3180.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,1.0,3211.8,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,2.0,3243.6,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,5.0,3339.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746101,10.0,3498.0000000000005,True,0.551866756984964,0.0015415272541479442
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,0.0,3180.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,1.0,3211.8,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,2.0,3243.6,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,5.0,3339.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746102,10.0,3498.0000000000005,True,0.5585660960059613,0.0015602404916367635
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,0.0,3180.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,1.0,3211.8,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,2.0,3243.6,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,5.0,3339.0,False,,
ALNS,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,746103,10.0,3498.0000000000005,True,0.5620244529854972,0.0015699007066634
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,0.0,2743.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,1.0,2770.43,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,2.0,2797.86,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,5.0,2880.15,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746101,10.0,3017.3,True,0.07493419799720868,0.00032865876314565215
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,0.0,2743.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,1.0,2770.43,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,2.0,2797.86,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,5.0,2880.15,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,10.0,3017.3,True,0.07506633101729676,0.0003292382939355121
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,0.0,2743.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,1.0,2770.43,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,2.0,2797.86,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,5.0,2880.15,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,10.0,3017.3,True,0.07515217902255245,0.00032961482027435283
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,0.0,2772.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,1.0,2799.72,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,2.0,2827.44,True,62.49180595698999,0.2670589998161966
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,5.0,2910.6,True,40.45173300098395,0.17287065385035877
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,10.0,3049.2000000000003,True,17.39462071697926,0.07433598596999684
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,0.0,2772.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,1.0,2799.72,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,2.0,2827.44,True,76.4860719999997,0.32686355555555424
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,5.0,2910.6,True,29.883104280015687,0.1277055738462209
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,10.0,3049.2000000000003,True,16.20112846500706,0.06923559173079939
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,0.0,2772.0,False,,
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,1.0,2799.72,True,203.75234678498236,0.8707365247221469
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,2.0,2827.44,True,203.75234678498236,0.8707365247221469
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,5.0,2910.6,True,81.26147585400031,0.34727126433333466
ALNS,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,10.0,3049.2000000000003,True,12.650994394003646,0.05406407860685319
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,0.0,2782.0,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,1.0,2809.82,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,2.0,2837.64,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,5.0,2921.1,False,,
ALNS,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,10.0,3060.2000000000003,True,55.69672109599924,0.2282652503934395
