scale,runs,refresh_samples,mean_critic_calls,mean_guided_iterations_per_call,mean_refresh_budget_share,mean_runtime_preparation_seconds,refresh_p50_ms,refresh_p90_ms,refresh_p99_ms,refresh_max_ms,count_gt_30_ms,count_gt_50_ms,count_gt_100_ms,mean_decoder_evaluations_per_second,mean_new_best_events_per_1000_evaluations
ALL,54,11853,219.5,19.95612399486179,0.018957545275157556,0.0007662108346940604,17.19391596270725,24.27061798516661,26.589756566099815,198.62875499529764,78,76,1,197.0464091748579,0.3864222286127622
S,18,5157,286.5,19.958093333343566,0.029492681984736972,0.0005269776674039247,12.092868972104043,12.927986192516983,13.629888985306017,71.66030799271539,17,17,0,377.7593833582707,0.36095552424833743
M,18,3800,211.11111111111111,19.952330228610034,0.016320396824192975,0.0007286829511738486,17.797431006329134,19.032799248816445,20.294152962160293,78.96841602632776,25,25,0,141.86737839447744,0.3873431306477277
L,18,2896,160.88888888888889,19.957948422631762,0.011059557016542716,0.001042971885504408,23.91788750537671,25.895370490616187,71.32180630578662,198.62875499529764,36,34,1,71.51246577182559,0.4109680309422217
