dataset_origin,dimension,value,utility,states,informative_states,positive_best_states,mean_actions,mean_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
CLEAN_NON_R12_DEVELOPMENT,neighborhood_size,small,U0_IMMEDIATE,18,4,4,117.5,-0.05998633651576091,0.01516659295297066,10.25,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,neighborhood_size,small,U1_SHORT_HORIZON,18,4,4,117.5,-0.04464008216073022,0.01516659295297066,10.25,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,neighborhood_size,small,U2_COST_NORMALIZED,18,4,4,117.5,-0.04478718139823243,0.01516659295297066,73.79958778026617,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,neighborhood_size,small,U3_STOCHASTIC_ROBUSTNESS,18,18,0,117.5,0.09353680800506864,0.5428951343400175,,,
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,greedy,U0_IMMEDIATE,18,1,1,70.77777777777777,0.10959864766025626,0.014705882352941176,20.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,greedy,U1_SHORT_HORIZON,18,1,1,70.77777777777777,0.10959864766025626,0.014705882352941176,20.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,greedy,U2_COST_NORMALIZED,18,1,1,70.77777777777777,0.10959864766025626,0.014705882352941176,120.73221436803878,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,greedy,U3_STOCHASTIC_ROBUSTNESS,18,18,0,70.77777777777777,0.6634583353568628,0.1298021909995542,,,
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,reconfiguration_aware,U0_IMMEDIATE,18,3,3,70.77777777777777,0.13348478025208818,0.0095967964650649,5.666666666666667,0.3333333333333333,0.3333333333333333
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,reconfiguration_aware,U1_SHORT_HORIZON,18,3,3,70.77777777777777,0.13348478025208818,0.0095967964650649,5.666666666666667,0.3333333333333333,0.3333333333333333
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,reconfiguration_aware,U2_COST_NORMALIZED,18,3,3,70.77777777777777,0.13348478025208818,0.0095967964650649,35.627719855475114,0.3333333333333333,0.3333333333333333
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,reconfiguration_aware,U3_STOCHASTIC_ROBUSTNESS,18,18,0,70.77777777777777,0.4954367509542975,0.1886540041613706,,,
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret2,U0_IMMEDIATE,18,1,1,70.77777777777777,0.11568746141915938,0.014705882352941176,4.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret2,U1_SHORT_HORIZON,18,3,3,70.77777777777777,-0.009790989044773622,0.014634839443023587,5.333333333333333,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret2,U2_COST_NORMALIZED,18,3,3,70.77777777777777,-0.009790989044773622,0.014634839443023587,42.426623313505196,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret2,U3_STOCHASTIC_ROBUSTNESS,18,18,0,70.77777777777777,0.6590845360069404,0.16766659443256107,,,
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret3,U0_IMMEDIATE,18,2,2,70.77777777777777,0.11264305453970783,0.014705882352941176,3.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret3,U1_SHORT_HORIZON,18,2,2,70.77777777777777,0.11264305453970783,0.014705882352941176,3.0,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret3,U2_COST_NORMALIZED,18,2,2,70.77777777777777,0.11264305453970783,0.014705882352941176,41.40282700569172,0.0,0.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,regret3,U3_STOCHASTIC_ROBUSTNESS,18,18,0,70.77777777777777,0.6822422710487985,0.15980840999392204,,,
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,transport_aware,U0_IMMEDIATE,18,1,1,70.77777777777777,0.02405858179321528,0.0,0.0,1.0,1.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,transport_aware,U1_SHORT_HORIZON,18,1,1,70.77777777777777,0.13216020956465258,0.0,0.0,1.0,1.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,transport_aware,U2_COST_NORMALIZED,18,1,1,70.77777777777777,0.13216020956465258,0.0,0.0,1.0,1.0
CLEAN_NON_R12_DEVELOPMENT,repair_strategy,transport_aware,U3_STOCHASTIC_ROBUSTNESS,18,18,0,70.77777777777777,0.37943015396229446,0.2399220986618775,,,
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,LOCAL_PERTURBATION,U0_IMMEDIATE,18,2,2,60.0,0.12434228964863689,0.03389830508474576,7.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,LOCAL_PERTURBATION,U1_SHORT_HORIZON,18,4,4,60.0,0.18220427823680116,0.03389830508474576,13.5,0.25,0.25
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,LOCAL_PERTURBATION,U2_COST_NORMALIZED,18,4,4,60.0,0.18220427823680116,0.03389830508474576,84.5219414749035,0.25,0.25
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,LOCAL_PERTURBATION,U3_STOCHASTIC_ROBUSTNESS,18,18,0,60.0,0.4901155944201075,0.21468926553672316,,,
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,MATCHED_RANDOM,U0_IMMEDIATE,18,2,2,45.0,0.2954628844461479,0.03409090909090909,39.0,0.0,0.5
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,MATCHED_RANDOM,U1_SHORT_HORIZON,18,3,3,45.0,0.24155651376696352,0.04545454545454545,37.666666666666664,0.0,0.3333333333333333
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,MATCHED_RANDOM,U2_COST_NORMALIZED,18,3,3,45.0,0.2413955479591617,0.04545454545454545,129.8839795481108,0.0,0.3333333333333333
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,MATCHED_RANDOM,U3_STOCHASTIC_ROBUSTNESS,18,18,0,45.0,0.4796415887092741,0.25252525252525254,,,
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,ORIGINAL_OPERATOR,U0_IMMEDIATE,18,3,3,105.0,0.1532296348598884,0.028846153846153844,67.0,0.0,0.3333333333333333
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,ORIGINAL_OPERATOR,U1_SHORT_HORIZON,18,3,3,105.0,0.18083305919794032,0.04807692307692307,83.66666666666667,0.0,0.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,ORIGINAL_OPERATOR,U2_COST_NORMALIZED,18,3,3,105.0,0.18122637316437765,0.04807692307692307,324.26626935567543,0.0,0.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,ORIGINAL_OPERATOR,U3_STOCHASTIC_ROBUSTNESS,18,18,0,105.0,0.5271438450196317,0.22435897435897434,,,
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,RELATED_VARIANT,U0_IMMEDIATE,18,1,1,58.888888888888886,0.24703142333014724,0.03389830508474576,60.0,0.0,1.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,RELATED_VARIANT,U1_SHORT_HORIZON,18,3,3,58.888888888888886,0.18724108126799785,0.056497175141242945,92.66666666666667,0.0,0.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,RELATED_VARIANT,U2_COST_NORMALIZED,18,3,3,58.888888888888886,0.18850081801314167,0.056497175141242945,315.4038039869214,0.0,0.0
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,RELATED_VARIANT,U3_STOCHASTIC_ROBUSTNESS,18,18,0,58.888888888888886,0.4881870995101065,0.2243495849898863,,,
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,STRUCTURED_NEAR_NEIGHBOR,U0_IMMEDIATE,18,3,3,89.72222222222223,0.14484658927916283,0.011235955056179775,43.666666666666664,0.0,0.6666666666666666
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,STRUCTURED_NEAR_NEIGHBOR,U1_SHORT_HORIZON,18,4,4,89.72222222222223,0.1934607260613111,0.025280898876404494,31.0,0.0,0.25
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,STRUCTURED_NEAR_NEIGHBOR,U2_COST_NORMALIZED,18,4,4,89.72222222222223,0.19321690957674104,0.028089887640449437,160.4787507561771,0.0,0.25
R12_DEVELOPMENT_EXPOSED,candidate_rule_family,STRUCTURED_NEAR_NEIGHBOR,U3_STOCHASTIC_ROBUSTNESS,18,18,0,89.72222222222223,0.4461155809045242,0.1670753819630224,,,
R12_DEVELOPMENT_EXPOSED,neighborhood_size,large,U0_IMMEDIATE,18,0,0,119.16666666666667,,,,,
R12_DEVELOPMENT_EXPOSED,neighborhood_size,large,U1_SHORT_HORIZON,18,1,1,119.16666666666667,0.23611856899643457,0.025210084033613446,82.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,large,U2_COST_NORMALIZED,18,1,1,119.16666666666667,0.23611856899643457,0.025210084033613446,276.46167702593095,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,large,U3_STOCHASTIC_ROBUSTNESS,18,18,0,119.16666666666667,0.1332556279798544,0.39250905040378725,,,
R12_DEVELOPMENT_EXPOSED,neighborhood_size,medium,U0_IMMEDIATE,18,2,2,118.33333333333333,0.1442716274609745,0.01680672268907563,21.5,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,medium,U1_SHORT_HORIZON,18,2,2,118.33333333333333,0.18059670009430312,0.025210084033613446,42.0,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,medium,U2_COST_NORMALIZED,18,2,2,118.33333333333333,0.18059670009430312,0.025210084033613446,158.8423687769449,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,medium,U3_STOCHASTIC_ROBUSTNESS,18,18,0,118.33333333333333,0.20666789376385564,0.38543482739949353,,,
R12_DEVELOPMENT_EXPOSED,neighborhood_size,small,U0_IMMEDIATE,18,5,5,118.33333333333333,0.08308914657212131,0.029255140008683338,53.8,0.0,0.0
R12_DEVELOPMENT_EXPOSED,neighborhood_size,small,U1_SHORT_HORIZON,18,6,6,118.33333333333333,0.07950146527649897,0.06330011483106038,65.5,0.0,0.16666666666666666
R12_DEVELOPMENT_EXPOSED,neighborhood_size,small,U2_COST_NORMALIZED,18,6,6,118.33333333333333,0.07997071969072088,0.06330011483106038,283.6403453989528,0.0,0.16666666666666666
R12_DEVELOPMENT_EXPOSED,neighborhood_size,small,U3_STOCHASTIC_ROBUSTNESS,18,18,0,118.33333333333333,0.2278353182726411,0.36289113531565315,,,
