dimension,group,trial,actions,instances,mean_raw_marginal_best_reduction,probability_best_changes_after_k,mean_raw_quality_loss_vs_eight,mean_positive_gain_at_k,mean_positive_gain_loss_vs_eight,no_new_best_probability,mean_signed_trial_variance
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,1,6370,18,0.0,0.875353218210361,177.71664050235478,0.0,0.0141287284144427,0.0,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,2,6370,18,80.96907378335949,0.7455259026687598,96.74756671899529,0.007378335949764521,0.006750392464678179,0.49058084772370486,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,3,6370,18,36.12135007849294,0.6124018838304552,60.626216640502356,0.012558869701726845,0.0015698587127158557,0.6544740973312402,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,4,6370,18,19.8265306122449,0.4919937205651491,40.799686028257454,0.012558869701726845,0.0015698587127158557,0.7555729984301413,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,5,6370,18,14.249607535321822,0.3665620094191523,26.550078492935636,0.013814756671899528,0.0003139717425431711,0.8032967032967033,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,6,6370,18,9.995290423861853,0.2514913657770801,16.554788069073783,0.013814756671899528,0.0003139717425431711,0.8483516483516483,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,7,6370,18,10.10204081632653,0.1119309262166405,6.452747252747253,0.0141287284144427,0.0,0.8392464678178964,20592.94129709576
dataset_origin,CLEAN_NON_R12_DEVELOPMENT,8,6370,18,6.452747252747253,0.0,0.0,0.0141287284144427,0.0,0.8880690737833595,20592.94129709576
dataset_origin,R12_DEVELOPMENT_EXPOSED,1,6405,6,0.0,0.8860265417642467,197.8438719750195,0.00156128024980484,0.09836065573770492,0.0,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,2,6405,6,91.73708040593287,0.7489461358313817,106.10679156908665,0.018423106947697113,0.08149882903981265,0.4744730679156909,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,3,6405,6,39.80390320062451,0.614207650273224,66.30288836846213,0.018579234972677595,0.08134270101483217,0.6530835284933646,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,4,6405,6,20.862763466042153,0.502576112412178,45.44012490241998,0.031069476971116314,0.06885245901639345,0.7600312256049961,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,5,6405,6,17.543637782982046,0.36424668227946916,27.89648711943794,0.05745511319281811,0.04246682279469165,0.7826697892271662,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,6,6405,6,12.034816549570648,0.2352849336455894,15.861670569867291,0.059640905542544885,0.04028103044496487,0.834192037470726,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,7,6405,6,8.671662763466042,0.11428571428571428,7.190007806401249,0.06900858704137393,0.030913348946135833,0.8622950819672132,23816.31206576893
dataset_origin,R12_DEVELOPMENT_EXPOSED,8,6405,6,7.190007806401249,0.0,0.0,0.09992193598750976,0.0,0.8857142857142857,23816.31206576893
overall,ALL,1,12775,24,0.0,0.8807045009784736,187.80782778864972,0.0007827788649706458,0.0563600782778865,0.0,22209.04225782779
overall,ALL,2,12775,24,86.3678277886497,0.7472407045009785,101.44,0.012915851272015656,0.04422700587084149,0.48250489236790606,22209.04225782779
overall,ALL,3,12775,24,37.96767123287671,0.6133072407045009,63.47232876712329,0.015577299412915852,0.04156555772994129,0.6537769080234833,22209.04225782779
overall,ALL,4,12775,24,20.346066536203523,0.4972994129158513,43.126262230919764,0.021839530332681018,0.035303326810176124,0.7578082191780822,22209.04225782779
overall,ALL,5,12775,24,15.901135029354208,0.3654011741682975,27.22512720156556,0.03569471624266145,0.021448140900195693,0.7929549902152642,22209.04225782779
overall,ALL,6,12775,24,11.017847358121331,0.2433659491193738,16.207279843444226,0.03679060665362035,0.020352250489236792,0.841252446183953,22209.04225782779
overall,ALL,7,12775,24,9.384892367906067,0.11311154598825832,6.822387475538161,0.041643835616438356,0.015499021526418787,0.850802348336595,22209.04225782779
overall,ALL,8,12775,24,6.822387475538161,0.0,0.0,0.05714285714285714,0.0,0.8868884540117417,22209.04225782779
