state_key,instance_id,dataset_origin,scale,search_stage,left,right,informative,spearman,same_top1,top5_overlap,top10_overlap
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U1_SHORT_HORIZON,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U2_COST_NORMALIZED,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,80-100%,U1_SHORT_HORIZON,U2_COST_NORMALIZED_TOP1,False,,True,,
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U1_SHORT_HORIZON,False,,True,5,10
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U2_COST_NORMALIZED,False,,True,5,10
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U0_IMMEDIATE,U3_STOCHASTIC_ROBUSTNESS,False,,False,0,0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,U1_SHORT_HORIZON,U2_COST_NORMALIZED,False,,True,5,10
