state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,offset,iteration,actions,fresh_bank_actions,informative_U0,positive_best_U0,stale_U0_spearman,stale_top1_normalized_rank,stale_top1_regret,semantic_bank_jaccard,top1_same_semantics,top5_overlap_fraction,top10_overlap_fraction,common_rank_spearman,common_prior_mean_absolute_drift,common_advantage_mean_absolute_drift,common_percentile_rank_mean_absolute_drift,operation_feature_relative_l2,operation_feature_mean_absolute,graph_edge_jaccard,critical_signature_changed,dominant_bottleneck_changed,stale_top1_U0,fresh_top1_U0,archived_selected_U0,stale_top1_regret_union,fresh_top1_regret_union,archived_selected_regret_union
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,40-60%,10,1650,360,355,True,True,0.035296153386904255,0.002785515320334262,18.0,0.1349206349206349,False,0.2,0.1,0.9983974985342974,6.534438226338259e-05,4.121196620604571e-05,0.014104575780550637,0.0,0.0,1.0,False,False,0.0,0.0,0.0,18.0,18.0,18.0
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,40-60%,15,1655,360,355,False,False,,0.0,0.0,0.1349206349206349,False,0.4,0.2,0.9993160054719562,0.00018076216468042698,8.84425114182865e-05,0.016552848418532707,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF3,40-60%,19,1659,360,360,True,True,0.04646903647340632,0.002785515320334262,22.0,0.11627906976744186,False,0.2,0.1,0.9999999999999999,0.00013214540586478277,0.0,0.016453110492107705,0.0,0.0,1.0,False,False,0.0,0.0,0.0,22.0,22.0,22.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF1,80-100%,0,4840,350,350,False,False,,0.0,0.0,1.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF1,80-100%,5,4845,350,350,False,False,,0.0,0.0,0.12903225806451613,False,0.0,0.2,0.9997421472105018,0.00017705389843716276,1.9241124391555786e-05,0.051325214899713464,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF1,80-100%,10,4850,350,345,False,False,,0.0,0.0,0.13934426229508196,False,0.2,0.2,0.9991792065663474,9.989134683583392e-05,3.828090779921588e-05,0.03662447720475543,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF1,80-100%,15,4855,350,355,False,False,,0.0,0.0,0.1652892561983471,False,0.0,0.3,0.9875307530753074,0.00022100744179758157,0.0003317469358444214,0.04916193158823435,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,S,CF1,80-100%,19,4859,350,340,False,False,,0.0,0.0,0.15,False,0.0,0.1,0.9949952669053791,0.00020768058545803743,0.00018454583154784308,0.04925605677691282,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,0,1980,360,360,False,False,,0.0,0.0,1.0,True,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,5,1985,360,360,False,False,,0.0,0.0,0.13385826771653545,True,0.4,0.2,0.9995309751807698,3.0252179623910124e-05,6.038011873469633e-05,0.010552187448795679,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,10,1990,360,355,False,False,,0.0,0.0,0.12598425196850394,True,0.4,0.3,1.0,0.00015383874506629832,3.255903720855713e-06,0.018058735816691058,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,15,1995,360,355,False,False,,0.0,0.0,0.1349206349206349,True,0.4,0.2,0.9994332616767637,7.195960025022395e-05,6.377381436965045e-05,0.014352393145540166,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,19,1999,360,355,False,False,,0.0,0.0,0.1349206349206349,True,0.4,0.2,0.9986124682431113,4.718691035248696e-05,7.793386192882763e-05,0.017485797019341234,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,0,520,355,355,True,True,0.17241030641725597,0.01694915254237288,60.0,1.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,60.0,60.0,60.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,5,525,355,360,True,True,0.18874704863844366,0.00847457627118644,74.0,0.1171875,False,0.2,0.2,0.9999999999999999,0.00017663398520684933,0.0,0.01990735932098474,0.0,0.0,1.0,False,False,16.0,0.0,0.0,74.0,90.0,90.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,10,530,355,355,True,True,0.14491002195696925,0.002824858757062147,3.0,0.11811023622047244,False,0.2,0.2,0.9999999999999999,4.481137658471727e-05,0.0,0.024256120527306968,0.0,0.0,1.0,False,False,33.0,0.0,0.0,3.0,36.0,36.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,15,535,355,360,False,False,,0.0,0.0,0.12598425196850394,False,0.6,0.4,1.0,5.0420230383171926e-05,0.0,0.014206619926663838,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,19,539,355,360,True,True,0.20733100159675524,0.01977401129943503,43.0,0.1171875,False,0.2,0.2,0.9999999999999999,0.00010909156011249613,0.0,0.026106625959324135,0.0,0.0,1.0,False,False,0.0,0.0,0.0,43.0,43.0,43.0
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,0,3620,355,355,False,False,,0.0,0.0,1.0,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
