state_key,instance_id,dataset_origin,dataset_role,scale,CF_level,search_stage,search_conditions,actions,utility,informative,positive_best_available,spearman,top1_realized_rank,top1_normalized_rank,top1_regret,best_utility,top1_utility,hit_at_1,hit_at_5,hit_at_10
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,plateau_or_stagnating|low_action_entropy,360,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,plateau_or_stagnating|low_action_entropy,360,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_M_CF2_RI1_TI3_R04:seed817000093:iteration1980,CB1_TRAIN_M_CF2_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,VALIDATION,M,CF2,40-60%,plateau_or_stagnating|low_action_entropy,360,U3_STOCHASTIC_ROBUSTNESS,True,False,0.8002919777682742,1,0.0,0.0,-263.875,-263.875,True,True,True
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,plateau_or_stagnating,355,U0_IMMEDIATE,True,True,0.17241030641725597,7,0.01694915254237288,60.0,60.0,0.0,False,False,False
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,plateau_or_stagnating,355,U1_SHORT_HORIZON,True,True,0.30360365565504777,30,0.08192090395480225,110.0,110.0,0.0,False,False,False
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,plateau_or_stagnating,355,U2_COST_NORMALIZED,True,True,0.3034926212108806,30,0.08192090395480225,405.1129290021131,405.1129290021131,0.0,False,False,False
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,L,CF1,0-20%,plateau_or_stagnating,355,U3_STOCHASTIC_ROBUSTNESS,True,False,0.7705029522236642,8,0.01977401129943503,108.25,-88.5,-196.75,False,False,False
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,plateau_or_stagnating,355,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,plateau_or_stagnating,355,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,plateau_or_stagnating,355,U2_COST_NORMALIZED,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
R12|CB1_CAUR_M_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,DEVELOPMENT_EXPOSED,M,CF3,80-100%,plateau_or_stagnating,355,U3_STOCHASTIC_ROBUSTNESS,True,False,0.3300918960447638,216,0.6073446327683616,316.0,-172.5,-488.5,False,False,False
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U0_IMMEDIATE,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
CLEAN|CB1_TRAIN_S_CF3_RI1_TI1_R03:seed817000072:iteration2820,CB1_TRAIN_S_CF3_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,TRAIN,S,CF3,40-60%,plateau_or_stagnating|low_action_entropy,345,U1_SHORT_HORIZON,False,False,,1,0.0,0.0,0.0,0.0,True,True,True
