dimension,group,utility,states,instances,informative_states,positive_best_states,mean_spearman_informative,median_spearman_informative,mean_top1_normalized_rank_informative,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,U1_SHORT_HORIZON,18,18,5,5,0.024354285228099487,0.022617041500134005,0.005175644123735757,9.2,0.0,0.0
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,U2_COST_NORMALIZED,18,18,5,5,0.02435361662791281,0.022657182515902888,0.005175644123735757,62.164234678959055,0.0,0.0
dataset_origin+search_stage,CLEAN_NON_R12_DEVELOPMENT|40-60%,U3_STOCHASTIC_ROBUSTNESS,18,18,18,0,0.35349235708957444,0.3640458776832103,0.3054944589237135,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,U0_IMMEDIATE,6,6,5,5,0.10645340939302124,0.09051200843567524,0.011819253323788432,53.8,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,U1_SHORT_HORIZON,6,6,5,5,0.14552876548495625,0.12180798374859059,0.029270428118809127,73.2,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,U2_COST_NORMALIZED,6,6,5,5,0.1455351985750712,0.12181305908124679,0.029270428118809127,326.49007209135476,0.0,0.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|0-20%,U3_STOCHASTIC_ROBUSTNESS,6,6,6,0,0.511406177226737,0.4699833095161362,0.17641344880707954,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,U0_IMMEDIATE,6,6,0,0,,,,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,U1_SHORT_HORIZON,6,6,0,0,,,,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,U2_COST_NORMALIZED,6,6,0,0,,,,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|40-60%,U3_STOCHASTIC_ROBUSTNESS,6,6,6,0,0.4761221014374098,0.3944746709241762,0.22582893690155983,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,U0_IMMEDIATE,6,6,0,0,,,,,,
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,U1_SHORT_HORIZON,6,6,1,1,0.0902426022686493,0.0902426022686493,0.002824858757062147,27.0,0.0,1.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,U2_COST_NORMALIZED,6,6,1,1,0.0902426022686493,0.0902426022686493,0.002824858757062147,69.39171193694294,0.0,1.0
dataset_origin+search_stage,R12_DEVELOPMENT_EXPOSED|80-100%,U3_STOCHASTIC_ROBUSTNESS,6,6,6,0,0.49875057923028693,0.4625084925070949,0.17483493530638827,,,
