算法名称,运行次数,最优解,求解时间(s),最优解代数
SL,1,1857,225.1188735961914,112
SL,2,1845,228.72432613372803,432
EL,1,1525,416.5967390537262,497
EL,2,1534,427.5377266407013,480
HL,1,1564,346.7901484966278,499
HL,2,1577,354.4729907512665,473
