算法名称,运行次数,最优解,求解时间(s),最优解代数
SL,1,1854,231.6069061756134,164
SL,2,1867,228.50439500808716,315
EL,1,1522,450.9699523448944,453
EL,2,1518,451.0945692062378,500
HL,1,1570,379.95164012908936,474
HL,2,1602,391.7107071876526,459
