算法名称,运行次数,最优解,求解时间(s),最优解代数
SL,1,1883,45.300005197525024,12
SL,2,1872,45.04668092727661,59
EL,1,1620,91.40736675262451,100
EL,2,1628,92.32708954811096,96
HL,1,1817,49.83160948753357,99
HL,2,1695,65.95271897315979,96
