arm,instance_id,scale,CF_level,operation_count,seed_count,median_rpd_percent,mean_rpd_percent,objective_rank,attains_pooled_best,median_decoder_evaluations,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_runtime_seconds,feasibility_rate
No NI (ALNS-H1),CB1_CORE_M_CF3_R01,M,CF3,111,5,2.3296858453935756,3.0709495234733497,3.0,False,11969.0,0.8526944589975756,0.0038409660315206107,222.00514323700918,1.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,128,5,1.3316816351811707,2.248374109631465,1.0,False,16186.0,0.5250193699612282,0.0020508569139110477,256.0371336770477,1.0
Uniform full-bank selection,CB1_CORE_M_CF3_R02,M,CF3,128,5,2.384639207184887,2.198823165066584,2.0,True,18037.0,0.46630801600076666,0.0018215156875029948,256.0068924469997,1.0
No NI (ALNS-H1),CB1_CORE_M_CF3_R02,M,CF3,128,5,4.118922266955714,4.465778878909879,3.0,False,10836.0,0.9845283720060252,0.003845813953148536,256.0055054810073,1.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,62,5,1.8803418803418803,2.4045584045584047,1.0,True,15236.0,47.767325510969386,0.38522036702394663,124.02194570301799,1.0
Uniform full-bank selection,CB1_CORE_S_CF1_R01,S,CF1,62,5,2.849002849002849,2.6552706552706553,2.0,False,18330.0,96.84339146800085,0.7809950924838778,124.01476118399842,1.0
No NI (ALNS-H1),CB1_CORE_S_CF1_R01,S,CF1,62,5,3.0199430199430197,3.7037037037037037,3.0,False,16240.0,37.04313958398416,0.2987349966450335,124.0047318849829,1.0
CSG-NI Full,CB1_CORE_S_CF1_R02,S,CF1,65,5,2.757964812173086,3.1003328578221585,1.0,False,16250.0,48.09526766499039,0.369963597423003,130.03201840701513,1.0
Uniform full-bank selection,CB1_CORE_S_CF1_R02,S,CF1,65,5,3.6138849262957677,3.0813124108416545,3.0,True,18314.0,113.52516776599987,0.8732705212769221,130.0018462930002,1.0
No NI (ALNS-H1),CB1_CORE_S_CF1_R02,S,CF1,65,5,3.566333808844508,3.8801711840228243,2.0,False,15562.0,57.202934417990036,0.4400225724460772,130.00309163398924,1.0
CSG-NI Full,CB1_CORE_S_CF2_R01,S,CF2,64,5,2.763018065887354,2.210414452709883,2.0,True,16042.0,0.02888359600910917,0.00022565309382116538,128.03299506596522,1.0
Uniform full-bank selection,CB1_CORE_S_CF2_R01,S,CF2,64,5,2.763018065887354,2.476089266737514,2.0,False,18402.0,0.026125734999368433,0.00020410730468256588,128.0056198630009,1.0
No NI (ALNS-H1),CB1_CORE_S_CF2_R01,S,CF2,64,5,2.763018065887354,2.3804463336875665,2.0,False,17716.0,0.078413395996904,0.0006126046562258125,128.00368967099348,1.0
CSG-NI Full,CB1_CORE_S_CF2_R02,S,CF2,63,5,4.429195258889582,3.5433562071116653,2.0,True,16047.0,0.03509381500771269,0.0002785223413310531,126.00468759902287,1.0
Uniform full-bank selection,CB1_CORE_S_CF2_R02,S,CF2,63,5,4.429195258889582,3.8427947598253267,2.0,False,18246.0,0.03194368600088637,0.00025352131746735214,126.00159670499852,1.0
No NI (ALNS-H1),CB1_CORE_S_CF2_R02,S,CF2,63,5,4.429195258889582,4.416718652526513,2.0,False,18001.0,0.10618137402343564,0.0008427093176463146,126.00451623901608,1.0
CSG-NI Full,CB1_CORE_S_CF3_R01,S,CF3,65,5,3.352675693101225,3.2624113475177303,2.0,True,16218.0,0.8282257490209304,0.006370967300161003,130.02454158803448,1.0
Uniform full-bank selection,CB1_CORE_S_CF3_R01,S,CF3,65,5,1.9987105093488071,2.6434558349451964,1.0,False,18219.0,0.4903240249986993,0.003771723269220764,130.00247904099888,1.0
No NI (ALNS-H1),CB1_CORE_S_CF3_R01,S,CF3,65,5,3.481624758220503,3.7653127014829146,3.0,False,15364.0,0.1756880310131237,0.0013514463924086438,130.00269924098393,1.0
CSG-NI Full,CB1_CORE_S_CF3_R02,S,CF3,57,5,1.4459224985540775,1.6888374783111622,2.0,False,15530.0,39.428142499993555,0.3458608991227505,114.01591068104608,1.0
Uniform full-bank selection,CB1_CORE_S_CF3_R02,S,CF3,57,5,1.3302486986697513,1.8045112781954884,1.0,False,17706.0,45.485825746000046,0.39899847145614076,114.01570942699982,1.0
No NI (ALNS-H1),CB1_CORE_S_CF3_R02,S,CF3,57,5,2.7183342972816655,2.891844997108155,3.0,True,17104.0,58.837361582001904,0.5161172068596658,114.00494713700027,1.0
