arm,instance_id,scale,CF_level,seed,operation_count,best_makespan,runtime_seconds,time_limit_seconds,best_found_time_seconds,decoder_evaluations,iterations,feasible,replay_feasible,result_path,result_sha256,pooled_best_makespan,rpd_percent
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530102,181,4684.0,362.0106482980191,362.0,245.96438813902205,15806,1976,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530102.json,361f25be209bdffc2a77d3d5de928ac1b67c9ff01ad18ab9798461e640ef11d2,4673.0,0.23539482131393108
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530103,181,4696.0,362.01341316703474,362.0,274.0401646840037,15771,1972,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530103.json,701489ec27d1d31cfa9211e028411d35aec7b6c158f1ec7ccc3c0ea89b99e023,4673.0,0.4921891718382196
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530104,181,4673.0,362.0068903149804,362.0,300.8550176289864,16976,2122,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530104.json,ff2826b67856549c9e52e7555e2a67bc2f5f20d319bc17c2b1a0c3b2f0a93ed3,4673.0,0.0
CSG-NI Full,CB1_CORE_L_CF1_R02,L,CF1,530105,181,4700.0,362.0308109999751,362.0,187.4157354759518,16970,2122,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530105.json,230df68d029e04f3ced77595069a3ad0bb87caebc7e556e7fe4906de6c2c1fc7,4673.0,0.577787288679649
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530101,181,4702.0,362.0028037719994,362.0,326.5622524499995,16627,2079,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R02/seed_530101.json,5d5fc98cb67324cc6f6c45f928d7adf2a72db856f0ed27cd6c1113c2b6e10180,4673.0,0.6205863471003638
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530102,181,4720.0,362.0074461050008,362.0,252.04170838900063,16332,2042,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R02/seed_530102.json,1729867e17177308bc0310f79c799befb5b950b12b3f1053e3f996fb8e4d2fc3,4673.0,1.0057778728867965
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530103,181,4694.0,362.0446342290006,362.0,276.68720757900064,16378,2048,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R02/seed_530103.json,80947bc47a6966834e4f73a0d88a0d4216f5976edb9a565381beadc9ad79fce6,4673.0,0.4493901134175048
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530104,181,4707.0,362.00067268599923,362.0,221.30418029700013,16682,2086,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R02/seed_530104.json,0ebe87ad8fb59ff716335a7e643eb3c861cff33c6957a6cbad7c37fb60c1a0af,4673.0,0.7275839931521506
Uniform full-bank selection,CB1_CORE_L_CF1_R02,L,CF1,530105,181,4678.0,362.01986581299934,362.0,355.9511989420007,16666,2084,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF1_R02/seed_530105.json,ce747ae086e668123ab6a35a4c3cc04e18c373a53f5a133f39e2e41ced078dd8,4673.0,0.10699764605178685
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,530101,181,4813.0,362.03799342899583,362.0,223.19043334099115,8736,1092,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF1_R02/seed_530101.json,d880869b1287c282535c5647fd4b9f55275e5b47b01c168a22a0222a2524cc05,4673.0,2.995934089450032
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,530102,181,4907.0,362.00542411598144,362.0,318.1755142019829,8422,1053,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF1_R02/seed_530102.json,3b425b2d9aa6bbd9317f33c2ac6f4f1f32174b4295ece901286896ae710bca20,4673.0,5.007489835223625
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,530103,181,4859.0,362.01607401901856,362.0,288.1111787830014,8587,1074,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF1_R02/seed_530103.json,9b260417febe712a07b7ad9ecb31cf777071c278cc0d81ed2c216c0abf411cd5,4673.0,3.980312433126471
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,530104,181,4817.0,362.0288032749959,362.0,167.83246144099394,8377,1047,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF1_R02/seed_530104.json,062beb306eaec130f78c48f811c9cec1949a112b32ac7a0c236a35c2e1070b4b,4673.0,3.0815322062914614
No NI (ALNS-H1),CB1_CORE_L_CF1_R02,L,CF1,530105,181,4880.0,362.0373813920014,362.0,217.79936861799797,8193,1024,True,True,paper_experiments/ablation/raw_results/no_ni_alns_h1_equivalence/runs/CB1_CORE_L_CF1_R02/seed_530105.json,0bb2379aa55e63257a8013424eb0e0838ef1e3a73883ff9200c369aa72128f32,4673.0,4.429702546543976
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530101,195,4636.0,390.0454957030015,390.0,97.16738761402667,15298,1913,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530101.json,f06f5894aae221e157d19a9708b24aaf001ada7a7fee648e2b82ed38531e8a89,4538.0,2.1595416483032173
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530102,195,4671.0,390.02700110001024,390.0,2.6512203760212287,15450,1932,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530102.json,fa372ea4b6757ec6f237ca67872c5589cd495df001470af3ec4bcd8c49bfef76,4538.0,2.9308065226972233
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530103,195,4538.0,390.06240597198484,390.0,96.35226519400021,15466,1934,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530103.json,64df83d0e3ac4ab3058759010ccf39e64c78b3c82294206991c6744343e9ed20,4538.0,0.0
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530104,195,4729.0,390.05384070199216,390.0,55.012423362990376,15442,1931,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530104.json,f91e420522a8bbe37e122b0129f660af367461a98e3c2aa3e33851dbb9c3a2da,4538.0,4.208902600264434
CSG-NI Full,CB1_CORE_L_CF2_R01,L,CF2,530105,195,4593.0,390.0062703859876,390.0,202.23661771503976,15494,1937,True,True,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF2_R01/seed_530105.json,1b30bcd4831a0fb332ee351deadf59532c3ce365a1397d443ca7b97da2c60d69,4538.0,1.2119876597620096
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530101,195,4717.0,390.0032447630001,390.0,152.3477383169993,16458,2058,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R01/seed_530101.json,36b8a2e0928b339537dc1efcb3653c2a13c8730514bd69d582935d7efc622357,4538.0,3.9444689290436314
Uniform full-bank selection,CB1_CORE_L_CF2_R01,L,CF2,530102,195,4597.0,390.01826107799934,390.0,128.3868437580004,16458,2058,True,True,paper_experiments/ablation/raw_results/random_full_bank_frozen_gate/runs/CB1_CORE_L_CF2_R01/seed_530102.json,30b9d2e25adb6e8990f62a71365b54607ccd538d096f0ad4a735c8fee8d220fb,4538.0,1.3001322168356104
