arm,instance_id,scale,CF_level,seed,eligible_decisions,interventions,intervention_coverage,median_unique_bank_size,median_duplicate_rule_count,median_ni_overhead_ms_per_eligible_decision,cumulative_ni_overhead_fraction,median_uniform_rebuild_ms
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530103,2082,68,0.03266090297790586,24.0,0.0,45.599464006954804,0.43125197729245757,0.0
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530104,2067,86,0.04160619254958878,24.0,0.0,47.448055003769696,0.4371337424096515,0.0
CSG-NI Full,CB1_CORE_M_CF2_R01,M,CF2,530105,2050,570,0.2780487804878049,24.0,0.0,48.94211396458559,0.44330791139079473,0.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530101,2017,74,0.03668815071888944,24.0,0.0,49.718466005288064,0.47480776509844846,0.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530102,2079,68,0.03270803270803271,24.0,0.0,47.722623974550515,0.4684780172562424,0.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530103,2073,119,0.05740472744814279,24.0,0.0,47.62076702900231,0.46375434735784293,0.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530104,2085,45,0.02158273381294964,24.0,0.0,48.349459015298635,0.4708520247790329,0.0
CSG-NI Full,CB1_CORE_M_CF2_R02,M,CF2,530105,2057,43,0.020904229460379193,24.0,0.0,47.278092009946704,0.4653017926388333,0.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,530101,2018,354,0.17542120911793854,24.0,0.0,47.92185148107819,0.47600952247849143,0.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,530102,2064,190,0.09205426356589147,24.0,0.0,45.60966001008637,0.4751540436810639,0.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,530103,2067,76,0.036768263183357526,24.0,0.0,46.30891402484849,0.4788082739703277,0.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,530104,2045,115,0.05623471882640587,24.0,0.0,46.45753698423505,0.47297629281810655,0.0
CSG-NI Full,CB1_CORE_M_CF3_R01,M,CF3,530105,2020,276,0.13663366336633664,24.0,0.0,47.12172949803062,0.4754410508743739,0.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,530101,2024,281,0.13883399209486166,24.0,0.0,47.84036200726405,0.43083697575340546,0.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,530102,2030,1036,0.5103448275862069,24.0,0.0,49.28183299489319,0.43776511217781183,0.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,530103,2024,502,0.24802371541501977,24.0,0.0,49.94024452753365,0.44045391520511906,0.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,530104,2017,592,0.2935052057511155,24.0,0.0,50.22933200234547,0.4409277081042657,0.0
CSG-NI Full,CB1_CORE_M_CF3_R02,M,CF3,530105,2009,305,0.15181682429069188,24.0,0.0,49.18576800264418,0.4468488044179538,0.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,530101,1963,78,0.039735099337748346,23.0,1.0,37.75877901352942,0.6299952486264131,0.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,530102,1965,30,0.015267175572519083,23.0,1.0,38.36499201133847,0.635618759302648,0.0
CSG-NI Full,CB1_CORE_S_CF1_R01,S,CF1,530103,1905,176,0.09238845144356955,23.0,1.0,39.455584017559886,0.6386527234376878,0.0
