instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_L_63005,63005,L,phase5a_development,L,510101,2810.0,2775.0,2702.0,3031.0,2787.0,2976.0,2787.0,3226.0,True
synthetic_L_63006,63006,L,phase5a_development,L,510101,4720.0,4009.0,4170.0,4456.0,4278.0,4538.0,4572.0,4538.0,True
synthetic_L_63007,63007,L,phase5a_development,L,510101,3413.0,2825.0,2821.0,3144.0,2931.0,3006.0,3297.0,3168.0,True
synthetic_L_63008,63008,L,phase5a_development,L,510101,3067.0,1878.0,2211.0,2653.0,2499.0,2637.0,2499.0,2452.0,True
synthetic_L_63009,63009,L,phase5a_development,L,510101,5301.0,4602.0,4596.0,5852.0,4449.0,5802.0,5210.0,4493.0,True
synthetic_L_63010,63010,L,phase5a_development,L,510101,5107.0,4946.0,5031.0,4518.0,4417.0,4913.0,4841.0,4944.0,True
synthetic_M_64001,64001,M,phase5a_structural,high_reconfiguration,510101,1245.0,1305.0,1180.0,1391.0,1180.0,1444.0,1227.0,1391.0,True
synthetic_M_64002,64002,M,phase5a_structural,high_reconfiguration,510101,946.0,973.0,952.0,962.0,841.0,994.0,841.0,949.0,True
synthetic_M_64003,64003,M,phase5a_structural,high_reconfiguration,510101,923.0,920.0,923.0,920.0,923.0,920.0,923.0,920.0,True
synthetic_M_64001,64001,M,phase5a_structural,fleet_scarcity,510101,3495.0,3441.0,3462.0,3472.0,3495.0,3441.0,3495.0,3441.0,True
synthetic_M_64002,64002,M,phase5a_structural,fleet_scarcity,510101,2330.0,2321.0,2313.0,2338.0,2330.0,2321.0,2330.0,2321.0,True
synthetic_M_64003,64003,M,phase5a_structural,fleet_scarcity,510101,1595.0,1578.0,1595.0,1578.0,1595.0,1578.0,1595.0,1578.0,True
synthetic_M_64001,64001,M,phase5a_structural,high_travel,510101,2110.0,2104.0,2077.0,2125.0,2112.0,2095.0,2105.0,2107.0,True
synthetic_M_64002,64002,M,phase5a_structural,high_travel,510101,1348.0,1393.0,1408.0,1536.0,1298.0,1372.0,1439.0,1231.0,True
synthetic_M_64003,64003,M,phase5a_structural,high_travel,510101,1645.0,1622.0,1645.0,1628.0,1645.0,1628.0,1645.0,1628.0,True
synthetic_S_71001,71001,S,phase5b_holdout,S,510101,224.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,True
synthetic_S_71002,71002,S,phase5b_holdout,S,510101,784.0,784.0,785.0,795.0,784.0,784.0,784.0,784.0,True
synthetic_S_71003,71003,S,phase5b_holdout,S,510101,309.0,243.0,309.0,228.0,309.0,238.0,309.0,238.0,True
synthetic_S_71004,71004,S,phase5b_holdout,S,510101,332.0,307.0,349.0,332.0,349.0,332.0,332.0,315.0,True
synthetic_S_71005,71005,S,phase5b_holdout,S,510101,192.0,190.0,193.0,213.0,189.0,205.0,189.0,205.0,True
synthetic_S_71006,71006,S,phase5b_holdout,S,510101,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,True
synthetic_S_71007,71007,S,phase5b_holdout,S,510101,266.0,260.0,265.0,255.0,266.0,260.0,266.0,260.0,True
synthetic_S_71008,71008,S,phase5b_holdout,S,510101,546.0,545.0,549.0,549.0,549.0,545.0,546.0,545.0,True
synthetic_S_71009,71009,S,phase5b_holdout,S,510101,426.0,419.0,402.0,427.0,402.0,427.0,416.0,425.0,True
synthetic_S_71010,71010,S,phase5b_holdout,S,510101,289.0,299.0,276.0,302.0,276.0,302.0,293.0,305.0,True
synthetic_S_71011,71011,S,phase5b_holdout,S,510101,334.0,311.0,310.0,317.0,319.0,311.0,329.0,311.0,True
synthetic_S_71012,71012,S,phase5b_holdout,S,510101,536.0,540.0,534.0,543.0,536.0,540.0,536.0,540.0,True
synthetic_S_71013,71013,S,phase5b_holdout,S,510101,435.0,428.0,435.0,428.0,435.0,428.0,435.0,428.0,True
synthetic_S_71014,71014,S,phase5b_holdout,S,510101,212.0,217.0,203.0,217.0,203.0,208.0,203.0,208.0,True
synthetic_S_71015,71015,S,phase5b_holdout,S,510101,394.0,352.0,365.0,379.0,352.0,393.0,352.0,393.0,True
synthetic_S_71016,71016,S,phase5b_holdout,S,510101,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,True
synthetic_S_71017,71017,S,phase5b_holdout,S,510101,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,True
synthetic_S_71018,71018,S,phase5b_holdout,S,510101,475.0,573.0,434.0,538.0,463.0,538.0,477.0,573.0,True
synthetic_S_71019,71019,S,phase5b_holdout,S,510101,566.0,575.0,566.0,575.0,566.0,575.0,566.0,575.0,True
synthetic_S_71020,71020,S,phase5b_holdout,S,510101,426.0,415.0,426.0,451.0,426.0,422.0,426.0,422.0,True
synthetic_M_72001,72001,M,phase5b_holdout,M,510101,1249.0,841.0,1126.0,750.0,1170.0,697.0,1132.0,841.0,True
synthetic_M_72002,72002,M,phase5b_holdout,M,510101,1162.0,1096.0,1159.0,1267.0,1128.0,1267.0,1111.0,1092.0,True
synthetic_M_72003,72003,M,phase5b_holdout,M,510101,952.0,899.0,893.0,977.0,893.0,973.0,884.0,899.0,True
synthetic_M_72004,72004,M,phase5b_holdout,M,510101,1616.0,1584.0,1562.0,1629.0,1616.0,1584.0,1616.0,1584.0,True
synthetic_M_72005,72005,M,phase5b_holdout,M,510101,723.0,737.0,747.0,790.0,724.0,737.0,724.0,737.0,True
