dimension,group,utility,states,informative_states,informative_state_rate,positive_best_states,positive_best_state_rate,valid_spearman_states,mean_spearman_valid_states,top1_rank_informative_denominator,mean_top1_realized_rank_informative,mean_top1_normalized_rank_informative,positive_best_metric_denominator,mean_top1_regret_positive_best,hit_at_1_positive_best,hit_at_5_positive_best,hit_at_10_positive_best,ndcg_denominator,mean_ndcg_defined,mean_top1_utility_gap_positive_best,mean_top5_utility_gap_positive_best,mean_top10_utility_gap_positive_best
scale_stage,M|MIDDLE,U2_COST_NORMALIZED,3,2,0.6666666666666666,2,0.6666666666666666,2,0.07756444858880804,2,2.0,0.002785515320334262,2,52.337255743755655,0.0,0.0,0.0,2,0.3790972869089485,52.337255743755655,52.337255743755655,52.337255743755655
scale_stage,M|MIDDLE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.4210821550497858,3,124.66666666666667,0.3472294351856224,0,,,,,0,,,,
scale_stage,S|EARLY,U0_IMMEDIATE,3,2,0.6666666666666666,2,0.6666666666666666,2,0.08228302815549694,2,2.5,0.00423728813559322,2,19.5,0.0,0.0,0.0,2,0.24866532583906426,19.5,19.5,19.5
scale_stage,S|EARLY,U1_SHORT_HORIZON,3,3,1.0,3,1.0,3,0.03939365075319483,3,3.6666666666666665,0.007574621268936553,3,22.333333333333332,0.0,0.0,0.0,3,0.209144579862094,22.333333333333332,22.333333333333332,22.333333333333332
scale_stage,S|EARLY,U2_COST_NORMALIZED,3,3,1.0,3,1.0,3,0.03941925311201774,3,3.6666666666666665,0.007574621268936553,3,440.4239103280743,0.0,0.0,0.0,3,0.20983108174766285,440.4239103280743,440.4239103280743,440.4239103280743
scale_stage,S|EARLY,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.5835135750363573,3,8.666666666666666,0.021698915054247286,0,,,,,0,,,,
scale_stage,S|LATE,U0_IMMEDIATE,3,1,0.3333333333333333,1,0.3333333333333333,1,0.036823130810770696,1,2.0,0.002824858757062147,1,4.0,0.0,0.0,0.0,1,0.14804095548293264,4.0,4.0,4.0
scale_stage,S|LATE,U1_SHORT_HORIZON,3,1,0.3333333333333333,1,0.3333333333333333,1,0.036823130810770696,1,2.0,0.002824858757062147,1,4.0,0.0,0.0,0.0,1,0.14804095548293264,4.0,4.0,4.0
scale_stage,S|LATE,U2_COST_NORMALIZED,3,1,0.3333333333333333,1,0.3333333333333333,1,0.036823130810770696,1,2.0,0.002824858757062147,1,65.12466324964345,0.0,0.0,0.0,1,0.14804095548293264,65.12466324964345,65.12466324964345,65.12466324964345
scale_stage,S|LATE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.5503183254841784,3,6.0,0.01418067819163932,0,,,,,0,,,,
scale_stage,S|MIDDLE,U0_IMMEDIATE,3,1,0.3333333333333333,1,0.3333333333333333,1,0.03488612132389996,1,3.0,0.005813953488372093,1,4.0,0.0,0.0,0.0,1,0.17564023463581813,4.0,4.0,4.0
scale_stage,S|MIDDLE,U1_SHORT_HORIZON,3,1,0.3333333333333333,1,0.3333333333333333,1,0.03488612132389996,1,3.0,0.005813953488372093,1,4.0,0.0,0.0,0.0,1,0.17564023463581813,4.0,4.0,4.0
scale_stage,S|MIDDLE,U2_COST_NORMALIZED,3,1,0.3333333333333333,1,0.3333333333333333,1,0.0348426373071977,1,3.0,0.005813953488372093,1,74.92301869526389,0.0,0.0,0.0,1,0.17559968645556195,74.92301869526389,74.92301869526389,74.92301869526389
scale_stage,S|MIDDLE,U3_STOCHASTIC_ROBUSTNESS,3,3,1.0,0,0.0,3,0.5037407165832398,3,72.0,0.20562891429071958,0,,,,,0,,,,
