scale,algorithm,instances,mean_makespan,mean_improvement_over_h1_percent,best_improvement_over_h1_percent,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent,feasibility_rate,mean_runtime
L,ALNS-H1,15,4271.033333333334,5.8688342539414595,8.768543664363024,30.843461088878893,33.034259877003166,1.0,358.15454788778055
L,Adapted DCGA,15,5411.166666666667,-19.969689379929683,-17.818695363684025,12.285082257495185,13.86335494604329,1.0,363.43174210211845
L,GA,15,4818.293333333333,-6.272973459599341,-1.0326091812979747,22.139530674048626,25.82893265402854,1.0,358.1539255374333
M,ALNS-H1,15,3058.233333333333,5.14473536469197,7.909940869183923,23.497529112671376,25.805509840498086,1.0,235.3431835310984
M,Adapted DCGA,15,3510.0733333333333,-8.966562475496879,-6.9346327749166905,12.085938731645191,13.789738334126325,1.0,254.48848966976627
M,GA,15,3143.1200000000003,2.5200301733209307,8.37933620685616,21.43120606243323,26.078080785657235,1.0,235.34405141455258
S,ALNS-H1,15,1769.9199999999998,3.9767042378955284,6.926060837965006,28.575859105152958,30.821599774584833,1.0,121.60378346010654
S,Adapted DCGA,15,1904.8133333333333,-3.557365684215526,-1.350904971459598,22.90065291413954,24.554082883537237,1.0,129.86208608493908
S,GA,15,1729.7066666666665,6.128583954563188,10.27350288073521,30.193216434094424,33.28686870363127,1.0,121.60382223730731
