instance_id,scale,CF_level,algorithm,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent
CB1_CORE_M_CF2_R03,M,CF2,GA,11.532930687374174,15.300546448087431
CB1_CORE_M_CF2_R04,M,CF2,ALNS-H1,16.415630550621678,18.68561278863233
CB1_CORE_M_CF2_R04,M,CF2,Adapted DCGA,4.119893428063952,7.069271758436949
CB1_CORE_M_CF2_R04,M,CF2,GA,18.240674955595036,21.74955595026643
CB1_CORE_M_CF2_R05,M,CF2,ALNS-H1,29.451118624559385,32.79620171210704
CB1_CORE_M_CF2_R05,M,CF2,Adapted DCGA,23.097618876339833,24.46586576505288
CB1_CORE_M_CF2_R05,M,CF2,GA,28.242572476800234,31.652399107977846
CB1_CORE_M_CF3_R01,M,CF3,ALNS-H1,17.028490028490026,18.803418803418804
CB1_CORE_M_CF3_R01,M,CF3,Adapted DCGA,3.888888888888889,5.612535612535613
CB1_CORE_M_CF3_R01,M,CF3,GA,18.86324786324786,23.903133903133902
CB1_CORE_M_CF3_R02,M,CF3,ALNS-H1,25.611168107870448,27.82500366407739
CB1_CORE_M_CF3_R02,M,CF3,Adapted DCGA,10.86179100102595,11.578484537593441
CB1_CORE_M_CF3_R02,M,CF3,GA,22.649860765059362,28.506522057745865
CB1_CORE_M_CF3_R03,M,CF3,ALNS-H1,46.206017956806605,47.05775297257947
CB1_CORE_M_CF3_R03,M,CF3,Adapted DCGA,37.210021839359385,37.867022567338026
CB1_CORE_M_CF3_R03,M,CF3,GA,44.158578015044895,47.96772628002912
CB1_CORE_M_CF3_R04,M,CF3,ALNS-H1,13.743037504641665,16.617155588562937
CB1_CORE_M_CF3_R04,M,CF3,Adapted DCGA,-0.8949127367248515,2.0516152989231298
CB1_CORE_M_CF3_R04,M,CF3,GA,8.412551058299293,15.196806535462306
CB1_CORE_M_CF3_R05,M,CF3,ALNS-H1,45.86771987738741,45.86771987738741
CB1_CORE_M_CF3_R05,M,CF3,Adapted DCGA,38.81867484083943,39.377505305352514
