instance_id,scale,CF_level,algorithm,best,mean,median,standard_deviation,worst,runtime,time_to_best,decoder_evaluations,feasibility_rate,time_limit,h1_makespan,ppo_mean_makespan,mean_improvement_over_h1_percent,mean_improvement_over_ppo_percent,best_improvement_over_h1_percent,best_improvement_over_ppo_percent
CB1_CORE_L_CF1_R01,L,CF1,ALNS-H1,4762.0,4922.2,4901.0,149.21334465195218,5298.0,380.0299888184003,277.49117246320236,8230.8,1.0,380.0,5621.0,6640.666666666667,12.431951610033805,25.877923903222573,15.281978295676925,28.290332295954222
CB1_CORE_L_CF1_R01,L,CF1,Adapted DCGA,5811.0,5911.5,5917.5,51.989849436639474,5986.0,380.121773757998,268.0536768334947,2516.8,1.0,380.0,5621.0,6640.666666666667,-5.168119551681196,10.9803232607168,-3.380181462373243,12.493725529565308
CB1_CORE_L_CF1_R01,L,CF1,GA,5400.0,5510.5,5467.5,111.71118515569026,5753.0,380.02782305569855,348.5621760353039,8792.7,1.0,380.0,5621.0,6640.666666666667,1.965842376801281,17.01887360706757,3.931684753602562,18.682863166348763
CB1_CORE_L_CF1_R02,L,CF1,ALNS-H1,4750.0,4840.8,4832.5,50.950520660299084,4915.0,362.02470977859923,259.77724079919574,8732.7,1.0,362.0,5736.0,7281.666666666667,15.606694560669453,33.52071412222477,17.18967921896792,34.7676813916228
CB1_CORE_L_CF1_R02,L,CF1,Adapted DCGA,5896.0,5969.7,5969.5,40.088928923360164,6025.0,362.18000914840087,277.99574400180427,2716.4,1.0,362.0,5736.0,7281.666666666667,-4.074267782426775,18.01739528496224,-2.789400278940028,19.02952620737011
CB1_CORE_L_CF1_R02,L,CF1,GA,5387.0,5559.9,5484.5,194.01972981002618,6007.0,362.02310070859966,348.67402295449864,8593.4,1.0,362.0,5736.0,7281.666666666667,3.0700836820083746,23.645227740901817,6.0843793584379355,26.01968413824674
CB1_CORE_L_CF1_R03,L,CF1,ALNS-H1,4088.0,4152.8,4128.5,61.560810044486566,4267.0,346.0179040580027,242.25853934210028,8799.5,1.0,346.0,4687.0,5480.333333333333,11.397482398122463,24.22358737303083,12.780029869852784,25.40599720211666
CB1_CORE_L_CF1_R03,L,CF1,Adapted DCGA,5087.0,5166.7,5166.5,60.413482674721564,5263.0,369.90126141730286,267.1038564449089,3038.6,1.0,346.0,4687.0,5480.333333333333,-10.234691700448044,5.722887902195728,-8.534243652656283,7.177179003710231
CB1_CORE_L_CF1_R03,L,CF1,GA,4581.0,4800.6,4758.5,189.6629759453449,5121.0,346.0214420199976,307.2057019592059,9134.1,1.0,346.0,4687.0,5480.333333333333,-2.423725197354392,12.40313849522534,2.261574567953915,16.4101940271273
CB1_CORE_L_CF1_R04,L,CF1,ALNS-H1,3925.0,4094.8,4093.0,105.81199259903279,4289.0,344.0258392132964,244.35016560560035,8965.8,1.0,344.0,4309.0,5539.333333333333,4.970990949176139,26.077747021302194,8.911580413088883,29.14309784570947
CB1_CORE_L_CF1_R04,L,CF1,Adapted DCGA,4773.0,4871.5,4883.5,51.37065742663275,4930.0,356.1873316551995,232.04688755320095,2890.4,1.0,344.0,4309.0,5539.333333333333,-13.05407287073567,12.056204116018769,-10.768159665815734,13.83439643759778
CB1_CORE_L_CF1_R04,L,CF1,GA,4011.0,4144.7,4106.5,118.88000486017641,4363.0,344.02128488739544,281.77546834529784,9157.3,1.0,344.0,4309.0,5539.333333333333,3.812949640287774,25.176916596461666,6.915757716407519,27.590564448188708
CB1_CORE_L_CF1_R05,L,CF1,ALNS-H1,4023.0,4155.0,4133.0,137.46999672655852,4415.0,342.0198047509999,242.97063295679692,9023.0,1.0,342.0,4935.0,6011.333333333333,15.80547112462006,30.880558944216478,18.480243161094226,33.07641122324498
CB1_CORE_L_CF1_R05,L,CF1,Adapted DCGA,5334.0,5422.0,5421.5,58.29808458831797,5492.0,342.1043661187956,259.5851255476009,2772.4,1.0,342.0,4935.0,6011.333333333333,-9.868287740628165,9.803704114450477,-8.085106382978724,11.267605633802813
CB1_CORE_L_CF1_R05,L,CF1,GA,4554.0,4795.0,4774.0,170.54943890588166,5111.0,342.0222527356003,335.3400572853076,9299.0,1.0,342.0,4935.0,6011.333333333333,2.8368794326241136,20.234002439835862,7.720364741641338,24.24309637351669
CB1_CORE_L_CF2_R01,L,CF2,ALNS-H1,4632.0,4801.6,4793.0,101.86505234322954,4972.0,390.02376233710675,255.52790295530576,7879.5,1.0,390.0,5018.0,5990.666666666667,4.312475089677155,19.848653460939236,7.6923076923076925,22.679724015134656
CB1_CORE_L_CF2_R01,L,CF2,Adapted DCGA,5889.0,5938.2,5941.5,32.53989004966738,5998.0,390.19446527239927,277.05164297209706,2592.2,1.0,390.0,5018.0,5990.666666666667,-18.33798326026305,0.8758068105942658,-17.357512953367877,1.6970843534386875
