instance_id,algorithm,seed,makespan,runtime,time_limit,time_to_best,decoder_evaluations,feasible,suite,freeze_hash,result_path,scale,CF_level,number_of_operations,runtime_ratio
CB1_CORE_L_CF1_R02,Adapted DCGA,530108,6025.0,362.18223494500853,362.0,183.1051404820173,2658,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R02/seed_530108.json,L,CF1,181,1.0005034114502998
CB1_CORE_L_CF1_R02,Adapted DCGA,530109,5954.0,362.0664654709981,362.0,233.45933319200412,2946,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R02/seed_530109.json,L,CF1,181,1.0001836062734755
CB1_CORE_L_CF1_R02,Adapted DCGA,530110,5953.0,362.116141845996,362.0,352.0929298209958,2594,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R02/seed_530110.json,L,CF1,181,1.0003208338287184
CB1_CORE_L_CF1_R03,Adapted DCGA,530101,5183.0,452.92204862099607,346.0,133.86549523600843,3994,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530101.json,L,CF1,173,1.3090232619103932
CB1_CORE_L_CF1_R03,Adapted DCGA,530102,5136.0,346.23125151201384,346.0,289.13507739501074,2964,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530102.json,L,CF1,173,1.0006683569711383
CB1_CORE_L_CF1_R03,Adapted DCGA,530103,5263.0,346.14581740499125,346.0,202.36771532299463,2804,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530103.json,L,CF1,173,1.00042143758668
CB1_CORE_L_CF1_R03,Adapted DCGA,530104,5192.0,346.10921501001576,346.0,339.4372728590097,2750,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530104.json,L,CF1,173,1.0003156503179647
CB1_CORE_L_CF1_R03,Adapted DCGA,530105,5092.0,346.0146886779985,346.0,305.1102050059999,2950,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530105.json,L,CF1,173,1.0000424528265852
CB1_CORE_L_CF1_R03,Adapted DCGA,530106,5245.0,346.0741618129832,346.0,258.1470981820021,2734,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530106.json,L,CF1,173,1.0002143404999515
CB1_CORE_L_CF1_R03,Adapted DCGA,530107,5087.0,477.1268335689965,346.0,263.00839430099586,3994,True,cb1_core,3d97e6a3f84d930213c424a633fa9e8192b16ec4eb9c2f169f65c0b48e691f0a,outputs/phase5c/search/cb1_core/formal/adapted_dcga/CB1_CORE_L_CF1_R03/seed_530107.json,L,CF1,173,1.3789792877716662
