algorithm,instances,mean_makespan,mean_improvement_over_h1_percent,best_improvement_over_h1_percent,mean_improvement_over_ppo_percent,best_improvement_over_ppo_percent,feasibility_rate,mean_runtime
ALNS-H1,45,3033.062222222222,4.996757952176319,7.868181790503984,27.638949768901078,29.887123164028694,1.0,238.36717162632848
GA,45,3230.373333333333,0.7918802227615929,5.873409968764464,24.587984390192094,28.39796071443902,1.0,238.36726639643106
Adapted DCGA,45,3608.684444444444,-10.831205846547363,-8.701411036686771,15.757224634426638,17.40239205456895,1.0,249.26077261894125
