instance_id,method,makespan,runtime_seconds,inference_seconds,feasible,suite,scale,CF_level,training_seed,gap_to_h1_percent
CB1_CORE_L_CF2_R03,BC,5801.0,14.802950246987166,4.9795278379751835,True,CORE,L,CF2,BC,35.15843429636533
CB1_CORE_L_CF2_R03,H1,4292.0,0.5856364360079169,0.5856364360079169,True,CORE,L,CF2,NA,0.0
CB1_CORE_L_CF2_R03,H2,5553.0,0.3699387570086401,0.3699387570086401,True,CORE,L,CF2,NA,29.380242311276795
CB1_CORE_L_CF2_R03,PPO,7066.0,23.63508304799325,14.399392527819145,True,CORE,L,CF2,520101,64.63187325256291
CB1_CORE_L_CF2_R03,PPO,7018.0,24.84446509301779,14.65996065584477,True,CORE,L,CF2,520102,63.513513513513516
CB1_CORE_L_CF2_R03,PPO,4593.0,24.814573915005894,14.795376636146102,True,CORE,L,CF2,520103,7.01304753028891
CB1_CORE_L_CF2_R04,BC,4044.0,12.423581611015834,4.345345986948814,True,CORE,L,CF2,BC,17.387518142235123
CB1_CORE_L_CF2_R04,H1,3445.0,0.5215608830039855,0.5215608830039855,True,CORE,L,CF2,NA,0.0
CB1_CORE_L_CF2_R04,H2,3683.0,0.3090192819945514,0.3090192819945514,True,CORE,L,CF2,NA,6.9085631349782295
CB1_CORE_L_CF2_R04,PPO,6438.0,20.054976535000606,12.59073403457296,True,CORE,L,CF2,520101,86.87953555878084
CB1_CORE_L_CF2_R04,PPO,5324.0,20.539008302002912,12.589421022799797,True,CORE,L,CF2,520102,54.542815674891145
CB1_CORE_L_CF2_R04,PPO,3878.0,20.642908049019752,12.62870782535174,True,CORE,L,CF2,520103,12.568940493468796
CB1_CORE_L_CF2_R05,BC,6437.0,13.837440401985077,4.928252715821145,True,CORE,L,CF2,BC,32.23089564502876
CB1_CORE_L_CF2_R05,H1,4868.0,0.5571219210105482,0.5571219210105482,True,CORE,L,CF2,NA,0.0
CB1_CORE_L_CF2_R05,H2,5414.0,0.3467219329904765,0.3467219329904765,True,CORE,L,CF2,NA,11.216105176663927
CB1_CORE_L_CF2_R05,PPO,6630.0,23.132193330995506,14.300988533592317,True,CORE,L,CF2,520101,36.19556285949055
CB1_CORE_L_CF2_R05,PPO,6402.0,23.13626252100221,14.059377660247264,True,CORE,L,CF2,520102,31.511914543960557
CB1_CORE_L_CF2_R05,PPO,7887.0,23.026083496020874,13.951687627268257,True,CORE,L,CF2,520103,62.01725554642564
CB1_CORE_L_CF3_R01,BC,6831.0,20.1915460669843,6.077423559385352,True,CORE,L,CF3,BC,33.83620689655172
CB1_CORE_L_CF3_R01,H1,5104.0,0.9090150060073938,0.9090150060073938,True,CORE,L,CF3,NA,0.0
CB1_CORE_L_CF3_R01,H2,6132.0,0.5252264599839691,0.5252264599839691,True,CORE,L,CF3,NA,20.141065830721004
CB1_CORE_L_CF3_R01,PPO,6075.0,30.705300948990043,17.488368808786618,True,CORE,L,CF3,520101,19.024294670846395
CB1_CORE_L_CF3_R01,PPO,6326.0,30.431725157017354,17.233851379802218,True,CORE,L,CF3,520102,23.942006269592476
CB1_CORE_L_CF3_R01,PPO,7902.0,28.800538870011223,16.03619634619099,True,CORE,L,CF3,520103,54.81974921630094
CB1_CORE_L_CF3_R02,BC,5780.0,15.836731791001512,4.9946495307958685,True,CORE,L,CF3,BC,51.86547556489753
CB1_CORE_L_CF3_R02,H1,3806.0,0.7399192879965995,0.7399192879965995,True,CORE,L,CF3,NA,0.0
CB1_CORE_L_CF3_R02,H2,5066.0,0.40246050999849103,0.40246050999849103,True,CORE,L,CF3,NA,33.105622700998424
CB1_CORE_L_CF3_R02,PPO,8164.0,23.727595069009112,13.966704977909103,True,CORE,L,CF3,520101,114.50341565948503
CB1_CORE_L_CF3_R02,PPO,7406.0,22.566566788998898,12.99533792224247,True,CORE,L,CF3,520102,94.58749343142406
CB1_CORE_L_CF3_R02,PPO,4743.0,21.947882470994955,12.330611749901436,True,CORE,L,CF3,520103,24.61902259590121
CB1_CORE_L_CF3_R03,BC,5669.0,16.479455894994317,5.269230922713177,True,CORE,L,CF3,BC,39.25325472856792
CB1_CORE_L_CF3_R03,H1,4071.0,0.7516182340041269,0.7516182340041269,True,CORE,L,CF3,NA,0.0
CB1_CORE_L_CF3_R03,H2,5142.0,0.44012132499483414,0.44012132499483414,True,CORE,L,CF3,NA,26.308032424465733
