dimension,group,states,spearman,pairwise_accuracy,ndcg_at_1,selected_lift,selection_regret,selector_lcb_lambda_0_5_max,selector_ece,selector_brier,selector_auroc,selector_auprc,selector_probability_mean,selector_probability_std,positive_outcome_rate
overall,all,288,0.17772278215124931,0.5631033499611713,0.6274661478531589,0.00751635417065437,0.03386557437290963,-0.012257233157073551,0.09080883777803844,0.2489202243003462,0.5782576687116564,0.6337913974631333,0.4764787512313988,0.06885132981606293,0.5659722222222222
scale,L,96,0.22204545396900074,0.5811417375405086,0.6577607867711082,0.010932916563227124,0.03000051805817937,-0.022903396412980066,0.127144372711579,0.23769314350928328,0.6341463414634145,0.6922897772265133,0.48852543098231155,0.07343806750007258,0.5729166666666666
scale,M,96,0.14566710725932475,0.5511528911500764,0.6506033075584995,0.007739436052496832,0.0323106912242427,-0.012257233157073551,0.10397840539614357,0.2503969140202573,0.534375,0.6145652971430191,0.48555231653153896,0.05642802595568794,0.5833333333333334
scale,S,96,0.16545578522542248,0.5570154211929289,0.5740343492298691,0.003876709896239153,0.03928551383630681,-0.020108025123083965,0.0902542608479659,0.2586706153714978,0.5148601398601398,0.5747885418304021,0.455358506180346,0.07050339105054693,0.5416666666666666
CF_level,CF1,96,0.18341005850508518,0.5660107417160901,0.5758637729082318,0.00032871125331995716,0.03634648094430546,-0.020108025123083965,0.07847427452603972,0.24361914201637802,0.625,0.6116635099083374,0.45332390380402404,0.06351045834964905,0.5
CF_level,CF2,96,0.1533625429311443,0.5535423849612193,0.6322560220856973,0.006084080128211,0.03358716379707814,-0.012257233157073551,0.06265541119500989,0.25751836701946657,0.5284411636995224,0.601408032566005,0.4940773675528665,0.07555291999915018,0.5104166666666666
CF_level,CF3,96,0.19639574501751852,0.5697569232062044,0.6742786485655475,0.01613627113043215,0.031663078377345284,-0.022903396412980066,0.20941111802433926,0.2456231638651939,0.6469696969696969,0.7827966011076579,0.48203498233730596,0.06002470201694344,0.6875
search_stage,0-20%,72,0.15725842820156066,0.5572744869015254,0.6257816461869223,0.0075715821297810924,0.034938414227184085,-0.012257233157073551,0.11261160568230683,0.24235074136344123,0.6404761904761904,0.7435101524770662,0.4776506173527903,0.06984628877172273,0.5833333333333334
search_stage,20-40%,36,0.15969689586087063,0.5546646325749263,0.5752898055268335,0.0035290389702238548,0.03793742651359086,-0.030218773937053148,0.06364294721020593,0.252768036027879,0.5727554179566564,0.5814185656216017,0.4641348305675719,0.07280063850263037,0.5277777777777778
search_stage,40-60%,72,0.2074667505707677,0.5745625589168789,0.597236481570276,0.007274413262718339,0.03625590939396543,-0.020108025123083965,0.09177961138387523,0.26012030994751634,0.4885916601101495,0.5603568177191194,0.4776648330605692,0.06989928378484123,0.5694444444444444
search_stage,60-80%,36,0.21866197057770984,0.5750528070620642,0.7155485651720731,0.015670422327982245,0.02675946246159483,-0.0330648130840641,0.16298394815789324,0.2523143891099304,0.5919732441471571,0.7567970610494549,0.4759049407309956,0.07129176863607335,0.6388888888888888
search_stage,80-100%,72,0.1569865166133787,0.5557176342077855,0.6414272783059839,0.005619690641014994,0.03191952938289615,-0.02203631601720098,0.07874859000245735,0.24066863332152233,0.6168730650154799,0.6393463759451026,0.4805796688629521,0.06253347516701807,0.5277777777777778
