curve_type,rank_variable,x,lower,upper,count,mean_probability,positive_rate,negative_outcome_rate,mean_advantage,mean_rank_statistic,coverage
reliability,selector_probability,0.0,0.0,0.1,0,,,,,,
reliability,selector_probability,1.0,0.1,0.2,1,0.18941281735897064,0.0,,,,
reliability,selector_probability,2.0,0.2,0.3,6,0.27741405616203946,0.5,,,,
reliability,selector_probability,3.0,0.3,0.4,38,0.3603504935377522,0.4473684210526316,,,,
reliability,selector_probability,4.0,0.4,0.5,97,0.46161868768868985,0.5154639175257731,,,,
reliability,selector_probability,5.0,0.5,0.6,146,0.5267236420553024,0.636986301369863,,,,
reliability,selector_probability,6.0,0.6,0.7,0,,,,,,
reliability,selector_probability,7.0,0.7,0.8,0,,,,,,
reliability,selector_probability,8.0,0.8,0.9,0,,,,,,
reliability,selector_probability,9.0,0.9,1.0,0,,,,,,
selective_coverage,selector_probability,0.05,,,15,0.5627049207687378,0.7333333333333333,0.26666666666666666,0.01750889904482795,0.5627049207687378,
selective_coverage,selector_probability,0.1,,,29,0.5538507103919983,0.6551724137931034,0.3448275862068966,0.014915785736135959,0.5538507103919983,
selective_coverage,selector_probability,0.15000000000000002,,,44,0.5477372407913208,0.6136363636363636,0.38636363636363635,0.009754629008967862,0.5477372407913208,
selective_coverage,selector_probability,0.2,,,58,0.5436416864395142,0.6206896551724138,0.3793103448275862,0.009789191546517065,0.5436416864395142,
selective_coverage,selector_probability,0.25,,,72,0.5404688715934753,0.6388888888888888,0.3611111111111111,0.009953970761318438,0.5404688715934753,
selective_coverage,selector_probability,0.3,,,87,0.5375423431396484,0.6091954022988506,0.39080459770114945,0.009849572684505634,0.5375423431396484,
selective_coverage,selector_probability,0.35000000000000003,,,101,0.5349658727645874,0.6138613861386139,0.38613861386138615,0.008829182547913669,0.5349658727645874,
selective_coverage,selector_probability,0.4,,,116,0.5321735739707947,0.6120689655172413,0.3879310344827586,0.008681516976692158,0.5321735739707947,
selective_coverage,selector_probability,0.45,,,130,0.529577910900116,0.6230769230769231,0.3769230769230769,0.01082371851304321,0.529577910900116,
selective_coverage,selector_probability,0.5,,,144,0.5270797610282898,0.6319444444444444,0.3680555555555556,0.01171703106615965,0.5270797610282898,
selective_coverage,selector_probability,0.55,,,159,0.524285614490509,0.6289308176100629,0.3710691823899371,0.01087637022957852,0.524285614490509,
selective_coverage,selector_probability,0.6000000000000001,,,173,0.5213199853897095,0.6242774566473989,0.37572254335260113,0.010050565998750094,0.5213199853897095,
selective_coverage,selector_probability,0.6500000000000001,,,188,0.5177304148674011,0.6117021276595744,0.3882978723404255,0.009786384818131197,0.5177304148674011,
selective_coverage,selector_probability,0.7000000000000001,,,202,0.5141873359680176,0.6138613861386139,0.38613861386138615,0.009965685687349762,0.5141873359680176,
selective_coverage,selector_probability,0.7500000000000001,,,217,0.5098890066146851,0.5990783410138248,0.4009216589861751,0.008947188864178172,0.5098890066146851,
selective_coverage,selector_probability,0.8,,,231,0.5054469108581543,0.5930735930735931,0.4069264069264069,0.008643344123981335,0.5054469108581543,
selective_coverage,selector_probability,0.8500000000000001,,,245,0.49987009167671204,0.5836734693877551,0.4163265306122449,0.008012754047318297,0.49987009167671204,
selective_coverage,selector_probability,0.9000000000000001,,,260,0.492879182100296,0.5846153846153846,0.4153846153846154,0.008229408095767351,0.492879182100296,
selective_coverage,selector_probability,0.9500000000000001,,,274,0.48577824234962463,0.5693430656934306,0.4306569343065693,0.007627713656110476,0.48577824234962463,
selective_coverage,selector_probability,1.0,,,288,0.47647878527641296,0.5659722222222222,0.4340277777777778,0.0075163541706543685,0.47647878527641296,
