scale,CF_level,RI_level,TI_level,search_stage,state_count
M,CF3,RI2,TI1,80-100%,40
M,CF3,RI2,TI2,0-20%,40
M,CF3,RI2,TI2,20-40%,40
M,CF3,RI2,TI2,40-60%,40
M,CF3,RI2,TI2,60-80%,40
M,CF3,RI2,TI2,80-100%,40
M,CF3,RI2,TI3,0-20%,40
M,CF3,RI2,TI3,20-40%,40
M,CF3,RI2,TI3,40-60%,40
M,CF3,RI2,TI3,60-80%,40
M,CF3,RI2,TI3,80-100%,40
M,CF3,RI3,TI1,0-20%,40
M,CF3,RI3,TI1,20-40%,40
M,CF3,RI3,TI1,40-60%,40
M,CF3,RI3,TI1,60-80%,40
M,CF3,RI3,TI1,80-100%,40
M,CF3,RI3,TI2,0-20%,40
M,CF3,RI3,TI2,20-40%,40
M,CF3,RI3,TI2,40-60%,40
M,CF3,RI3,TI2,60-80%,40
M,CF3,RI3,TI2,80-100%,40
M,CF3,RI3,TI3,0-20%,40
M,CF3,RI3,TI3,20-40%,40
M,CF3,RI3,TI3,40-60%,40
M,CF3,RI3,TI3,60-80%,40
M,CF3,RI3,TI3,80-100%,40
S,CF1,RI1,TI1,0-20%,40
S,CF1,RI1,TI1,20-40%,40
S,CF1,RI1,TI1,40-60%,40
S,CF1,RI1,TI1,60-80%,40
S,CF1,RI1,TI1,80-100%,40
S,CF1,RI1,TI2,0-20%,40
S,CF1,RI1,TI2,20-40%,40
S,CF1,RI1,TI2,40-60%,40
S,CF1,RI1,TI2,60-80%,40
S,CF1,RI1,TI2,80-100%,40
S,CF1,RI1,TI3,0-20%,40
S,CF1,RI1,TI3,20-40%,40
S,CF1,RI1,TI3,40-60%,40
S,CF1,RI1,TI3,60-80%,40
S,CF1,RI1,TI3,80-100%,40
S,CF1,RI2,TI1,0-20%,40
S,CF1,RI2,TI1,20-40%,40
S,CF1,RI2,TI1,40-60%,40
S,CF1,RI2,TI1,60-80%,40
S,CF1,RI2,TI1,80-100%,40
S,CF1,RI2,TI2,0-20%,40
S,CF1,RI2,TI2,20-40%,40
S,CF1,RI2,TI2,40-60%,40
S,CF1,RI2,TI2,60-80%,40
S,CF1,RI2,TI2,80-100%,40
S,CF1,RI2,TI3,0-20%,40
S,CF1,RI2,TI3,20-40%,40
S,CF1,RI2,TI3,40-60%,40
S,CF1,RI2,TI3,60-80%,40
S,CF1,RI2,TI3,80-100%,40
S,CF1,RI3,TI1,0-20%,40
S,CF1,RI3,TI1,20-40%,40
S,CF1,RI3,TI1,40-60%,40
S,CF1,RI3,TI1,60-80%,40
S,CF1,RI3,TI1,80-100%,40
S,CF1,RI3,TI2,0-20%,40
S,CF1,RI3,TI2,20-40%,40
S,CF1,RI3,TI2,40-60%,40
S,CF1,RI3,TI2,60-80%,40
S,CF1,RI3,TI2,80-100%,40
S,CF1,RI3,TI3,0-20%,40
S,CF1,RI3,TI3,20-40%,40
S,CF1,RI3,TI3,40-60%,40
S,CF1,RI3,TI3,60-80%,40
S,CF1,RI3,TI3,80-100%,40
S,CF2,RI1,TI1,0-20%,40
S,CF2,RI1,TI1,20-40%,40
S,CF2,RI1,TI1,40-60%,40
S,CF2,RI1,TI1,60-80%,40
S,CF2,RI1,TI1,80-100%,40
S,CF2,RI1,TI2,0-20%,40
S,CF2,RI1,TI2,20-40%,40
S,CF2,RI1,TI2,40-60%,40
S,CF2,RI1,TI2,60-80%,40
S,CF2,RI1,TI2,80-100%,40
S,CF2,RI1,TI3,0-20%,40
S,CF2,RI1,TI3,20-40%,40
S,CF2,RI1,TI3,40-60%,40
S,CF2,RI1,TI3,60-80%,40
