improved,arm_count,fraction
False,173931,0.9369111682099514
True,11712,0.06308883179004864
STATE_WITH_AT_LEAST_1_POSITIVE,3234,0.23955555555555555
STATE_WITH_AT_LEAST_2_POSITIVE,1895,0.14037037037037037
