state_id,instance_id,mean_rank_spearman,top_arm_agreement,improvement_sign_agreement,mean_relative_improvement_variance
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000276,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.873992673992674,False,0.7857142857142857,0.00011026794026212899
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000365,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.6249084249084249,False,0.9285714285714286,0.00012559541082378004
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000442,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.4637362637362637,False,0.6428571428571429,0.00011681219191628972
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000463,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.536996336996337,False,0.5714285714285714,7.229035512369723e-05
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000484,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.7435897435897436,False,0.7857142857142857,0.00015336480281494591
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000488,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.46520146520146516,False,0.35714285714285715,9.967284515423145e-05
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000508,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.7326007326007326,False,0.8461538461538461,0.0001600414783839809
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000739,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.5721611721611722,False,0.7857142857142857,0.00017425002104353086
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000745,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.6058608058608058,False,0.7142857142857143,0.00013548179503594145
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0000813,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.6351648351648351,False,0.7142857142857143,0.0001428048014943359
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0001168,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.8373626373626374,True,0.8571428571428571,0.0001321609828978129
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0001170,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.5384615384615384,False,0.9285714285714286,0.00010159238515917795
CB1_TRAIN_L_CF1_RI1_TI3_R01__it0001233,CB1_TRAIN_L_CF1_RI1_TI3_R01,0.6205128205128205,False,0.9285714285714286,0.000271187187432542
