arm_family,arm_id,origin_destroy_operator,arm_count,state_count,positive_fraction,mean_absolute_improvement,mean_relative_improvement,best_arm_fraction,mean_runtime,mean_decoder_evaluations
MATCHED_RANDOM,matched_random_1,random,13500,13500,0.060444444444444446,-249.08377777777778,-0.10203442995255554,0.056296296296296296,0.12731951070051878,8.0
MATCHED_RANDOM,matched_random_2,random,13500,13500,0.05977777777777778,-251.1657037037037,-0.10334076239231062,0.05422222222222222,0.12725336076459812,8.0
ORIGINAL_OPERATOR,operator_critical,critical,13500,13500,0.03674074074074074,-296.590962962963,-0.11505522846361531,0.04259259259259259,0.12677285775029842,8.0
ORIGINAL_OPERATOR,operator_f_bottleneck,f_bottleneck,13500,13500,0.019703703703703702,-329.16703703703706,-0.11569621287587584,0.026962962962962963,0.12668888097874467,8.0
ORIGINAL_OPERATOR,operator_high_reconfiguration,high_reconfiguration,13500,13500,0.057777777777777775,-244.29340740740741,-0.09786910446369096,0.06111111111111111,0.1267024511554053,8.0
ORIGINAL_OPERATOR,operator_overloaded_island,overloaded_island,13500,13500,0.06244444444444444,-180.62807407407408,-0.07632131123875473,0.15977777777777777,0.12592576767199803,8.0
ORIGINAL_OPERATOR,operator_random,random,13500,13500,0.06051851851851852,-249.78859259259258,-0.10258930544766416,0.05407407407407407,0.12708782230674073,8.0
ORIGINAL_OPERATOR,operator_related,related,13488,13488,0.08414887307236062,-216.03276986951363,-0.09014635239765682,0.0976423487544484,0.12656913044854648,8.0
ORIGINAL_OPERATOR,operator_w_bottleneck,w_bottleneck,13500,13500,0.04488888888888889,-275.8114814814815,-0.10898977244808145,0.032962962962962965,0.12665658397918383,8.0
RELATED_VARIANT,related_variant_1,related,12923,12923,0.08558384276096881,-216.93391627331116,-0.08916781657224149,0.10825659676545693,0.12855116056984167,8.0
RELATED_VARIANT,related_variant_2,related,12352,12352,0.08767810880829016,-218.8398639896373,-0.08884692394341921,0.10370790155440414,0.1312868446039515,8.0
RELATED_VARIANT,related_variant_3,related,11880,11880,0.09031986531986531,-218.01944444444445,-0.08720502950671753,0.10976430976430976,0.133694498409596,8.0
TARGET_PERTURBATION,related_replace_25,related,13500,13500,0.0737037037037037,-228.5131111111111,-0.09485030943565124,0.0685925925925926,0.12700375456563173,8.0
TARGET_PERTURBATION,related_replace_50,related,13500,13500,0.06585185185185186,-243.80325925925925,-0.10057721201879133,0.05074074074074074,0.12711890407910775,8.0
