model,roc_auc,pr_auc,within_state_spearman,top1_accuracy,top3_recall,ndcg,pairwise_accuracy
RANDOM,0.5,0.06308883179004864,0.0,0.07272022106947205,0.21816066320841615,,0.5
TARGET_STRUCTURE_CONTEXT_LOGISTIC,0.9004878692846856,0.42782301516303156,0.19862585385007753,0.14051851851851851,0.31669135802469134,0.8776911810682194,0.5724856451921336
TARGET_STRUCTURE_OPERATOR_CONTEXT_CONTROL,0.9052058983281732,0.4594452398924451,0.26923149123406026,0.1411851851851852,0.3330123456790123,0.8866957781880216,0.598370837190333
CRITICALITY_ONLY,0.6109021298601296,0.0948493826032667,0.08139467396097576,0.09422222222222222,0.256716049382716,0.855719569307449,0.5300803666166315
SLACK_ONLY,0.7340886091677018,0.17092615055975677,0.08241622952245305,0.09444444444444444,0.25103703703703706,0.8571182308135661,0.5304205159100178
W_DELAY_ONLY,0.7292390006001689,0.16697290756642413,-0.04769858661230137,0.05503703703703704,0.19190123456790123,0.83137256979563,0.48287407537776034
F_DELAY_ONLY,0.7004694180690427,0.14511112939581652,-0.028841752921539284,0.06133333333333333,0.1953827160493827,0.8364743004142348,0.48808631330626806
