state_id,instance_id,scale,CF_level,search_stage,winner_target_set_id,winner_origin_family,candidate_bank_size,ensemble_winner_advantage_mean,ensemble_winner_advantage_std,winner_beats_fallback_probability_raw_mean,winner_beats_fallback_probability_raw_std,winner_beats_fallback_logit_mean,winner_beats_fallback_logit_std,calibrated_probability,top1_top2_advantage_margin,winner_fallback_advantage_margin,seed_top1_vote_for_ensemble_winner_fraction,seed_top1_max_vote_fraction,seed_top1_unique_candidates,mean_pairwise_seed_rank_correlation,mean_pairwise_seed_rank_disagreement,candidate_score_normalized_entropy,candidate_score_std,candidate_score_spread,fraction_candidates_predicted_above_fallback,supported_candidate_count,supported_candidate_fraction,selected_winner_supported,selected_winner_is_fallback,realized_winner_lift,reference_p055_intervened,false_positive_intervention,false_negative_abstention
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691201__it0000221,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,60-80%,ts_04a3901838dbd55570de,STRUCTURED_NEAR_NEIGHBOR,24,0.6178675889968872,0.6004023880152112,0.47530632217725116,0.02541930582293174,-0.09907813246051471,0.10195964765427201,0.48193496887317283,0.03287917375564575,0.10826480388641357,0.0,0.6666666666666666,2,0.8226086956521739,0.17739130434782613,0.9801795693349372,1.2669207622339231,6.443184494972229,0.25,19,0.7916666666666666,True,False,-0.010966810966810969,False,False,False
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691201__it0000262,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,80-100%,ts_c415b34720970a1e5116,STRUCTURED_NEAR_NEIGHBOR,24,0.7824876308441162,0.6101026693066579,0.47444115082422894,0.014146650237605212,-0.10240091507633527,0.05672567666915292,0.4805484643853676,0.1451016068458557,0.22975927591323853,0.6666666666666666,0.6666666666666666,2,0.8840579710144927,0.11594202898550739,0.9706102462549969,0.8875272205769228,4.773481845855713,0.125,16,0.6666666666666666,True,False,0.0029411764705882353,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691201__it0000294,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,80-100%,ts_f0dd1ab6d025b5c8b9e1,LOCAL_PERTURBATION,24,0.5929918885231018,0.5919811866410848,0.45282837748527527,0.020457563391600916,-0.18954211473464966,0.08243936537544418,0.4443573381062244,0.026068449020385742,0.026068449020385742,0.3333333333333333,0.3333333333333333,3,0.8907246376811594,0.10927536231884072,0.9809868496653054,1.2418382447748622,6.429592669010162,0.041666666666666664,20,0.8333333333333334,True,False,0.0213713268032057,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000013,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,0-20%,ts_4a5edee03aa5e6e0f032,MATCHED_RANDOM,24,0.7934322953224182,0.5767245720841914,0.48278923829396564,0.0050236445764423815,-0.06887734805544217,0.020119788281128217,0.4945469841929051,0.0752483606338501,0.29472795128822327,1.0,1.0,1,0.8075362318840579,0.19246376811594212,0.9855180000700378,1.3084810158203117,6.754140913486481,0.6666666666666666,20,0.8333333333333334,True,False,0.009153318077803204,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000051,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,0-20%,ts_809a4cb754c0aadca4fb,ORIGINAL_OPERATOR,23,0.6902708411216736,0.5437102908914663,0.4806125561396281,0.009135024646044786,-0.07761297995845477,0.03659034878542261,0.4908975107921393,0.1369571089744568,0.15752947330474854,0.6666666666666666,0.6666666666666666,2,0.8583662714097496,0.14163372859025034,0.9826472406752159,1.3527295391346077,6.95372861623764,0.08695652173913043,19,0.8260869565217391,True,False,0.009642950221527235,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000095,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,20-40%,ts_e35d0a10b27e7cae345d,RELATED_VARIANT,24,0.790450394153595,0.5677418647674342,0.48070697983105976,0.020363555181924255,-0.07733596737186114,0.08163503289366533,0.49101322510239936,0.0279695987701416,0.26105624437332153,0.3333333333333333,0.3333333333333333,3,0.9466666666666667,0.053333333333333455,0.9754819752597481,1.3605641800993489,6.922112286090851,0.20833333333333334,19,0.7916666666666666,False,False,-0.019579614166426722,False,False,False
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000136,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,40-60%,ts_2abf0ff3ed45b935d3e9,STRUCTURED_NEAR_NEIGHBOR,24,0.6100098490715027,0.5505836291144589,0.4604315360387166,0.017474553430943045,-0.15878157193462053,0.07025001071247357,0.45708533046279254,0.008523106575012207,0.08223915100097656,0.3333333333333333,0.3333333333333333,3,0.9113043478260868,0.08869565217391313,0.9790103927655275,1.3464837679258783,6.919702231884003,0.16666666666666666,19,0.7916666666666666,True,False,0.016715542521994135,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000175,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,40-60%,ts_e0a9ed53c2002b062e6c,ORIGINAL_OPERATOR,22,0.6364791989326477,0.4930427527195385,0.4672582546869914,0.008705562932165026,-0.13119220981995264,0.0349496100257076,0.4685495230584248,0.04918092489242554,0.1332714557647705,0.6666666666666666,0.6666666666666666,2,0.9201957462827028,0.07980425371729705,0.9716007900884275,1.4587759364188535,7.101633369922638,0.13636363636363635,14,0.6363636363636364,False,False,-0.012941176470588235,False,False,False
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000219,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,60-80%,ts_be7a51439af0179a791e,RELATED_VARIANT,24,0.9759904742240906,0.575794664959447,0.5026185611883799,0.022984249502744948,0.010496413645644983,0.0920367788030802,0.5276854571941406,0.08960628509521484,0.5657055079936981,1.0,1.0,1,0.916231884057971,0.08376811594202904,0.9775505109845067,1.2858873610378918,6.754664123058319,0.5416666666666666,17,0.7083333333333334,False,False,0.04267554479418886,False,False,True
CB1_CAUR_M_CF3_RI2_TI2_R12_C02__seed691202__it0000260,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,80-100%,ts_d98fe8c1937917869a00,MATCHED_RANDOM,23,0.602257251739502,0.4359595111509561,0.45239564776420593,0.005918859815191822,-0.1910227487484614,0.02388573818314173,0.443746386525996,0.02338308095932007,0.03982657194137573,0.6666666666666666,0.6666666666666666,2,0.782608695652174,0.21739130434782608,0.9790570474654615,1.2943470303783622,6.475521087646484,0.08695652173913043,16,0.6956521739130435,False,False,0.02077727952167414,False,False,True
