state_id,instance_id,target_set_id,oof_fold,scale,CF_level,search_stage,origin_family,primary_origin_rule,origin_destroy_operator,selected_winner,categorical_reason_count,numeric_reason_count,reason_count,multiple_causes,maximum_absolute_robust_z,categorical_reasons,numeric_reasons,reason_signature
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_aec01eb89c5cfa239bdf,1,L,CF1,0-20%,LOCAL_PERTURBATION,related_replace_50,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_c371ef7a8100e1cf32ca,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_precedence_neighbor,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_ca198e5e081e7c5eb8a9,1,L,CF1,0-20%,RELATED_VARIANT,related_variant_3,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000050,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_ee783c027ef0637a5813,1,L,CF1,0-20%,STRUCTURED_NEAR_NEIGHBOR,near_high_W_delay,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_1fec8936ac91b5c742b9,1,L,CF1,20-40%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_6fcca90d49dd37ac36ac,1,L,CF1,20-40%,ORIGINAL_OPERATOR,operator_high_reconfiguration,high_reconfiguration,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_6fe3be83058415290bc9,1,L,CF1,20-40%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_7170162d1a4308127b3b,1,L,CF1,20-40%,RELATED_VARIANT,related_variant_4,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_71cc1c07bec3fac29807,1,L,CF1,20-40%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000090,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_885cafe2f46471d427ef,1,L,CF1,20-40%,MATCHED_RANDOM,matched_random_1,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_3d367a2f8bdd7113cfcd,1,L,CF1,40-60%,STRUCTURED_NEAR_NEIGHBOR,near_same_island_chain,related,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4e03ff70a4d4d163cf99,1,L,CF1,40-60%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_a4fe95b25ccf6c37498b,1,L,CF1,40-60%,ORIGINAL_OPERATOR,operator_random,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_aec4599f9432fef0e642,1,L,CF1,40-60%,LOCAL_PERTURBATION,related_replace_50,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_b5021ed0f3f8640b6932,1,L,CF1,40-60%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000127,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_bb944ffb503b60e2ffde,1,L,CF1,40-60%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_1dcfaa7101616209d0b9,1,L,CF1,40-60%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_2b353a1b8a0fbcf3b211,1,L,CF1,40-60%,RELATED_VARIANT,related_variant_4,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9d66d5c606c3a67d0806,1,L,CF1,40-60%,ORIGINAL_OPERATOR,operator_critical,critical,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000164,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_df2f3b5e98964a878513,1,L,CF1,40-60%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_2d49a4adbd5df5aee1f6,1,L,CF1,60-80%,STRUCTURED_NEAR_NEIGHBOR,near_low_slack,related,False,0,1,1,False,76923.07692307694,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_4a0a4be1a1792f469060,1,L,CF1,60-80%,ORIGINAL_OPERATOR,operator_related,related,False,0,1,1,False,1000000.0,,numeric_robust_z:is_fallback,numeric_robust_z:is_fallback
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_5b4646d47a36596223bc,1,L,CF1,60-80%,MATCHED_RANDOM,matched_random_1,random,True,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_63c39046eb0e8e1a7bf4,1,L,CF1,60-80%,STRUCTURED_NEAR_NEIGHBOR,near_same_island_chain,related,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
CB1_CAUR_L_CF1_RI2_TI2_R12_C02__seed691201__it0000204,CB1_CAUR_L_CF1_RI2_TI2_R12_C02,ts_9ab90740ac78da4319e9,1,L,CF1,60-80%,MATCHED_RANDOM,matched_random_2,random,False,0,1,1,False,38461.53846153847,,numeric_robust_z:critical_overlap_fraction,numeric_robust_z:critical_overlap_fraction
