utility,metric,mean,lower_95,upper_95,instances,resamples
U0_IMMEDIATE,informative_rate,0.6304347826086957,0.45652173913043476,0.8043478260869565,23,10000
U0_IMMEDIATE,spearman_valid_states,0.16067697037136208,0.10363173155115218,0.2206329183659453,16,10000
U1_SHORT_HORIZON,informative_rate,0.6956521739130435,0.5217391304347826,0.8695652173913043,23,10000
U1_SHORT_HORIZON,spearman_valid_states,0.16016239197462045,0.10266252454547468,0.22299718924893094,17,10000
U2_COST_NORMALIZED,informative_rate,0.6956521739130435,0.5217391304347826,0.8695652173913043,23,10000
U2_COST_NORMALIZED,spearman_valid_states,0.1602008821833943,0.10176966298987829,0.22125539411066136,17,10000
U3_STOCHASTIC_ROBUSTNESS,informative_rate,1.0,1.0,1.0,23,10000
U3_STOCHASTIC_ROBUSTNESS,spearman_valid_states,0.5483055370280137,0.46034444334057195,0.6278960951303133,23,10000
