scale,method,display_method,instance_count,median_seed_rpd_sd_percent_points,mean_seed_rpd_sd_percent_points,q25_seed_rpd_sd_percent_points,q75_seed_rpd_sd_percent_points
S,GA,GA,15,2.1822959007289855,2.429131375311782,1.690147074799024,2.9744866419746856
S,Adapted DCGA,DCGA,15,1.118356424761171,1.3724172158680523,0.756389456734181,1.8936630745185856
S,DABC-RIACRSP,DABC,15,1.757306729917404,2.2853911100508664,1.4930406125562037,2.3685504277012788
S,LG_HGA-RIACRSP-v2-N4M,LG_HGA,15,4.282270282869047,3.8045865098655094,2.00258097190817,4.950094313171988
S,CSG-NI Phase6H provisional,CSG-NI,15,2.0958524937621794,2.074119077650766,1.5848578373114295,2.6555505872254717
M,GA,GA,15,4.290343292067702,4.627918150321432,3.2340898261496998,5.257890196522725
M,Adapted DCGA,DCGA,15,1.0915005747790405,1.2299530709204254,0.7679312358834318,1.5992160149305978
M,DABC-RIACRSP,DABC,15,3.5470961854918515,3.3351414644044035,2.3160159555036666,4.204843553861462
M,LG_HGA-RIACRSP-v2-N4M,LG_HGA,15,3.8228348084106507,3.8169683766664995,2.9306295575852057,4.59874761041775
M,CSG-NI Phase6H provisional,CSG-NI,15,1.2531255268165589,1.45892918993681,0.7785144806740083,1.9527243085745538
L,GA,GA,15,3.922104995268469,3.99759722917842,3.03218577006703,5.093787345389364
L,Adapted DCGA,DCGA,15,1.3731233745296951,1.31831167206544,1.0125555289785662,1.6485902254961062
L,DABC-RIACRSP,DABC,15,2.7244346782832323,3.0593370166070994,1.791249426415436,3.5440387666833884
L,LG_HGA-RIACRSP-v2-N4M,LG_HGA,15,2.888525176270685,3.8456418294149843,2.52177288939156,4.626550407113296
L,CSG-NI Phase6H provisional,CSG-NI,15,1.6077776213915258,1.7349581456115504,1.3477285342242062,2.1397433181930503
