instance_id,scale,CF_level,operation_count,competitor,display_competitor,competitor_median_rpd_percent,csgni_median_rpd_percent,advantage_percent_points_positive_favors_csgni,outcome
CB1_CORE_L_CF3_R02,L,CF3,167,Adapted DCGA,Adapted DCGA,37.17948717948718,2.7313266443701227,34.44816053511706,win
CB1_CORE_L_CF3_R02,L,CF3,167,DABC-RIACRSP,DABC,25.501672240802677,2.7313266443701227,22.770345596432556,win
CB1_CORE_L_CF3_R02,L,CF3,167,LG_HGA-RIACRSP-v2-N4M,LG_HGA,11.120401337792643,2.7313266443701227,8.38907469342252,win
CB1_CORE_L_CF3_R03,L,CF3,176,GA,GA,14.667705088265835,0.8307372793354102,13.836967808930424,win
CB1_CORE_L_CF3_R03,L,CF3,176,Adapted DCGA,Adapted DCGA,36.24091381100727,0.8307372793354102,35.41017653167186,win
CB1_CORE_L_CF3_R03,L,CF3,176,DABC-RIACRSP,DABC,21.339563862928348,0.8307372793354102,20.50882658359294,win
CB1_CORE_L_CF3_R03,L,CF3,176,LG_HGA-RIACRSP-v2-N4M,LG_HGA,10.74766355140187,0.8307372793354102,9.916926272066458,win
CB1_CORE_L_CF3_R04,L,CF3,174,GA,GA,26.317182949430766,3.230076780513635,23.08710616891713,win
CB1_CORE_L_CF3_R04,L,CF3,174,Adapted DCGA,Adapted DCGA,45.48583531903627,3.230076780513635,42.255758538522635,win
CB1_CORE_L_CF3_R04,L,CF3,174,DABC-RIACRSP,DABC,29.600211808313475,3.230076780513635,26.37013502779984,win
CB1_CORE_L_CF3_R04,L,CF3,174,LG_HGA-RIACRSP-v2-N4M,LG_HGA,20.015885623510723,3.230076780513635,16.78580884299709,win
CB1_CORE_L_CF3_R05,L,CF3,183,GA,GA,30.463386727688786,3.8901601830663615,26.573226544622425,win
CB1_CORE_L_CF3_R05,L,CF3,183,Adapted DCGA,Adapted DCGA,50.88672768878718,3.8901601830663615,46.99656750572082,win
CB1_CORE_L_CF3_R05,L,CF3,183,DABC-RIACRSP,DABC,38.7299771167048,3.8901601830663615,34.83981693363844,win
CB1_CORE_L_CF3_R05,L,CF3,183,LG_HGA-RIACRSP-v2-N4M,LG_HGA,24.914187643020593,3.8901601830663615,21.024027459954233,win
CB1_CORE_M_CF1_R01,M,CF1,114,GA,GA,12.01923076923077,4.407051282051282,7.612179487179488,win
CB1_CORE_M_CF1_R01,M,CF1,114,Adapted DCGA,Adapted DCGA,30.368589743589745,4.407051282051282,25.961538461538463,win
CB1_CORE_M_CF1_R01,M,CF1,114,DABC-RIACRSP,DABC,16.025641025641026,4.407051282051282,11.618589743589745,win
CB1_CORE_M_CF1_R01,M,CF1,114,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.448717948717949,4.407051282051282,1.041666666666667,win
CB1_CORE_M_CF1_R02,M,CF1,130,GA,GA,8.508663366336634,3.3725247524752477,5.1361386138613865,win
CB1_CORE_M_CF1_R02,M,CF1,130,Adapted DCGA,Adapted DCGA,19.275990099009903,3.3725247524752477,15.903465346534656,win
CB1_CORE_M_CF1_R02,M,CF1,130,DABC-RIACRSP,DABC,17.883663366336634,3.3725247524752477,14.511138613861387,win
CB1_CORE_M_CF1_R02,M,CF1,130,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.1361386138613865,3.3725247524752477,1.7636138613861387,win
CB1_CORE_M_CF1_R03,M,CF1,115,GA,GA,6.651598320955763,0.12915724895059735,6.522441072005166,win
CB1_CORE_M_CF1_R03,M,CF1,115,Adapted DCGA,Adapted DCGA,13.20632870519858,0.12915724895059735,13.077171456247981,win
CB1_CORE_M_CF1_R03,M,CF1,115,DABC-RIACRSP,DABC,10.978366160800775,0.12915724895059735,10.849208911850177,win
CB1_CORE_M_CF1_R03,M,CF1,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.522441072005166,0.12915724895059735,6.393283823054569,win
CB1_CORE_M_CF1_R04,M,CF1,110,GA,GA,7.621502209131075,0.18409425625920472,7.43740795287187,win
CB1_CORE_M_CF1_R04,M,CF1,110,Adapted DCGA,Adapted DCGA,22.091310751104565,0.18409425625920472,21.90721649484536,win
CB1_CORE_M_CF1_R04,M,CF1,110,DABC-RIACRSP,DABC,10.89837997054492,0.18409425625920472,10.714285714285715,win
CB1_CORE_M_CF1_R04,M,CF1,110,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.811487481590574,0.18409425625920472,6.627393225331369,win
CB1_CORE_M_CF1_R05,M,CF1,110,GA,GA,4.309431296361709,0.4592016955139527,3.8502296008477566,win
CB1_CORE_M_CF1_R05,M,CF1,110,Adapted DCGA,Adapted DCGA,11.621335217237725,0.4592016955139527,11.162133521723772,win
CB1_CORE_M_CF1_R05,M,CF1,110,DABC-RIACRSP,DABC,6.534793359237018,0.4592016955139527,6.075591663723066,win
CB1_CORE_M_CF1_R05,M,CF1,110,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.051218650653479,0.4592016955139527,4.592016955139527,win
CB1_CORE_M_CF2_R01,M,CF2,122,GA,GA,14.09329829172142,2.59526938239159,11.498028909329829,win
CB1_CORE_M_CF2_R01,M,CF2,122,Adapted DCGA,Adapted DCGA,21.28777923784494,2.59526938239159,18.692509855453352,win
CB1_CORE_M_CF2_R01,M,CF2,122,DABC-RIACRSP,DABC,17.57555847568988,2.59526938239159,14.98028909329829,win
CB1_CORE_M_CF2_R01,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,7.6215505913272015,2.59526938239159,5.026281208935611,win
CB1_CORE_M_CF2_R02,M,CF2,115,GA,GA,11.023930953315025,3.2561788936837974,7.767752059631228,win
CB1_CORE_M_CF2_R02,M,CF2,115,Adapted DCGA,Adapted DCGA,25.617889368379757,3.2561788936837974,22.36171047469596,win
CB1_CORE_M_CF2_R02,M,CF2,115,DABC-RIACRSP,DABC,16.084739113377797,3.2561788936837974,12.828560219694,win
CB1_CORE_M_CF2_R02,M,CF2,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.374656728128678,3.2561788936837974,2.1184778344448807,win
CB1_CORE_M_CF2_R03,M,CF2,122,GA,GA,6.953528399311532,4.509466437177281,2.444061962134251,win
CB1_CORE_M_CF2_R03,M,CF2,122,Adapted DCGA,Adapted DCGA,22.581755593803788,4.509466437177281,18.072289156626507,win
CB1_CORE_M_CF2_R03,M,CF2,122,DABC-RIACRSP,DABC,14.044750430292599,4.509466437177281,9.535283993115318,win
CB1_CORE_M_CF2_R03,M,CF2,122,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.5800344234079176,4.509466437177281,-0.9294320137693632,loss
CB1_CORE_M_CF2_R04,M,CF2,125,GA,GA,4.988042364195422,5.022207037922787,-0.03416467372736509,loss
CB1_CORE_M_CF2_R04,M,CF2,125,Adapted DCGA,Adapted DCGA,23.334472155790912,5.022207037922787,18.312265117868126,win
CB1_CORE_M_CF2_R04,M,CF2,125,DABC-RIACRSP,DABC,13.358387427400068,5.022207037922787,8.336180389477281,win
CB1_CORE_M_CF2_R04,M,CF2,125,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.3823026990092244,5.022207037922787,-1.639904338913563,loss
CB1_CORE_M_CF2_R05,M,CF2,115,GA,GA,5.816910362364908,1.3986013986013985,4.41830896376351,win
CB1_CORE_M_CF2_R05,M,CF2,115,Adapted DCGA,Adapted DCGA,13.572790845518119,1.3986013986013985,12.17418944691672,win
CB1_CORE_M_CF2_R05,M,CF2,115,DABC-RIACRSP,DABC,11.760966306420851,1.3986013986013985,10.362364907819453,win
CB1_CORE_M_CF2_R05,M,CF2,115,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.198347107438017,1.3986013986013985,4.799745708836618,win
CB1_CORE_M_CF3_R01,M,CF3,111,GA,GA,8.311493822538376,8.161737177087232,0.1497566454511432,win
CB1_CORE_M_CF3_R01,M,CF3,111,Adapted DCGA,Adapted DCGA,26.581804567577688,8.161737177087232,18.420067390490455,win
CB1_CORE_M_CF3_R01,M,CF3,111,DABC-RIACRSP,DABC,13.777611381505054,8.161737177087232,5.615874204417821,win
CB1_CORE_M_CF3_R01,M,CF3,111,LG_HGA-RIACRSP-v2-N4M,LG_HGA,4.567577686259828,8.161737177087232,-3.594159490827405,loss
CB1_CORE_M_CF3_R02,M,CF3,128,GA,GA,14.629571741169116,2.28196311347296,12.347608627696156,win
CB1_CORE_M_CF3_R02,M,CF3,128,Adapted DCGA,Adapted DCGA,25.976867771178494,2.28196311347296,23.694904657705536,win
CB1_CORE_M_CF3_R02,M,CF3,128,DABC-RIACRSP,DABC,13.723038449515474,2.28196311347296,11.441075336042514,win
CB1_CORE_M_CF3_R02,M,CF3,128,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.376680212566427,2.28196311347296,3.094717099093467,win
CB1_CORE_M_CF3_R03,M,CF3,116,GA,GA,4.861839804127317,3.5676810073452256,1.2941587967820918,win
CB1_CORE_M_CF3_R03,M,CF3,116,Adapted DCGA,Adapted DCGA,20.601608954179785,3.5676810073452256,17.03392794683456,win
CB1_CORE_M_CF3_R03,M,CF3,116,DABC-RIACRSP,DABC,14.935292060160895,3.5676810073452256,11.36761105281567,win
CB1_CORE_M_CF3_R03,M,CF3,116,LG_HGA-RIACRSP-v2-N4M,LG_HGA,10.038474991255685,3.5676810073452256,6.470793983910459,win
CB1_CORE_M_CF3_R04,M,CF3,119,GA,GA,3.1446540880503147,1.0923535253227408,2.0523005627275737,win
CB1_CORE_M_CF3_R04,M,CF3,119,Adapted DCGA,Adapted DCGA,20.357497517378352,1.0923535253227408,19.265143992055613,win
CB1_CORE_M_CF3_R04,M,CF3,119,DABC-RIACRSP,DABC,12.479311486262826,1.0923535253227408,11.386957960940085,win
CB1_CORE_M_CF3_R04,M,CF3,119,LG_HGA-RIACRSP-v2-N4M,LG_HGA,4.270109235352532,1.0923535253227408,3.177755710029791,win
CB1_CORE_M_CF3_R05,M,CF3,113,GA,GA,6.389351081530782,1.8635607321131447,4.525790349417637,win
CB1_CORE_M_CF3_R05,M,CF3,113,Adapted DCGA,Adapted DCGA,15.84026622296173,1.8635607321131447,13.976705490848586,win
CB1_CORE_M_CF3_R05,M,CF3,113,DABC-RIACRSP,DABC,10.515806988352745,1.8635607321131447,8.6522462562396,win
CB1_CORE_M_CF3_R05,M,CF3,113,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.424292845257903,1.8635607321131447,3.5607321131447582,win
CB1_CORE_S_CF1_R01,S,CF1,62,GA,GA,4.032258064516129,2.9953917050691246,1.0368663594470044,win
CB1_CORE_S_CF1_R01,S,CF1,62,Adapted DCGA,Adapted DCGA,10.714285714285714,2.9953917050691246,7.718894009216589,win
CB1_CORE_S_CF1_R01,S,CF1,62,DABC-RIACRSP,DABC,3.7442396313364057,2.9953917050691246,0.7488479262672811,win
CB1_CORE_S_CF1_R01,S,CF1,62,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5.357142857142857,2.9953917050691246,2.361751152073732,win
CB1_CORE_S_CF1_R02,S,CF1,65,GA,GA,1.4567669172932332,1.550751879699248,-0.09398496240601495,loss
CB1_CORE_S_CF1_R02,S,CF1,65,Adapted DCGA,Adapted DCGA,5.404135338345864,1.550751879699248,3.8533834586466162,win
CB1_CORE_S_CF1_R02,S,CF1,65,DABC-RIACRSP,DABC,3.994360902255639,1.550751879699248,2.443609022556391,win
CB1_CORE_S_CF1_R02,S,CF1,65,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.524436090225564,1.550751879699248,1.973684210526316,win
CB1_CORE_S_CF1_R03,S,CF1,61,GA,GA,4.8549437537004145,3.433984606275903,1.4209591474245116,win
CB1_CORE_S_CF1_R03,S,CF1,61,Adapted DCGA,Adapted DCGA,15.038484310242747,3.433984606275903,11.604499703966844,win
CB1_CORE_S_CF1_R03,S,CF1,61,DABC-RIACRSP,DABC,5.26939017169923,3.433984606275903,1.8354055654233274,win
CB1_CORE_S_CF1_R03,S,CF1,61,LG_HGA-RIACRSP-v2-N4M,LG_HGA,7.63765541740675,3.433984606275903,4.203670811130847,win
CB1_CORE_S_CF1_R04,S,CF1,62,GA,GA,2.382241472658365,5.1976177585273415,-2.8153762858689766,loss
CB1_CORE_S_CF1_R04,S,CF1,62,Adapted DCGA,Adapted DCGA,10.720086626962642,5.1976177585273415,5.5224688684353005,win
CB1_CORE_S_CF1_R04,S,CF1,62,DABC-RIACRSP,DABC,4.60205739036275,5.1976177585273415,-0.5955603681645911,loss
CB1_CORE_S_CF1_R04,S,CF1,62,LG_HGA-RIACRSP-v2-N4M,LG_HGA,6.172171088251218,5.1976177585273415,0.9745533297238769,win
CB1_CORE_S_CF1_R05,S,CF1,61,GA,GA,1.8902439024390243,4.085365853658536,-2.195121951219512,loss
CB1_CORE_S_CF1_R05,S,CF1,61,Adapted DCGA,Adapted DCGA,7.621951219512195,4.085365853658536,3.536585365853659,win
CB1_CORE_S_CF1_R05,S,CF1,61,DABC-RIACRSP,DABC,3.7195121951219514,4.085365853658536,-0.3658536585365848,loss
CB1_CORE_S_CF1_R05,S,CF1,61,LG_HGA-RIACRSP-v2-N4M,LG_HGA,2.7439024390243905,4.085365853658536,-1.3414634146341458,loss
CB1_CORE_S_CF2_R01,S,CF2,64,GA,GA,4.3039319872476085,2.763018065887354,1.5409139213602545,win
CB1_CORE_S_CF2_R01,S,CF2,64,Adapted DCGA,Adapted DCGA,10.73326248671626,2.763018065887354,7.970244420828906,win
CB1_CORE_S_CF2_R01,S,CF2,64,DABC-RIACRSP,DABC,5.89798087141339,2.763018065887354,3.134962805526036,win
CB1_CORE_S_CF2_R01,S,CF2,64,LG_HGA-RIACRSP-v2-N4M,LG_HGA,3.4537725823591923,2.763018065887354,0.6907545164718383,win
CB1_CORE_S_CF2_R02,S,CF2,63,GA,GA,6.270627062706271,10.495049504950495,-4.224422442244225,loss
CB1_CORE_S_CF2_R02,S,CF2,63,Adapted DCGA,Adapted DCGA,22.64026402640264,10.495049504950495,12.145214521452145,win
CB1_CORE_S_CF2_R02,S,CF2,63,DABC-RIACRSP,DABC,11.023102310231023,10.495049504950495,0.5280528052805273,win
CB1_CORE_S_CF2_R02,S,CF2,63,LG_HGA-RIACRSP-v2-N4M,LG_HGA,12.409240924092408,10.495049504950495,1.914191419141913,win
CB1_CORE_S_CF2_R03,S,CF2,58,GA,GA,6.6455696202531644,8.670886075949367,-2.0253164556962027,loss
CB1_CORE_S_CF2_R03,S,CF2,58,Adapted DCGA,Adapted DCGA,13.924050632911392,8.670886075949367,5.253164556962025,win
CB1_CORE_S_CF2_R03,S,CF2,58,DABC-RIACRSP,DABC,7.2784810126582276,8.670886075949367,-1.3924050632911396,loss
CB1_CORE_S_CF2_R03,S,CF2,58,LG_HGA-RIACRSP-v2-N4M,LG_HGA,10.0,8.670886075949367,1.3291139240506329,win
CB1_CORE_S_CF2_R04,S,CF2,64,GA,GA,5.042527339003645,6.561360874848116,-1.518833535844471,loss
CB1_CORE_S_CF2_R04,S,CF2,64,Adapted DCGA,Adapted DCGA,15.492102065613608,6.561360874848116,8.930741190765492,win
CB1_CORE_S_CF2_R04,S,CF2,64,DABC-RIACRSP,DABC,6.865127582017011,6.561360874848116,0.30376670716889453,win
CB1_CORE_S_CF2_R04,S,CF2,64,LG_HGA-RIACRSP-v2-N4M,LG_HGA,8.201701093560146,6.561360874848116,1.64034021871203,win
CB1_CORE_S_CF2_R05,S,CF2,59,GA,GA,3.452605147520402,3.8292529817953547,-0.37664783427495285,loss
CB1_CORE_S_CF2_R05,S,CF2,59,Adapted DCGA,Adapted DCGA,22.598870056497177,3.8292529817953547,18.76961707470182,win
CB1_CORE_S_CF2_R05,S,CF2,59,DABC-RIACRSP,DABC,2.4482109227871938,3.8292529817953547,-1.381042059008161,loss
CB1_CORE_S_CF2_R05,S,CF2,59,LG_HGA-RIACRSP-v2-N4M,LG_HGA,1.8832391713747645,3.8292529817953547,-1.9460138104205902,loss
CB1_CORE_S_CF3_R01,S,CF3,65,GA,GA,5.909389363099146,5.252790544977019,0.6565988181221272,win
CB1_CORE_S_CF3_R01,S,CF3,65,Adapted DCGA,Adapted DCGA,16.34931057124097,5.252790544977019,11.096520026263951,win
CB1_CORE_S_CF3_R01,S,CF3,65,DABC-RIACRSP,DABC,4.530531845042679,5.252790544977019,-0.7222586999343399,loss
CB1_CORE_S_CF3_R01,S,CF3,65,LG_HGA-RIACRSP-v2-N4M,LG_HGA,2.6263952724885096,5.252790544977019,-2.6263952724885096,loss
CB1_CORE_S_CF3_R02,S,CF3,57,GA,GA,1.1302795954788816,4.3426531826293875,-3.212373587150506,loss
CB1_CORE_S_CF3_R02,S,CF3,57,Adapted DCGA,Adapted DCGA,11.362284354550862,4.3426531826293875,7.019631171921475,win
CB1_CORE_S_CF3_R02,S,CF3,57,DABC-RIACRSP,DABC,5.234979179060083,4.3426531826293875,0.8923259964306958,win
CB1_CORE_S_CF3_R02,S,CF3,57,LG_HGA-RIACRSP-v2-N4M,LG_HGA,7.733491969066032,4.3426531826293875,3.3908387864366443,win
CB1_CORE_S_CF3_R03,S,CF3,57,GA,GA,3.5231943628890194,8.514386376981797,-4.9911920140927775,loss
CB1_CORE_S_CF3_R03,S,CF3,57,Adapted DCGA,Adapted DCGA,15.032295948326484,8.514386376981797,6.517909571344687,win
CB1_CORE_S_CF3_R03,S,CF3,57,DABC-RIACRSP,DABC,9.1015854374633,8.514386376981797,0.5871990604815025,win
CB1_CORE_S_CF3_R03,S,CF3,57,LG_HGA-RIACRSP-v2-N4M,LG_HGA,8.279506752789196,8.514386376981797,-0.234879624192601,loss
CB1_CORE_S_CF3_R04,S,CF3,58,GA,GA,7.911617961511047,10.049893086243763,-2.138275124732716,loss
CB1_CORE_S_CF3_R04,S,CF3,58,Adapted DCGA,Adapted DCGA,26.728439059158944,10.049893086243763,16.67854597291518,win
CB1_CORE_S_CF3_R04,S,CF3,58,DABC-RIACRSP,DABC,11.047754811119031,10.049893086243763,0.9978617248752677,win
CB1_CORE_S_CF3_R04,S,CF3,58,LG_HGA-RIACRSP-v2-N4M,LG_HGA,10.406272273699216,10.049893086243763,0.3563791874554525,win
CB1_CORE_S_CF3_R05,S,CF3,56,GA,GA,2.216252518468771,6.044325050369375,-3.828072531900604,loss
CB1_CORE_S_CF3_R05,S,CF3,56,Adapted DCGA,Adapted DCGA,14.909335124244459,6.044325050369375,8.865010073875084,win
CB1_CORE_S_CF3_R05,S,CF3,56,DABC-RIACRSP,DABC,6.648757555406313,6.044325050369375,0.6044325050369377,win
CB1_CORE_S_CF3_R05,S,CF3,56,LG_HGA-RIACRSP-v2-N4M,LG_HGA,1.9476158495634655,6.044325050369375,-4.096709200805909,loss
